Ritz     Aud         fdu      E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
------------------------------------------------------------------------------------------------------------------------------------
10590.2  410000.0    0.0098   23.68651-24.85725    1s2.2p.3p   3D          2.0      1s2.2p.3d   3D*         3.0      5-7      E1    
10596.3  2600000.0   0.043    23.68651-24.85659    1s2.2p.3p   3D          2.0      1s2.2p.3d   3D*         2.0      5-5      E1    
10600.5  910000.0    0.0092   23.68651-24.85612    1s2.2p.3p   3D          2.0      1s2.2p.3d   3D*         1.0      5-3      E1    

10653.4  12000000.0  0.3      22.52505-23.68884    1s2.2p.3s   3P*         2.0      1s2.2p.3p   3D          3.0      5-7      E1    
10674.8  3100000.0   0.052    22.52505-23.68651    1s2.2p.3s   3P*         2.0      1s2.2p.3p   3D          2.0      5-5      E1    
10686.0  340000.0    0.0035   22.52505-23.6853     1s2.2p.3s   3P*         2.0      1s2.2p.3p   3D          1.0      5-3      E1    

7161.53  11900000.0  0.153    22.52242-24.25367    1s2.2p.3s   3P*         1.0      1s2.2p.3p   3P          2.0      3-5      E1    
7167.09  12000000.0  0.092    22.52242-24.25233    1s2.2p.3s   3P*         1.0      1s2.2p.3p   3P          1.0      3-3      E1    
7170.44  47000000.0  0.12     22.52242-24.25152    1s2.2p.3s   3P*         1.0      1s2.2p.3p   3P          0.0      3-1      E1    

7032.21  39700000.0  0.491    16.089904-17.852994  1s2.2s.3s   3S          1.0      1s2.2s.3p   3P*         2.0      3-5      E1    
7033.97  39800000.0  0.295    16.089904-17.852554  1s2.2s.3s   3S          1.0      1s2.2s.3p   3P*         1.0      3-3      E1    
7034.27  39700000.0  0.0982   16.089904-17.852479  1s2.2s.3s   3S          1.0      1s2.2s.3p   3P*         0.0      3-1      E1    

13432.6  85000.0     0.0032   22.76583-23.68884    1s2.2s.5p   3P*         2.0      1s2.2p.3p   3D          3.0      5-7      E1    
13466.6  22000.0     0.00059  22.76583-23.68651    1s2.2s.5p   3P*         2.0      1s2.2p.3p   3D          2.0      5-5      E1    
13484.4  2300.0      3.8e-05  22.76583-23.6853     1s2.2s.5p   3P*         2.0      1s2.2p.3p   3D          1.0      5-3      E1    

8333.2   64000.0     0.0011   22.76583-24.25367    1s2.2s.5p   3P*         1.0      1s2.2p.3p   3P          2.0      3-5      E1    
8340.7   64000.0     0.00067  22.76583-24.25233    1s2.2s.5p   3P*         1.0      1s2.2p.3p   3P          1.0      3-3      E1    
8345.2   260000.0    0.0009   22.76583-24.25152    1s2.2s.5p   3P*         1.0      1s2.2p.3p   3P          0.0      3-1      E1    

