Ritz         Aud         fdu       E_d(eV)-E_u(eV)           lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
----------------------------------------------------------------------------------------------------------------------------------------------
14736.413    600.0       2.8e-05   9.69545167-10.53679751    2s2.2p.3d   3F*         2.0      2s2.2p.5p   3D          3.0      5-7      E1    
14811.92     30000.0     0.001     9.69545167-10.532508      2s2.2p.3d   3F*         2.0      2s2.2p.5p   3D          2.0      5-5      E1    
14845.01     260000.0    0.005     9.69545167-10.5306428     2s2.2p.3d   3F*         2.0      2s2.2p.5p   3D          1.0      5-3      E1    

11617.66892  50000.0     0.0015    8.643023685-9.710227435   2s2.2p.3p   3D          2.0      2s2.2p.3d   3D*         3.0      5-7      E1    
11632.0202   5400000.0   0.11      8.643023685-9.708910751   2s2.2p.3p   3D          2.0      2s2.2p.3d   3D*         2.0      5-5      E1    
11651.175    1580000.0   0.0193    8.643023685-9.70715841    2s2.2p.3p   3D          2.0      2s2.2p.3d   3D*         1.0      5-3      E1    

11756.52524  26000000.0  0.7       8.647160399-9.701759406   2s2.2p.3p   3D          3.0      2s2.2p.3d   3F*         4.0      7-9      E1    
11804.30169  1260000.0   0.026     8.647160399-9.697491047   2s2.2p.3p   3D          3.0      2s2.2p.3d   3F*         3.0      7-7      E1    
11827.2661   2900.0      4.4e-05   8.647160399-9.69545167    2s2.2p.3p   3D          3.0      2s2.2p.3d   3F*         2.0      7-5      E1    

7073.04482   27000.0     0.00029   8.643023685-10.39593494   2s2.2p.3p   3D          2.0      2s2.2p.4d   3D*         3.0      5-7      E1    
7078.45056   300000.0    0.0022    8.643023685-10.39459625   2s2.2p.3p   3D          2.0      2s2.2p.4d   3D*         2.0      5-5      E1    
7087.4383    190000.0    0.0008    8.643023685-10.39237505   2s2.2p.3p   3D          2.0      2s2.2p.4d   3D*         1.0      5-3      E1    

7115.1266    2470000.0   0.0241    8.647160399-10.389704212  2s2.2p.3p   3D          3.0      2s2.2p.4d   3F*         4.0      7-9      E1    
7134.08118   117000.0    0.00089   8.647160399-10.385074438  2s2.2p.3p   3D          3.0      2s2.2p.4d   3F*         3.0      7-7      E1    
7141.13289   21000.0     0.000112  8.647160399-10.38335829   2s2.2p.3p   3D          3.0      2s2.2p.4d   3F*         2.0      7-5      E1    

11822.2674   310000.0    0.0108    8.64039604-9.689130559    2s2.2p.3p   3D          1.0      2s2.2p.4s   3P*         2.0      3-5      E1    
11866.2257   3100000.0   0.065     8.64039604-9.685245529    2s2.2p.3p   3D          1.0      2s2.2p.4s   3P*         1.0      3-3      E1    
11882.8259   11600000.0  0.082     8.64039604-9.68378589     2s2.2p.3p   3D          1.0      2s2.2p.4s   3P*         0.0      3-1      E1    

5992.638     23000.0     0.00017   8.643023685-10.711966     2s2.2p.3p   3D          2.0      2s2.2p.5d   3D*         3.0      5-7      E1    
5995.658     140000.0    0.0008    8.643023685-10.710924     2s2.2p.3p   3D          2.0      2s2.2p.5d   3D*         2.0      5-5      E1    
6005.338     50000.0     0.00016   8.643023685-10.70759      2s2.2p.3p   3D          2.0      2s2.2p.5d   3D*         1.0      5-3      E1    

6014.9172    440000.0    0.003     8.647160399-10.708439     2s2.2p.3p   3D          3.0      2s2.2p.5d   3F*         4.0      7-9      E1    
6030.2232    50000.0     0.00026   8.647160399-10.703207     2s2.2p.3p   3D          3.0      2s2.2p.5d   3F*         3.0      7-7      E1    
6033.678     1900.0      7e-06     8.647160399-10.70203      2s2.2p.3p   3D          3.0      2s2.2p.5d   3F*         2.0      7-5      E1    

7091.39687   14900.0     0.000187  8.64039604-10.38877088    2s2.2p.3p   3D          1.0      2s2.2p.5s   3P*         2.0      3-5      E1    
7110.8862    1120000.0   0.0085    8.64039604-10.38397899    2s2.2p.3p   3D          1.0      2s2.2p.5s   3P*         1.0      3-3      E1    
7117.1325    4400000.0   0.0112    8.64039604-10.38244873    2s2.2p.3p   3D          1.0      2s2.2p.5s   3P*         0.0      3-1      E1    

5995.158     22000.0     0.00019   8.64039604-10.708468      2s2.2p.3p   3D          1.0      2s2.2p.6s   3P*         2.0      3-5      E1    
6008.836     500000.0    0.0029    8.64039604-10.7037605     2s2.2p.3p   3D          1.0      2s2.2p.6s   3P*         1.0      3-3      E1    
6012.334     2100000.0   0.0038    8.64039604-10.70256       2s2.2p.3p   3D          1.0      2s2.2p.6s   3P*         0.0      3-1      E1    

5535.79      12000.0     9e-05     8.64039604-10.88008       2s2.2p.3p   3D          1.0      2s2.2p.7s   3P*         2.0      3-5      E1    
5546.592     300000.0    0.0014    8.64039604-10.8757182     2s2.2p.3p   3D          1.0      2s2.2p.7s   3P*         1.0      3-3      E1    
5548.806     1200000.0   0.0019    8.64039604-10.874826      2s2.2p.3p   3D          1.0      2s2.2p.7s   3P*         0.0      3-1      E1    

