Ritz      Aud         fdu        E_d(eV)-E_u(eV)      lower_conf      lower_term  lower_J  upper_conf      upper_term  upper_J  g_d-g_u  type  
-----------------------------------------------------------------------------------------------------------------------------------------------
5245.527  141000.0    0.000776   24.271876-26.635493  2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).4p  4D          3.5      6-8      E1    
5251.367  259000.0    0.00161    24.270232-26.631221  2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).4p  4D          2.5      4-6      E1    
5255.026  4700000.0   0.0195     24.271876-26.631221  2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).4p  4D          2.5      6-6      E1    

5257.566  5400000.0   0.0224     24.270232-26.628437  2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).4p  4D          1.5      4-4      E1    
5261.18   24800000.0  0.0515     24.270232-26.626817  2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).4p  4D          0.5      4-2      E1    
5261.233  20100000.0  0.0556     24.271876-26.628437  2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).4p  4D          1.5      6-4      E1    

6729.126  2960000.0   0.0301     22.529299-24.3718    2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).3d  4D*         2.5      4-6      E1    
6732.937  5060000.0   0.0344     22.529299-24.370757  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).3d  4D*         1.5      4-4      E1    
6735.413  6330000.0   0.0215     22.529299-24.37008   2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).3d  4D*         0.5      4-2      E1    

6735.876  1800000.0   0.0163     22.5324-24.373054    2s.2p.(3P*).3p  4D          2.5      2s.2p.(3P*).3d  4D*         3.5      6-8      E1    
6740.47   7230000.0   0.0493     22.5324-24.3718      2s.2p.(3P*).3p  4D          2.5      2s.2p.(3P*).3d  4D*         2.5      6-6      E1    
6744.293  4410000.0   0.02       22.5324-24.370757    2s.2p.(3P*).3p  4D          2.5      2s.2p.(3P*).3d  4D*         1.5      6-4      E1    

7117.595  36000000.0  0.365      22.5324-24.274339    2s.2p.(3P*).3p  4D          2.5      2s.2p.(3P*).3d  4F*         3.5      6-8      E1    
7121.888  41900000.0  0.398      22.536905-24.277795  2s.2p.(3P*).3p  4D          3.5      2s.2p.(3P*).3d  4F*         4.5      8-10     E1    
7127.675  10200000.0  0.0774     22.5324-24.271876    2s.2p.(3P*).3p  4D          2.5      2s.2p.(3P*).3d  4F*         2.5      6-6      E1    

7134.418  833000.0    0.00424    22.5324-24.270232    2s.2p.(3P*).3p  4D          2.5      2s.2p.(3P*).3d  4F*         1.5      6-4      E1    
7136.052  5930000.0   0.0453     22.536905-24.274339  2s.2p.(3P*).3p  4D          3.5      2s.2p.(3P*).3d  4F*         3.5      8-8      E1    
7146.185  350000.0    0.002      22.536905-24.271876  2s.2p.(3P*).3p  4D          3.5      2s.2p.(3P*).3d  4F*         2.5      8-6      E1    

5824.797  3380000.0   0.00859    22.529299-24.657857  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).3d  4P*         0.5      4-2      E1    
5829.469  2160000.0   0.011      22.529299-24.656151  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).3d  4P*         1.5      4-4      E1    
5836.706  134000.0    0.00103    22.529299-24.653514  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).3d  4P*         2.5      4-6      E1    

9873.51   9300000.0   0.204      23.116074-24.3718    2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4D*         2.5      4-6      E1    
9881.72   7090000.0   0.104      23.116074-24.370757  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4D*         1.5      4-4      E1    
9885.418  13300000.0  0.26       23.118841-24.373054  2s.2p.(3P*).3p  4P          2.5      2s.2p.(3P*).3d  4D*         3.5      6-8      E1    

9887.05   2210000.0   0.0162     23.116074-24.37008   2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4D*         0.5      4-2      E1    
9895.317  3970000.0   0.0583     23.118841-24.3718    2s.2p.(3P*).3p  4P          2.5      2s.2p.(3P*).3d  4D*         2.5      6-6      E1    
9903.56   657000.0    0.00644    23.118841-24.370757  2s.2p.(3P*).3p  4P          2.5      2s.2p.(3P*).3d  4D*         1.5      6-4      E1    

8041.611  8510000.0   0.0413     23.116074-24.657857  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4P*         0.5      4-2      E1    
8050.519  1360000.0   0.0132     23.116074-24.656151  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4P*         1.5      4-4      E1    
8064.328  3040000.0   0.0444     23.116074-24.653514  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4P*         2.5      4-6      E1    

7048.195  32100000.0  0.12       22.898766-24.657857  2s.2p.(3P*).3p  4S          1.5      2s.2p.(3P*).3d  4P*         0.5      4-2      E1    
7055.037  31900000.0  0.238      22.898766-24.656151  2s.2p.(3P*).3p  4S          1.5      2s.2p.(3P*).3d  4P*         1.5      4-4      E1    
7065.64   31700000.0  0.356      22.898766-24.653514  2s.2p.(3P*).3p  4S          1.5      2s.2p.(3P*).3d  4P*         2.5      4-6      E1    

