Ritz      Aud         fdu       E_d(eV)-E_u(eV)      lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
------------------------------------------------------------------------------------------------------------------------------------------------
6855.57   564000.0    0.00556   40.059463-41.867981  1s2.2p.(2P*).3p  3D          2.0      1s2.2p.(2P*).3d  3D*         3.0      5-7      E1    
6864.58   3510000.0   0.0248    40.059463-41.865607  1s2.2p.(2P*).3p  3D          2.0      1s2.2p.(2P*).3d  3D*         2.0      5-5      E1    
6870.67   1260000.0   0.00535   40.059463-41.864006  1s2.2p.(2P*).3p  3D          2.0      1s2.2p.(2P*).3d  3D*         1.0      5-3      E1    

9702.23   847000.0    0.0154    40.064295-41.342189  1s2.2p.(2P*).3p  3D          3.0      1s2.2p.(2P*).3d  3F*         4.0      7-9      E1    
9735.94   93400.0     0.00133   40.064295-41.337764  1s2.2p.(2P*).3p  3D          3.0      1s2.2p.(2P*).3d  3F*         3.0      7-7      E1    
9759.26   3660.0      3.73e-05  40.064295-41.334721  1s2.2p.(2P*).3p  3D          3.0      1s2.2p.(2P*).3d  3F*         2.0      7-5      E1    

5859.96   13400000.0  0.023     40.056428-42.172212  1s2.2p.(2P*).3p  3D          1.0      1s2.2p.(2P*).3d  3P*         0.0      3-1      E1    
5864.88   3350000.0   0.0173    40.056428-42.170439  1s2.2p.(2P*).3p  3D          1.0      1s2.2p.(2P*).3d  3P*         1.0      3-3      E1    
5873.73   133000.0    0.00115   40.056428-42.167254  1s2.2p.(2P*).3p  3D          1.0      1s2.2p.(2P*).3d  3P*         2.0      3-5      E1    

7773.9    17700000.0  0.0535    40.577334-42.172212  1s2.2p.(2P*).3p  3S          1.0      1s2.2p.(2P*).3d  3P*         0.0      3-1      E1    
7782.55   17600000.0  0.16      40.577334-42.170439  1s2.2p.(2P*).3p  3S          1.0      1s2.2p.(2P*).3d  3P*         1.0      3-3      E1    
7798.14   17500000.0  0.266     40.577334-42.167254  1s2.2p.(2P*).3p  3S          1.0      1s2.2p.(2P*).3d  3P*         2.0      3-5      E1    

6746.25   19900000.0  0.19      38.226472-40.064295  1s2.2p.(2P*).3s  3P*         2.0      1s2.2p.(2P*).3p  3D          3.0      5-7      E1    
6764.04   4950000.0   0.034     38.226472-40.059463  1s2.2p.(2P*).3s  3P*         2.0      1s2.2p.(2P*).3p  3D          2.0      5-5      E1    
6775.26   547000.0    0.00226   38.226472-40.056428  1s2.2p.(2P*).3s  3P*         2.0      1s2.2p.(2P*).3p  3D          1.0      5-3      E1    

9717.76   7880000.0   0.156     32.201709-33.477561  1s2.2s.3p        3P*         2.0      1s2.2s.3d        3D          3.0      5-7      E1    
9720.41   1970000.0   0.0279    32.201709-33.477213  1s2.2s.3p        3P*         2.0      1s2.2s.3d        3D          2.0      5-5      E1    
9721.45   219000.0    0.00186   32.201709-33.477076  1s2.2s.3p        3P*         2.0      1s2.2s.3d        3D          1.0      5-3      E1    

11984.47  16100000.0  0.578     38.367799-39.402339  1s2.2s.4s        3S          1.0      1s2.2s.4p        3P*         2.0      3-5      E1    
11991.36  16100000.0  0.347     38.367799-39.401746  1s2.2s.4s        3S          1.0      1s2.2s.4p        3P*         1.0      3-3      E1    
11994.59  16000000.0  0.115     38.367799-39.401467  1s2.2s.4s        3S          1.0      1s2.2s.4p        3P*         0.0      3-1      E1    

8654.52   172000.0    0.00322   42.836115-44.268711  1s2.2s.5d        3D          1.0      1s2.2s.6p        3P*         2.0      3-5      E1    
8655.31   4300000.0   0.0483    42.836115-44.268579  1s2.2s.5d        3D          1.0      1s2.2s.6p        3P*         1.0      3-3      E1    
8655.9    17200000.0  0.0644    42.836115-44.268481  1s2.2s.5d        3D          1.0      1s2.2s.6p        3P*         0.0      3-1      E1    

