Ritz        Aud         fdu        E_d(eV)-E_u(eV)        lower_conf            lower_term  lower_J  upper_conf    upper_term  upper_J  g_d-g_u  type   
--------------------------------------------------------------------------------------------------------------------------------------------------------
9269.1154   1200000.0   0.011      11.4474493-12.7850548  3d5.(4G).4s.4p.(3P*)  v 4F*       2.5      3d6.(5D).6s   4D          1.5      6-4      E1     
9548.8657   210000.0    0.0029     11.4474493-12.7458673  3d5.(4G).4s.4p.(3P*)  v 4F*       2.5      3d6.(5D).6s   4D          2.5      6-6      E1     
9935.559    860000.0    0.017      11.4474493-12.6953327  3d5.(4G).4s.4p.(3P*)  v 4F*       2.5      3d6.(5D).6s   4D          3.5      6-8      E1     

6371.2201   2100.0      9e-06      2.8910183-4.83702231   3d5.4s2               a 6S        2.5      3d6.(5D).4p   z 6D*       1.5      6-4      E1     
6434.4539   8500.0      5.3e-05    2.8910183-4.8178982    3d5.4s2               a 6S        2.5      3d6.(5D).4p   z 6D*       2.5      6-6      E1     
6517.8772   8300.0      7.1e-05    2.8910183-4.79323577   3d5.4s2               a 6S        2.5      3d6.(5D).4p   z 6D*       3.5      6-8      E1     

11966.452   0.00163     5.25e-11   2.85551515-3.89161339  3d6.(3F2).4s          b 4F        1.5      3d6.(3D).4s   b 4D        2.5      4-6      M1     
11994.478   0.0102      1.1e-10    2.85551515-3.8891925   3d6.(3F2).4s          b 4F        1.5      3d6.(3D).4s   b 4D        0.5      4-2      M1     
12000.232   0.0057      1.23e-10   2.85551515-3.88869686  3d6.(3F2).4s          b 4F        1.5      3d6.(3D).4s   b 4D        1.5      4-4      M1+E2  

9191.005    7000000.0   0.06       12.3597808-13.708754   3d6.(3F2).5s          f 4F        3.5      3d6.(3F2).5p  4F*         2.5      8-6      E1     
9307.0813   10000000.0  0.13       12.3766049-13.708754   3d6.(3F2).5s          f 4F        2.5      3d6.(3F2).5p  4F*         2.5      6-6      E1     
9449.2701   12000000.0  0.11       12.3766049-13.6887084  3d6.(3F2).5s          f 4F        2.5      3d6.(3F2).5p  4F*         1.5      6-4      E1     

9543.643    800000.0    0.014      12.3597808-13.6589094  3d6.(3F2).5s          f 4F        3.5      3d6.(3F2).5p  4F*         4.5      8-10     E1     
9563.4423   1700000.0   0.023      12.3597808-13.6562198  3d6.(3F2).5s          f 4F        3.5      3d6.(3F2).5p  4F*         3.5      8-8      E1     
9689.1808   340000.0    0.006      12.3766049-13.6562198  3d6.(3F2).5s          f 4F        2.5      3d6.(3F2).5p  4F*         3.5      6-8      E1     

8596.8977   24000.0     0.00022    12.1665863-13.6087832  3d6.(3H).5s           e 4H        6.5      3d6.(3H).5p   4I*         5.5      14-12    E1     
8703.5474   900000.0    0.01       12.1665863-13.5911111  3d6.(3H).5s           e 4H        6.5      3d6.(3H).5p   4I*         6.5      14-14    E1     
8724.8562   42000000.0  0.55       12.1665863-13.587632   3d6.(3H).5s           e 4H        6.5      3d6.(3H).5p   4I*         7.5      14-16    E1     

9387.3404   0.0426      7.5e-10    2.58265947-3.90341906  3d6.(3P2).4s          b 4P        2.5      3d6.(3D).4s   b 4D        3.5      6-8      M1     
9472.0063   0.0272      3.66e-10   2.58265947-3.89161339  3d6.(3P2).4s          b 4P        2.5      3d6.(3D).4s   b 4D        2.5      6-6      M1     
9493.1584   0.0172      1.55e-10   2.58265947-3.88869686  3d6.(3P2).4s          b 4P        2.5      3d6.(3D).4s   b 4D        1.5      6-4      M1     

10442.8462  0.00678     1.66e-10   2.70434897-3.89161339  3d6.(3P2).4s          b 4P        1.5      3d6.(3D).4s   b 4D        2.5      4-6      M1     
10464.183   0.0376      3.09e-10   2.70434897-3.8891925   3d6.(3P2).4s          b 4P        1.5      3d6.(3D).4s   b 4D        0.5      4-2      M1     
10468.5624  0.0372      6.11e-10   2.70434897-3.88869686  3d6.(3P2).4s          b 4P        1.5      3d6.(3D).4s   b 4D        1.5      4-4      M1     

8760.8243   31000000.0  0.18       12.1646572-13.5798687  3d6.(3P2).5s          4P          1.5      3d6.(3P2).5p  4P*         0.5      4-2      E1     
8816.9395   30000000.0  0.35       12.1646572-13.5708617  3d6.(3P2).5s          4P          1.5      3d6.(3P2).5p  4P*         1.5      4-4      E1     
9351.9562   2100000.0   0.04       12.1646572-13.490414   3d6.(3P2).5s          4P          1.5      3d6.(3P2).5p  4P*         2.5      4-6      E1     

13304.0325  2420000.0   0.043      10.4552114-11.3871409  3d6.(5D).4d           6P          2.5      3d6.(5D).5p   w 6P*       1.5      6-4      E1     
13796.5631  360000.0    0.01       10.4552114-11.3538714  3d6.(5D).4d           6P          2.5      3d6.(5D).5p   w 6P*       2.5      6-6      E1     
14617.8122  570000.0    0.024      10.4552114-11.3033835  3d6.(5D).4d           6P          2.5      3d6.(5D).5p   w 6P*       3.5      6-8      E1     

6673.7709   0.006       3.02e-11   0.9863338-2.84411707   3d6.(5D).4s           a 4D        3.5      3d6.(3F2).4s  b 4F        2.5      8-6      M1     
6731.7278   0.0203      1.38e-10   0.9863338-2.82812245   3d6.(5D).4s           a 4D        3.5      3d6.(3F2).4s  b 4F        3.5      8-8      M1     
6811.1185   0.0217      1.89e-10   0.9863338-2.80665448   3d6.(5D).4s           a 4D        3.5      3d6.(3F2).4s  b 4F        4.5      8-10     M1     

6830.9149   0.0076      3.54e-11   1.04046986-2.85551515  3d6.(5D).4s           a 4D        2.5      3d6.(3F2).4s  b 4F        1.5      6-4      M1     
6874.0826   0.0299      2.12e-10   1.04046986-2.84411707  3d6.(5D).4s           a 4D        2.5      3d6.(3F2).4s  b 4F        2.5      6-6      M1     
6935.5869   0.00227     2.18e-11   1.04046986-2.82812245  3d6.(5D).4s           a 4D        2.5      3d6.(3F2).4s  b 4F        3.5      6-8      M1     

7133.7553   0.00574     1.46e-11   1.04046986-2.7784633   3d6.(5D).4s           a 4D        2.5      3d6.(3P2).4s  b 4P        0.5      6-2      E2     
7283.6675   0.0089      3.54e-11   1.07624119-2.7784633   3d6.(5D).4s           a 4D        1.5      3d6.(3P2).4s  b 4P        0.5      4-2      M1+E2  
7451.5149   0.00179     9.9e-12    1.04046986-2.70434897  3d6.(5D).4s           a 4D        2.5      3d6.(3P2).4s  b 4P        1.5      6-4      M1     

7615.2329   0.0164      1.43e-10   1.07624119-2.70434897  3d6.(5D).4s           a 4D        1.5      3d6.(3P2).4s  b 4P        1.5      4-4      M1     
8039.4913   0.00476     4.61e-11   1.04046986-2.58265947  3d6.(5D).4s           a 4D        2.5      3d6.(3P2).4s  b 4P        2.5      6-6      M1+E2  
8230.3966   0.0106      1.61e-10   1.07624119-2.58265947  3d6.(5D).4s           a 4D        1.5      3d6.(3P2).4s  b 4P        2.5      4-6      M1     

12480.0511  6.9e-05     1.08e-12   0.08278213-1.07624119  3d6.(5D).4s           a 6D        2.5      3d6.(5D).4s   a 4D        1.5      6-4      M1     
12524.7804  0.00073     8.6e-12    0.10695023-1.09686139  3d6.(5D).4s           a 6D        1.5      3d6.(5D).4s   a 4D        0.5      4-2      M1     
12791.2262  0.00355     8.7e-11    0.10695023-1.07624119  3d6.(5D).4s           a 6D        1.5      3d6.(5D).4s   a 4D        1.5      4-4      M1     

12946.203   0.00213     5.35e-11   0.08278213-1.04046986  3d6.(5D).4s           a 6D        2.5      3d6.(5D).4s   a 4D        2.5      6-6      M1     
13281.3702  0.00146     5.79e-11   0.10695023-1.04046986  3d6.(5D).4s           a 6D        1.5      3d6.(5D).4s   a 4D        2.5      4-6      M1     
13721.8714  0.00097     3.66e-11   0.08278213-0.9863338   3d6.(5D).4s           a 6D        2.5      3d6.(5D).4s   a 4D        3.5      6-8      M1     

7554.4806   0.00021     6.1e-13    0.08278213-1.72398297  3d6.(5D).4s           a 6D        2.5      3d7           a 4P        0.5      6-2      E2     
7667.3895   0.00465     2.05e-11   0.10695023-1.72398297  3d6.(5D).4s           a 6D        1.5      3d7           a 4P        0.5      4-2      M1     
7689.0419   0.00541     3.19e-11   0.08278213-1.6952613   3d6.(5D).4s           a 6D        2.5      3d7           a 4P        1.5      6-4      M1     

7806.0401   0.00063     5.8e-12    0.10695023-1.6952613   3d6.(5D).4s           a 6D        1.5      3d7           a 4P        1.5      4-4      M1     
7808.3735   0.00019     1.7e-12    0.08278213-1.67061856  3d6.(5D).4s           a 6D        2.5      3d7           a 4P        2.5      6-6      M1+E2  
7929.0599   0.000357    5.1e-12    0.10695023-1.67061856  3d6.(5D).4s           a 6D        1.5      3d7           a 4P        2.5      4-6      M1     

8013.0786   420000.0    0.0027     11.2377818-12.7850548  3d6.(5D).5p           4D*         2.5      3d6.(5D).6s   4D          1.5      6-4      E1     
8086.127    250000.0    0.0012     11.2700245-12.8033198  3d6.(5D).5p           4D*         1.5      3d6.(5D).6s   4D          0.5      4-2      E1     
8183.6121   4500000.0   0.046      11.2700245-12.7850548  3d6.(5D).5p           4D*         1.5      3d6.(5D).6s   4D          1.5      4-4      E1     

8221.2976   9500000.0   0.096      11.2377818-12.7458673  3d6.(5D).5p           4D*         2.5      3d6.(5D).6s   4D          2.5      6-6      E1     
8400.9081   9600000.0   0.153      11.2700245-12.7458673  3d6.(5D).5p           4D*         1.5      3d6.(5D).6s   4D          2.5      4-6      E1     
8506.3373   9300000.0   0.134      11.2377818-12.6953327  3d6.(5D).5p           4D*         2.5      3d6.(5D).6s   4D          3.5      6-8      E1     

6733.9428   280000.0    0.0014     11.2553628-13.0965456  3d6.(5D).5p           4F*         3.5      3d6.(5D).5d   4G          2.5      8-6      E1     
6817.128    7700000.0   0.054      11.2553628-13.0740788  3d6.(5D).5p           4F*         3.5      3d6.(5D).5d   4G          3.5      8-8      E1     
6929.7879   66000000.0  0.59       11.2553628-13.0445113  3d6.(5D).5p           4F*         3.5      3d6.(5D).5d   4G          4.5      8-10     E1     

8185.1206   1700000.0   0.011      11.2703037-12.7850548  3d6.(5D).5p           4P*         2.5      3d6.(5D).6s   4D          1.5      6-4      E1     
8402.4978   11800000.0  0.125      11.2703037-12.7458673  3d6.(5D).5p           4P*         2.5      3d6.(5D).6s   4D          2.5      6-6      E1     
8700.4685   2800000.0   0.042      11.2703037-12.6953327  3d6.(5D).5p           4P*         2.5      3d6.(5D).6s   4D          3.5      6-8      E1     

9057.8159   1000000.0   0.0063     11.4345108-12.8033198  3d6.(5D).5p           4P*         1.5      3d6.(5D).6s   4D          0.5      4-2      E1     
9180.3153   4800000.0   0.061      11.4345108-12.7850548  3d6.(5D).5p           4P*         1.5      3d6.(5D).6s   4D          1.5      4-4      E1     
9454.6519   2400000.0   0.049      11.4345108-12.7458673  3d6.(5D).5p           4P*         1.5      3d6.(5D).6s   4D          2.5      4-6      E1     

