Ritz      Aud         fdu      E_d(eV)-E_u(eV)      lower_conf   lower_term  lower_J  upper_conf   upper_term  upper_J  g_d-g_u  type   
----------------------------------------------------------------------------------------------------------------------------------------
5672.825  8300000.0   0.028    23.322635-25.508216  3d5.(4D).5s  5D          3.0      3d5.(4D).5p  5D*         2.0      7-5      E1     
5674.47   40400000.0  0.195    23.322635-25.507583  3d5.(4D).5s  5D          3.0      3d5.(4D).5p  5D*         3.0      7-7      E1     
5694.002  31300000.0  0.196    23.322635-25.500088  3d5.(4D).5s  5D          3.0      3d5.(4D).5p  5D*         4.0      7-9      E1     

5820.102  56300000.0  0.35     23.310704-25.44098   3d5.(4D).5s  5D          4.0      3d5.(4D).5p  5F*         5.0      9-11     E1     
5855.109  31300000.0  0.161    23.310704-25.428243  3d5.(4D).5s  5D          4.0      3d5.(4D).5p  5F*         4.0      9-9      E1     
5886.13   4300000.0   0.017    23.310704-25.417083  3d5.(4D).5s  5D          4.0      3d5.(4D).5p  5F*         3.0      9-7      E1     

5888.286  17500000.0  0.117    23.322635-25.428243  3d5.(4D).5s  5D          3.0      3d5.(4D).5p  5F*         4.0      7-9      E1     
5919.661  16300000.0  0.086    23.322635-25.417083  3d5.(4D).5s  5D          3.0      3d5.(4D).5p  5F*         3.0      7-7      E1     
5931.261  18200000.0  0.134    23.326732-25.417083  3d5.(4D).5s  5D          2.0      3d5.(4D).5p  5F*         3.0      5-7      E1     

5940.489  1600000.0   0.006    23.322635-25.409739  3d5.(4D).5s  5D          3.0      3d5.(4D).5p  5F*         2.0      7-5      E1     
5952.172  15000000.0  0.077    23.326732-25.409739  3d5.(4D).5s  5D          2.0      3d5.(4D).5p  5F*         2.0      5-5      E1     
5964.986  2200000.0   0.007    23.326732-25.405265  3d5.(4D).5s  5D          2.0      3d5.(4D).5p  5F*         1.0      5-3      E1     

5666.83   17000000.0  0.064    25.034852-27.222746  3d5.(4F).5s  5F          4.0      3d5.(4F).5p  5F*         3.0      9-7      E1     
5673.701  15000000.0  0.052    25.048596-27.23384   3d5.(4F).5s  5F          3.0      3d5.(4F).5p  5F*         2.0      7-5      E1     
5686.06   11000000.0  0.032    25.064195-27.244689  3d5.(4F).5s  5F          2.0      3d5.(4F).5p  5F*         1.0      5-3      E1     

5697.22   38900000.0  0.189    25.034852-27.211075  3d5.(4F).5s  5F          4.0      3d5.(4F).5p  5F*         4.0      9-9      E1     
5702.652  44100000.0  0.215    25.048596-27.222746  3d5.(4F).5s  5F          3.0      3d5.(4F).5p  5F*         3.0      7-7      E1     
5714.495  27000000.0  0.13     25.064195-27.23384   3d5.(4F).5s  5F          2.0      3d5.(4F).5p  5F*         2.0      5-5      E1     

5715.569  900000.0    0.006    25.034852-27.204088  3d5.(4F).5s  5F          4.0      3d5.(4F).5p  5F*         5.0      9-11     E1     
5733.429  13700000.0  0.087    25.048596-27.211075  3d5.(4F).5s  5F          3.0      3d5.(4F).5p  5F*         4.0      7-9      E1     
5743.865  8400000.0   0.058    25.064195-27.222746  3d5.(4F).5s  5F          2.0      3d5.(4F).5p  5F*         3.0      5-7      E1     

5091.989  2600000.0   0.007    22.275198-24.710085  3d5.(4G).4d  5F          3.0      3d5.(4G).5p  5F*         2.0      7-5      E1     
5093.823  1800000.0   0.006    22.271397-24.705408  3d5.(4G).4d  5F          4.0      3d5.(4G).5p  5F*         3.0      9-7      E1     
5101.791  20000000.0  0.08     22.275198-24.705408  3d5.(4G).4d  5F          3.0      3d5.(4G).5p  5F*         3.0      7-7      E1     

5106.749  24000000.0  0.095    22.271397-24.699247  3d5.(4G).4d  5F          4.0      3d5.(4G).5p  5F*         4.0      9-9      E1     
5114.757  4100000.0   0.021    22.275198-24.699247  3d5.(4G).4d  5F          3.0      3d5.(4G).5p  5F*         4.0      7-9      E1     
5125.839  2100000.0   0.01     22.271397-24.690205  3d5.(4G).4d  5F          4.0      3d5.(4G).5p  5F*         5.0      9-11     E1     

5902.32   22000000.0  0.07     18.787949-20.88855   3d5.(6S).4d  5D          2.0      3d5.(6S).5p  5P*         1.0      5-3      E1     
5922.024  22000000.0  0.113    18.787949-20.881561  3d5.(6S).4d  5D          2.0      3d5.(6S).5p  5P*         2.0      5-5      E1     
5954.224  1800000.0   0.014    18.787949-20.870239  3d5.(6S).4d  5D          2.0      3d5.(6S).5p  5P*         3.0      5-7      E1     

5231.39   3400000.0   0.018    18.26364-20.63364    3d5.(6S).4d  7D          3.0      3d5.(6S).5p  7P*         4.0      7-9      E1     
5277.944  30000000.0  0.124    18.26364-20.61274    3d5.(6S).4d  7D          3.0      3d5.(6S).5p  7P*         3.0      7-7      E1     
5308.236  19000000.0  0.057    18.26364-20.59933    3d5.(6S).4d  7D          3.0      3d5.(6S).5p  7P*         2.0      7-5      E1     

5047.204  2500000.0   0.007    20.870239-23.326732  3d5.(6S).5p  5P*         3.0      3d5.(4D).5s  5D          2.0      7-5      E1     
5055.635  12000000.0  0.046    20.870239-23.322635  3d5.(6S).5p  5P*         3.0      3d5.(4D).5s  5D          3.0      7-7      E1     
5080.351  24000000.0  0.119    20.870239-23.310704  3d5.(6S).5p  5P*         3.0      3d5.(4D).5s  5D          4.0      7-9      E1     

5980.969  87600000.0  0.282    18.815572-20.88855   3d5.(6S).5s  5S          2.0      3d5.(6S).5p  5P*         1.0      5-3      E1     
6001.201  86600000.0  0.468    18.815572-20.881561  3d5.(6S).5s  5S          2.0      3d5.(6S).5p  5P*         2.0      5-5      E1     
6034.271  84500000.0  0.646    18.815572-20.870239  3d5.(6S).5s  5S          2.0      3d5.(6S).5p  5P*         3.0      5-7      E1     

5835.548  92600000.0  0.608    18.509-20.63364      3d5.(6S).5s  7S          3.0      3d5.(6S).5p  7P*         4.0      7-9      E1     
