Ritz      Aud         fdu        E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
---------------------------------------------------------------------------------------------------------------------------------------
5484.99   22726000.0  0.034169   59.020708-61.281137  1s.2s       3S          1.0      1s.2p       3P*         0.0      3-1      E1    
5485.93   22727000.0  0.1709     59.020708-61.280749  1s.2s       3S          1.0      1s.2p       3P*         2.0      3-5      E1    
5486.61   22720000.0  0.10256    59.020708-61.280467  1s.2s       3S          1.0      1s.2p       3P*         1.0      3-3      E1    

10502.35  47599.0     0.0013118  72.2347-73.415238    1s.4d       3D          1.0      1s.5p       3P*         2.0      3-5      E1    
10503.09  1190000.0   0.01968    72.2347-73.415155    1s.4d       3D          1.0      1s.5p       3P*         1.0      3-3      E1    
10503.51  4760100.0   0.026243   72.2347-73.415108    1s.4d       3D          1.0      1s.5p       3P*         0.0      3-1      E1    

9417.93   21233000.0  0.39528    72.144648-73.461119  1s.4p       3P*         2.0      1s.5d       3D          3.0      5-7      E1    
9418.51   5307500.0   0.070584   72.144648-73.461037  1s.4p       3P*         2.0      1s.5d       3D          2.0      5-5      E1    
9418.86   589810.0    0.0047067  72.144648-73.460988  1s.4p       3P*         2.0      1s.5d       3D          1.0      5-3      E1    

11135.35  4261200.0   0.1109     73.415238-74.528667  1s.5p       3P*         2.0      1s.7d       3D          3.0      5-7      E1    
11136.17  1065200.0   0.019804   73.415238-74.528585  1s.5p       3P*         2.0      1s.7d       3D          2.0      5-5      E1    
11136.7   118370.0    0.0013206  73.415238-74.528537  1s.5p       3P*         2.0      1s.7d       3D          1.0      5-3      E1    

