Ritz      Aud         fdu    E_d(eV)-E_u(eV)        lower_conf            lower_term  lower_J  upper_conf            upper_term  upper_J  g_d-g_u  type  
---------------------------------------------------------------------------------------------------------------------------------------------------------
7267.817  17000000.0  0.08   10.7788119-12.484746   3d4.(5D).4s.4p.(3P*)  w 5P*       2.0      3d5.(6S).5d           5D          1.0      5-3      E1    
7269.381  39000000.0  0.31   10.7788119-12.484379   3d4.(5D).4s.4p.(3P*)  w 5P*       2.0      3d5.(6S).5d           5D          2.0      5-5      E1    
7271.763  44000000.0  0.49   10.7788119-12.4838207  3d4.(5D).4s.4p.(3P*)  w 5P*       2.0      3d5.(6S).5d           5D          3.0      5-7      E1    

7142.952  22000000.0  0.23   10.6496819-12.3854376  3d5.(6S).5p           x 7P*       2.0      3d5.(6S).5d           7D          3.0      5-7      E1    
7144.383  50000000.0  0.39   10.6496819-12.3850898  3d5.(6S).5p           x 7P*       2.0      3d5.(6S).5d           7D          2.0      5-5      E1    
7145.3    75000000.0  0.35   10.6496819-12.3848673  3d5.(6S).5p           x 7P*       2.0      3d5.(6S).5d           7D          1.0      5-3      E1    

7174.356  46000000.0  0.46   10.6577588-12.3859168  3d5.(6S).5p           x 7P*       3.0      3d5.(6S).5d           7D          4.0      7-9      E1    
7176.346  46000000.0  0.36   10.6577588-12.3854376  3d5.(6S).5p           x 7P*       3.0      3d5.(6S).5d           7D          3.0      7-7      E1    
7177.79   25000000.0  0.14   10.6577588-12.3850898  3d5.(6S).5p           x 7P*       3.0      3d5.(6S).5d           7D          2.0      7-5      E1    

7221.957  68000000.0  0.65   10.6697857-12.3865529  3d5.(6S).5p           x 7P*       4.0      3d5.(6S).5d           7D          5.0      9-11     E1    
7224.634  25000000.0  0.2    10.6697857-12.3859168  3d5.(6S).5p           x 7P*       4.0      3d5.(6S).5d           7D          4.0      9-9      E1    
7226.652  6000000.0   0.037  10.6697857-12.3854376  3d5.(6S).5p           x 7P*       4.0      3d5.(6S).5d           7D          3.0      9-7      E1    

9446.143  34000000.0  0.27   9.4692672-10.781805    3d5.(6S).5s           e 5S        2.0      3d4.(5D).4s.4p.(3P*)  w 5P*       1.0      5-3      E1    
9467.733  33000000.0  0.45   9.4692672-10.7788119   3d5.(6S).5s           e 5S        2.0      3d4.(5D).4s.4p.(3P*)  w 5P*       2.0      5-5      E1    
9502.957  33000000.0  0.62   9.4692672-10.7739579   3d5.(6S).5s           e 5S        2.0      3d4.(5D).4s.4p.(3P*)  w 5P*       3.0      5-7      E1    

8697.585  37000000.0  0.54   9.2442843-10.6697857   3d5.(6S).5s           e 7S        3.0      3d5.(6S).5p           x 7P*       4.0      7-9      E1    
8771.591  38000000.0  0.44   9.2442843-10.6577588   3d5.(6S).5s           e 7S        3.0      3d5.(6S).5p           x 7P*       3.0      7-7      E1    
8822.002  38000000.0  0.32   9.2442843-10.6496819   3d5.(6S).5s           e 7S        3.0      3d5.(6S).5p           x 7P*       2.0      7-5      E1    

