Ritz       Aud         fdu       E_d(eV)-E_u(eV)        lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
---------------------------------------------------------------------------------------------------------------------------------------------------
12264.596  430000.0    0.0129    12.0096116-13.020523   2s2.2p2.(3P).3p  2D*         2.5      2s2.2p2.(3P).3d  4D          3.5      6-8      E1    
12278.22   23900.0     0.00054   12.0096116-13.019401   2s2.2p2.(3P).3p  2D*         2.5      2s2.2p2.(3P).3d  4D          2.5      6-6      E1    
12296.77   0.88        1.3e-08   12.0096116-13.017878   2s2.2p2.(3P).3p  2D*         2.5      2s2.2p2.(3P).3d  4D          1.5      6-4      E1    

9789.47    1180000.0   0.0254    11.7528949-13.019401   2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).3d  4D          2.5      4-6      E1    
9801.25    3330000.0   0.048     11.7528949-13.017878   2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).3d  4D          1.5      4-4      E1    
9812.7     5420000.0   0.0391    11.7528949-13.016403   2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).3d  4D          0.5      4-2      E1    

9816.712   700000.0    0.0135    11.7575319-13.020523   2s2.2p2.(3P).3p  4D*         2.5      2s2.2p2.(3P).3d  4D          3.5      6-8      E1    
9825.44    5740000.0   0.083     11.7575319-13.019401   2s2.2p2.(3P).3p  4D*         2.5      2s2.2p2.(3P).3d  4D          2.5      6-6      E1    
9837.31    4500000.0   0.0435    11.7575319-13.017878   2s2.2p2.(3P).3p  4D*         2.5      2s2.2p2.(3P).3d  4D          1.5      6-4      E1    

10115.253  34100000.0  0.698     11.7575319-12.9832471  2s2.2p2.(3P).3p  4D*         2.5      2s2.2p2.(3P).3d  4F          3.5      6-8      E1    
10117.41   39000000.0  0.748     11.7638464-12.9893     2s2.2p2.(3P).3p  4D*         3.5      2s2.2p2.(3P).3d  4F          4.5      8-10     E1    
10150.048  7320000.0   0.113     11.7575319-12.9790453  2s2.2p2.(3P).3p  4D*         2.5      2s2.2p2.(3P).3d  4F          2.5      6-6      E1    

