Ritz      Aud          fdu       E_d(eV)-E_u(eV)      lower_conf      lower_term  lower_J  upper_conf      upper_term  upper_J  g_d-g_u  type  
-----------------------------------------------------------------------------------------------------------------------------------------------
5174.826  73600000.0   0.414     27.733833-30.129743  2s.2p2.(4P).3p  5D*         2.0      2s.2p2.(4P).3d  5F          3.0      5-7      E1    
5177.331  89300000.0   0.461     27.739182-30.133933  2s.2p2.(4P).3p  5D*         3.0      2s.2p2.(4P).3d  5F          4.0      7-9      E1    
5180.963  107000000.0  0.526     27.745867-30.138939  2s.2p2.(4P).3p  5D*         4.0      2s.2p2.(4P).3d  5F          5.0      9-11     E1    

5181.801  42800000.0   0.172     27.733833-30.126519  2s.2p2.(4P).3p  5D*         2.0      2s.2p2.(4P).3d  5F          2.0      5-5      E1    
5186.405  32000000.0   0.129     27.739182-30.129743  2s.2p2.(4P).3p  5D*         3.0      2s.2p2.(4P).3d  5F          3.0      7-7      E1    
5186.531  7110000.0    0.0172    27.733833-30.124337  2s.2p2.(4P).3p  5D*         2.0      2s.2p2.(4P).3d  5F          1.0      5-3      E1    

5191.825  17700000.0   0.0715    27.745867-30.133933  2s.2p2.(4P).3p  5D*         4.0      2s.2p2.(4P).3d  5F          4.0      9-9      E1    
5193.41   4250000.0    0.0123    27.739182-30.126519  2s.2p2.(4P).3p  5D*         3.0      2s.2p2.(4P).3d  5F          2.0      7-5      E1    
5200.949  1510000.0    0.00476   27.745867-30.129743  2s.2p2.(4P).3p  5D*         4.0      2s.2p2.(4P).3d  5F          3.0      9-7      E1    

5169.489  30600000.0   0.204     27.971269-30.369653  2s.2p2.(4P).3p  5P*         1.0      2s.2p2.(4P).3d  5D          2.0      3-5      E1    
5171.596  65400000.0   0.262     27.971269-30.368676  2s.2p2.(4P).3p  5P*         1.0      2s.2p2.(4P).3d  5D          1.0      3-3      E1    
5172.706  87100000.0   0.116     27.971269-30.368161  2s.2p2.(4P).3p  5P*         1.0      2s.2p2.(4P).3d  5D          0.0      3-1      E1    

5172.91   58100000.0   0.326     27.974241-30.371039  2s.2p2.(4P).3p  5P*         2.0      2s.2p2.(4P).3d  5D          3.0      5-7      E1    
5175.903  50700000.0   0.204     27.974241-30.369653  2s.2p2.(4P).3p  5P*         2.0      2s.2p2.(4P).3d  5D          2.0      5-5      E1    
5178.015  21700000.0   0.0523    27.974241-30.368676  2s.2p2.(4P).3p  5P*         2.0      2s.2p2.(4P).3d  5D          1.0      5-3      E1    

5180.786  86700000.0   0.449     27.979665-30.372819  2s.2p2.(4P).3p  5P*         3.0      2s.2p2.(4P).3d  5D          4.0      7-9      E1    
5184.643  28800000.0   0.116     27.979665-30.371039  2s.2p2.(4P).3p  5P*         3.0      2s.2p2.(4P).3d  5D          3.0      7-7      E1    
5187.65   5760000.0    0.0166    27.979665-30.369653  2s.2p2.(4P).3p  5P*         3.0      2s.2p2.(4P).3d  5D          2.0      7-5      E1    

5321.682  42000000.0   0.107     27.974241-30.304034  2s.2p2.(4P).3p  5P*         2.0      2s.2p2.(4P).3d  5P          1.0      5-3      E1    
5329.238  4650000.0    0.0198    27.974241-30.300731  2s.2p2.(4P).3p  5P*         2.0      2s.2p2.(4P).3d  5P          2.0      5-5      E1    
5340.214  18500000.0   0.111     27.974241-30.295949  2s.2p2.(4P).3p  5P*         2.0      2s.2p2.(4P).3d  5P          3.0      5-7      E1    

6858.92   25300000.0   0.107     28.496399-30.304034  2s.2p2.(4P).3p  5S*         2.0      2s.2p2.(4P).3d  5P          1.0      5-3      E1    
6871.47   25100000.0   0.178     28.496399-30.300731  2s.2p2.(4P).3p  5S*         2.0      2s.2p2.(4P).3d  5P          2.0      5-5      E1    
6889.73   24900000.0   0.248     28.496399-30.295949  2s.2p2.(4P).3p  5S*         2.0      2s.2p2.(4P).3d  5P          3.0      5-7      E1    

5894.78   28800000.0   0.21      26.263284-28.366572  2s.2p2.(4P).3s  3P          2.0      2s.2p2.(4P).3p  3D*         3.0      5-7      E1    
5915.71   7130000.0    0.0374    26.263284-28.35913   2s.2p2.(4P).3s  3P          2.0      2s.2p2.(4P).3p  3D*         2.0      5-5      E1    
5928.87   787000.0     0.00249   26.263284-28.354479  2s.2p2.(4P).3s  3P          2.0      2s.2p2.(4P).3p  3D*         1.0      5-3      E1    

5527.769  21300000.0   0.163     25.4909-27.733833    2s.2p2.(4P).3s  5P          1.0      2s.2p2.(4P).3p  5D*         2.0      3-5      E1    
5531.778  40400000.0   0.259     25.497874-27.739182  2s.2p2.(4P).3s  5P          2.0      2s.2p2.(4P).3p  5D*         3.0      5-7      E1    
