Ritz     Aud         fdu      E_d(eV)-E_u(eV)    lower_conf      lower_term  lower_J  upper_conf      upper_term  upper_J  g_d-g_u  type  
------------------------------------------------------------------------------------------------------------------------------------------
6455.86  14900000.0  0.14     39.34467-41.26516  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4D*         2.5      4-6      E1    
6464.88  11300000.0  0.0708   39.34467-41.26249  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4D*         1.5      4-4      E1    
6468.81  21100000.0  0.176    39.35199-41.26864  2s.2p.(3P*).3p  4P          2.5      2s.2p.(3P*).3d  4D*         3.5      6-8      E1    

6470.36  3520000.0   0.011    39.34467-41.26086  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4D*         0.5      4-2      E1    
6480.55  6310000.0   0.0397   39.35199-41.26516  2s.2p.(3P*).3p  4P          2.5      2s.2p.(3P*).3d  4D*         2.5      6-6      E1    
6489.63  1050000.0   0.00442  39.35199-41.26249  2s.2p.(3P*).3p  4P          2.5      2s.2p.(3P*).3d  4D*         1.5      6-4      E1    

5274.15  13900000.0  0.029    39.34467-41.69546  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4P*         0.5      4-2      E1    
5283.9   2210000.0   0.00925  39.34467-41.69112  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4P*         1.5      4-4      E1    
5299.22  4930000.0   0.0311   39.34467-41.68434  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4P*         2.5      4-6      E1    

10494.7  1240000.0   0.0102   46.71671-47.89811  2s.2p.(3P*).4p  4D          1.5      2s.2p.(3P*).4d  4P*         0.5      4-2      E1    
10530.6  784000.0    0.013    46.71671-47.89408  2s.2p.(3P*).4p  4D          1.5      2s.2p.(3P*).4d  4P*         1.5      4-4      E1    
10591.0  48200.0     0.00122  46.71671-47.88737  2s.2p.(3P*).4p  4D          1.5      2s.2p.(3P*).4d  4P*         2.5      4-6      E1    

14327.7  2960000.0   0.0455   47.03276-47.89811  2s.2p.(3P*).4p  4P          1.5      2s.2p.(3P*).4d  4P*         0.5      4-2      E1    
14394.7  467000.0    0.0145   47.03276-47.89408  2s.2p.(3P*).4p  4P          1.5      2s.2p.(3P*).4d  4P*         1.5      4-4      E1    
14507.7  1030000.0   0.0488   47.03276-47.88737  2s.2p.(3P*).4p  4P          1.5      2s.2p.(3P*).4d  4P*         2.5      4-6      E1    

12671.9  11100000.0  0.134    46.91969-47.89811  2s.2p.(3P*).4p  4S          1.5      2s.2p.(3P*).4d  4P*         0.5      4-2      E1    
12724.3  11000000.0  0.267    46.91969-47.89408  2s.2p.(3P*).4p  4S          1.5      2s.2p.(3P*).4d  4P*         1.5      4-4      E1    
12812.5  10800000.0  0.399    46.91969-47.88737  2s.2p.(3P*).4p  4S          1.5      2s.2p.(3P*).4d  4P*         2.5      4-6      E1    

12079.5  9950000.0   0.326    45.69789-46.72429  2s.2p.(3P*).4s  4P*         1.5      2s.2p.(3P*).4p  4D          2.5      4-6      E1    
12122.8  14100000.0  0.414    45.71252-46.73525  2s.2p.(3P*).4s  4P*         2.5      2s.2p.(3P*).4p  4D          3.5      6-8      E1    
12169.3  7410000.0   0.165    45.69789-46.71671  2s.2p.(3P*).4s  4P*         1.5      2s.2p.(3P*).4p  4D          1.5      4-4      E1    

12236.8  2280000.0   0.0256   45.69789-46.7111   2s.2p.(3P*).4s  4P*         1.5      2s.2p.(3P*).4p  4D          0.5      4-2      E1    
12254.2  4080000.0   0.0919   45.71252-46.72429  2s.2p.(3P*).4s  4P*         2.5      2s.2p.(3P*).4p  4D          2.5      6-6      E1    
12346.6  665000.0    0.0101   45.71252-46.71671  2s.2p.(3P*).4s  4P*         2.5      2s.2p.(3P*).4p  4D          1.5      6-4      E1    

9242.74  10800000.0  0.207    45.69789-47.03931  2s.2p.(3P*).4s  4P*         1.5      2s.2p.(3P*).4p  4P          2.5      4-6      E1    
9288.07  4750000.0   0.0614   45.69789-47.03276  2s.2p.(3P*).4s  4P*         1.5      2s.2p.(3P*).4p  4P          1.5      4-4      E1    
9326.79  29300000.0  0.191    45.69789-47.02722  2s.2p.(3P*).4s  4P*         1.5      2s.2p.(3P*).4p  4P          0.5      4-2      E1    

