Ritz       Aud         fdu       E_d(eV)-E_u(eV)        lower_conf        lower_term  lower_J  upper_conf        upper_term  upper_J  g_d-g_u  type  
-----------------------------------------------------------------------------------------------------------------------------------------------------
8229.915   8130000.0   0.0495    12.5406949-14.0472014  2s2.2p3.(2D*).3s  3D*         2.0      2s2.2p3.(2D*).3p  3D          1.0      5-3      E1    
8232.263   22600000.0  0.23      12.5406949-14.0467717  2s2.2p3.(2D*).3s  3D*         2.0      2s2.2p3.(2D*).3p  3D          2.0      5-5      E1    
8232.289   3620000.0   0.0515    12.5406949-14.0467669  2s2.2p3.(2D*).3s  3D*         2.0      2s2.2p3.(2D*).3p  3D          3.0      5-7      E1    

7774.083   36900000.0  0.468     9.1460911-10.7409314   2s2.2p3.(4S*).3s  5S*         2.0      2s2.2p3.(4S*).3p  5P          3.0      5-7      E1    
7776.305   36900000.0  0.335     9.1460911-10.7404756   2s2.2p3.(4S*).3s  5S*         2.0      2s2.2p3.(4S*).3p  5P          2.0      5-5      E1    
7777.527   36900000.0  0.201     9.1460911-10.740225    2s2.2p3.(4S*).3s  5S*         2.0      2s2.2p3.(4S*).3p  5P          1.0      5-3      E1    

7019.235   32200.0     7.93e-05  12.3588649-14.125214   2s2.2p3.(4S*).4p  3P          1.0      2s2.2p3.(2P*).3s  3P*         0.0      3-1      E1    
7022.263   8050.0      5.95e-05  12.3588649-14.1244523  2s2.2p3.(4S*).4p  3P          1.0      2s2.2p3.(2P*).3s  3P*         1.0      3-3      E1    
7027.412   8030.0      9.91e-05  12.3588649-14.1231587  2s2.2p3.(4S*).4p  3P          1.0      2s2.2p3.(2P*).3s  3P*         2.0      3-5      E1    

12270.115  235000.0    0.00743   11.8376056-12.8480623  2s2.2p3.(4S*).4s  5S*         2.0      2s2.2p3.(4S*).5p  5P          3.0      5-7      E1    
12270.868  235000.0    0.0053    11.8376056-12.8480003  2s2.2p3.(4S*).4s  5S*         2.0      2s2.2p3.(4S*).5p  5P          2.0      5-5      E1    
12271.405  235000.0    0.00318   11.8376056-12.847956   2s2.2p3.(4S*).4s  5S*         2.0      2s2.2p3.(4S*).5p  5P          1.0      5-3      E1    

