Ritz      Aud         fdu       E_d(eV)-E_u(eV)        lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
--------------------------------------------------------------------------------------------------------------------------------------------------
6812.357  164000.0    0.00152   28.6837551-30.5037449  2s2.2p2.(3P).3d  4F          2.5      2s2.2p2.(3P).4p  4D*         3.5      6-8      E1    
6845.987  297000.0    0.00313   28.6770648-30.4881141  2s2.2p2.(3P).3d  4F          1.5      2s2.2p2.(3P).4p  4D*         2.5      4-6      E1    
6871.371  5350000.0   0.0379    28.6837551-30.4881141  2s2.2p2.(3P).3d  4F          2.5      2s2.2p2.(3P).4p  4D*         2.5      6-6      E1    

6886.78   6120000.0   0.0435    28.6770648-30.477387   2s2.2p2.(3P).3d  4F          1.5      2s2.2p2.(3P).4p  4D*         1.5      4-4      E1    
6909.778  30300000.0  0.108     28.6770648-30.471394   2s2.2p2.(3P).3d  4F          1.5      2s2.2p2.(3P).4p  4D*         0.5      4-2      E1    
6912.468  24300000.0  0.116     28.6837551-30.477387   2s2.2p2.(3P).3d  4F          2.5      2s2.2p2.(3P).4p  4D*         1.5      6-4      E1    

10699.33  188000.0    0.00161   30.477387-31.63619     2s2.2p2.(3P).4p  4D*         1.5      2s2.2p2.(3P).4d  4P          0.5      4-2      E1    
10723.04  119000.0    0.00205   30.477387-31.633627    2s2.2p2.(3P).4p  4D*         1.5      2s2.2p2.(3P).4d  4P          1.5      4-4      E1    
10766.22  7370.0      0.000192  30.477387-31.62899     2s2.2p2.(3P).4p  4D*         1.5      2s2.2p2.(3P).4d  4P          2.5      4-6      E1    

8231.53   779000.0    0.0119    30.477387-31.983597    2s2.2p2.(3P).4p  4D*         1.5      2s2.2p2.(3P).5s  4P          2.5      4-6      E1    
8345.0    12000000.0  0.125     30.477387-31.963118    2s2.2p2.(3P).4p  4D*         1.5      2s2.2p2.(3P).5s  4P          1.5      4-4      E1    
8418.19   18200000.0  0.0967    30.477387-31.9502      2s2.2p2.(3P).4p  4D*         1.5      2s2.2p2.(3P).5s  4P          0.5      4-2      E1    

13945.88  10300000.0  0.45      29.599076-30.4881141   2s2.2p2.(3P).4s  4P          1.5      2s2.2p2.(3P).4p  4D*         2.5      4-6      E1    
14014.76  14400000.0  0.565     29.619076-30.5037449   2s2.2p2.(3P).4s  4P          2.5      2s2.2p2.(3P).4p  4D*         3.5      6-8      E1    
14116.22  7540000.0   0.225     29.599076-30.477387    2s2.2p2.(3P).4s  4P          1.5      2s2.2p2.(3P).4p  4D*         1.5      4-4      E1    

14213.19  2310000.0   0.035     29.599076-30.471394    2s2.2p2.(3P).4s  4P          1.5      2s2.2p2.(3P).4p  4D*         0.5      4-2      E1    
14266.83  4110000.0   0.125     29.619076-30.4881141   2s2.2p2.(3P).4s  4P          2.5      2s2.2p2.(3P).4p  4D*         2.5      6-6      E1    
14445.15  659000.0    0.0137    29.619076-30.477387    2s2.2p2.(3P).4s  4P          2.5      2s2.2p2.(3P).4p  4D*         1.5      6-4      E1    

