Ritz      Aud         fdu       E_d(eV)-E_u(eV)      lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
------------------------------------------------------------------------------------------------------------------------------------------------
9121.9    16200000.0  0.121     54.4715-55.830696    2s.2p2.(4P).4p   5P*         2.0      2s.2p2.(4P).4d   5P          1.0      5-3      E1    
9167.13   1770000.0   0.0223    54.4715-55.823989    2s.2p2.(4P).4p   5P*         2.0      2s.2p2.(4P).4d   5P          2.0      5-5      E1    
9229.0    6940000.0   0.124     54.4715-55.814923    2s.2p2.(4P).4p   5P*         2.0      2s.2p2.(4P).4d   5P          3.0      5-7      E1    

9247.61   9160000.0   0.164     53.143-54.48372      2s.2p2.(4P).4s   5P          2.0      2s.2p2.(4P).4p   5P*         3.0      5-7      E1    
9332.62   2230000.0   0.0291    53.143-54.4715       2s.2p2.(4P).4s   5P          2.0      2s.2p2.(4P).4p   5P*         2.0      5-5      E1    
9377.87   19800000.0  0.157     53.143-54.46509      2s.2p2.(4P).4s   5P          2.0      2s.2p2.(4P).4p   5P*         1.0      5-3      E1    

5948.02   18000.0     0.000134  46.789849-48.87431   2s2.2p.(2P*).4d  3F*         2.0      2s.2p2.(2D).3s   3D          3.0      5-7      E1    
5973.1    882000.0    0.00472   46.789849-48.86556   2s2.2p.(2P*).4d  3F*         2.0      2s.2p2.(2D).3s   3D          2.0      5-5      E1    
5990.24   7850000.0   0.0253    46.789849-48.85962   2s2.2p.(2P*).4d  3F*         2.0      2s.2p2.(2D).3s   3D          1.0      5-3      E1    

7412.13   669000.0    0.00771   47.201591-48.87431   2s2.2p.(2P*).4d  3P*         2.0      2s.2p2.(2D).3s   3D          3.0      5-7      E1    
7451.13   165000.0    0.00137   47.201591-48.86556   2s2.2p.(2P*).4d  3P*         2.0      2s.2p2.(2D).3s   3D          2.0      5-5      E1    
7477.82   18100.0     9.1e-05   47.201591-48.85962   2s2.2p.(2P*).4d  3P*         2.0      2s.2p2.(2D).3s   3D          1.0      5-3      E1    

5051.278  8400000.0   0.0107    47.203006-49.657518  2s2.2p.(2P*).4d  3P*         1.0      2s.2p2.(4P).3d   3P          0.0      3-1      E1    
5065.068  2080000.0   0.008     47.203006-49.650835  2s2.2p.(2P*).4d  3P*         1.0      2s.2p2.(4P).3d   3P          1.0      3-3      E1    
5093.299  2050000.0   0.0133    47.203006-49.637267  2s2.2p.(2P*).4d  3P*         1.0      2s.2p2.(4P).3d   3P          2.0      3-5      E1    

7836.38   1690000.0   0.0218    45.452081-47.034243  2s2.2p.(2P*).4p  3D          2.0      2s2.2p.(2P*).4d  3D*         3.0      5-7      E1    
7875.71   10400000.0  0.0967    45.452081-47.026342  2s2.2p.(2P*).4p  3D          2.0      2s2.2p.(2P*).4d  3D*         2.0      5-5      E1    
7916.79   3680000.0   0.0207    45.452081-47.018174  2s2.2p.(2P*).4p  3D          2.0      2s2.2p.(2P*).4d  3D*         1.0      5-3      E1    

9135.8    40800000.0  0.656     45.477729-46.834854  2s2.2p.(2P*).4p  3D          3.0      2s2.2p.(2P*).4d  3F*         4.0      7-9      E1    
9293.95   4320000.0   0.0559    45.477729-46.81176   2s2.2p.(2P*).4p  3D          3.0      2s2.2p.(2P*).4d  3F*         3.0      7-7      E1    
9449.15   162000.0    0.00155   45.477729-46.789849  2s2.2p.(2P*).4p  3D          3.0      2s2.2p.(2P*).4d  3F*         2.0      7-5      E1    

7018.26   6550000.0   0.0161    45.438777-47.205372  2s2.2p.(2P*).4p  3D          1.0      2s2.2p.(2P*).4d  3P*         0.0      3-1      E1    
7027.67   1630000.0   0.0121    45.438777-47.203006  2s2.2p.(2P*).4p  3D          1.0      2s2.2p.(2P*).4d  3P*         1.0      3-3      E1    
7033.31   65100.0     0.000805  45.438777-47.201591  2s2.2p.(2P*).4p  3D          1.0      2s2.2p.(2P*).4d  3P*         2.0      3-5      E1    

12473.74  4090000.0   0.0318    45.926018-46.91998   2s2.2p.(2P*).4p  3P          1.0      2s.2p2.(4P).3p   3P*         0.0      3-1      E1    
12500.75  1020000.0   0.0239    45.926018-46.917833  2s2.2p.(2P*).4p  3P          1.0      2s.2p2.(4P).3p   3P*         1.0      3-3      E1    
12519.78  1010000.0   0.0396    45.926018-46.916325  2s2.2p.(2P*).4p  3P          1.0      2s.2p2.(4P).3p   3P*         2.0      3-5      E1    

11324.69  15000000.0  0.404     45.93943-47.034243   2s2.2p.(2P*).4p  3P          2.0      2s2.2p.(2P*).4d  3D*         3.0      5-7      E1    
11407.01  3660000.0   0.0714    45.93943-47.026342   2s2.2p.(2P*).4p  3P          2.0      2s2.2p.(2P*).4d  3D*         2.0      5-5      E1    
11493.38  398000.0    0.00473   45.93943-47.018174   2s2.2p.(2P*).4p  3P          2.0      2s2.2p.(2P*).4d  3D*         1.0      5-3      E1    

9691.16   5130000.0   0.0241    45.926018-47.205372  2s2.2p.(2P*).4p  3P          1.0      2s2.2p.(2P*).4d  3P*         0.0      3-1      E1    
9709.11   1270000.0   0.0179    45.926018-47.203006  2s2.2p.(2P*).4p  3P          1.0      2s2.2p.(2P*).4d  3P*         1.0      3-3      E1    
9719.88   1270000.0   0.03      45.926018-47.201591  2s2.2p.(2P*).4p  3P          1.0      2s2.2p.(2P*).4d  3P*         2.0      3-5      E1    

9540.84   5410000.0   0.0246    45.620469-46.91998   2s2.2p.(2P*).4p  3S          1.0      2s.2p2.(4P).3p   3P*         0.0      3-1      E1    
9556.63   5380000.0   0.0737    45.620469-46.917833  2s2.2p.(2P*).4p  3S          1.0      2s.2p2.(4P).3p   3P*         1.0      3-3      E1    
9567.75   5360000.0   0.123     45.620469-46.916325  2s2.2p.(2P*).4p  3S          1.0      2s.2p2.(4P).3p   3P*         2.0      3-5      E1    

7822.83   31000000.0  0.0948    45.620469-47.205372  2s2.2p.(2P*).4p  3S          1.0      2s2.2p.(2P*).4d  3P*         0.0      3-1      E1    
7834.52   30900000.0  0.284     45.620469-47.203006  2s2.2p.(2P*).4p  3S          1.0      2s2.2p.(2P*).4d  3P*         1.0      3-3      E1    
7841.53   30800000.0  0.473     45.620469-47.201591  2s2.2p.(2P*).4p  3S          1.0      2s2.2p.(2P*).4d  3P*         2.0      3-5      E1    

10324.59  20300000.0  0.454     44.276866-45.477729  2s2.2p.(2P*).4s  3P*         2.0      2s2.2p.(2P*).4p  3D          3.0      5-7      E1    
10549.91  4750000.0   0.0793    44.276866-45.452081  2s2.2p.(2P*).4s  3P*         2.0      2s2.2p.(2P*).4p  3D          2.0      5-5      E1    
10670.72  510000.0    0.00522   44.276866-45.438777  2s2.2p.(2P*).4s  3P*         2.0      2s2.2p.(2P*).4p  3D          1.0      5-3      E1    

7309.13   14100000.0  0.188     44.243139-45.93943   2s2.2p.(2P*).4s  3P*         1.0      2s2.2p.(2P*).4p  3P          2.0      3-5      E1    
7367.38   13700000.0  0.111     44.243139-45.926018  2s2.2p.(2P*).4s  3P*         1.0      2s2.2p.(2P*).4p  3P          1.0      3-3      E1    
7416.09   53800000.0  0.148     44.243139-45.914967  2s2.2p.(2P*).4s  3P*         1.0      2s2.2p.(2P*).4p  3P          0.0      3-1      E1    

