Ritz       Aud         fdu      E_d(eV)-E_u(eV)      lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
------------------------------------------------------------------------------------------------------------------------------------------------
7003.5     54000.0     0.00053  8.1315198-9.901838   3s2.3p2.(3P).4p  4D*         2.5      3s2.3p2.(3P).5d  4D          3.5      6-8      E1    
7053.86    370000.0    0.0028   8.1315198-9.889199   3s2.3p2.(3P).4p  4D*         2.5      3s2.3p2.(3P).5d  4D          2.5      6-6      E1    
7075.46    290000.0    0.0015   8.1315198-9.883833   3s2.3p2.(3P).4p  4D*         2.5      3s2.3p2.(3P).5d  4D          1.5      6-4      E1    

7177.59    3300000.0   0.032    8.1567289-9.884107   3s2.3p2.(3P).4p  4D*         3.5      3s2.3p2.(3P).5d  4F          4.5      8-10     E1    
7178.64    4700000.0   0.048    8.1315198-9.858647   3s2.3p2.(3P).4p  4D*         2.5      3s2.3p2.(3P).5d  4F          3.5      6-8      E1    
7237.48    1700000.0   0.013    8.1315198-9.844606   3s2.3p2.(3P).4p  4D*         2.5      3s2.3p2.(3P).5d  4F          2.5      6-6      E1    

7270.48    150000.0    0.00079  8.1315198-9.836829   3s2.3p2.(3P).4p  4D*         2.5      3s2.3p2.(3P).5d  4F          1.5      6-4      E1    
7284.97    810000.0    0.0064   8.1567289-9.858647   3s2.3p2.(3P).4p  4D*         3.5      3s2.3p2.(3P).5d  4F          3.5      8-8      E1    
7345.57    65000.0     0.00039  8.1567289-9.844606   3s2.3p2.(3P).4p  4D*         3.5      3s2.3p2.(3P).5d  4F          2.5      8-6      E1    

7836.24    58000.0     0.0008   8.1147813-9.69697    3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).6s  4P          2.5      4-6      E1    
8004.85    1000000.0   0.0096   8.1147813-9.663645   3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).6s  4P          1.5      4-4      E1    
8117.29    1500000.0   0.0074   8.1147813-9.642189   3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).6s  4P          0.5      4-2      E1    

7507.81    1800000.0   0.02     8.2504346-9.901838   3s2.3p2.(3P).4p  4P*         2.5      3s2.3p2.(3P).5d  4D          3.5      6-8      E1    
7565.71    790000.0    0.0068   8.2504346-9.889199   3s2.3p2.(3P).4p  4P*         2.5      3s2.3p2.(3P).5d  4D          2.5      6-6      E1    
7590.57    160000.0    0.00092  8.2504346-9.883833   3s2.3p2.(3P).4p  4P*         2.5      3s2.3p2.(3P).5d  4D          1.5      6-4      E1    

10532.409  15000000.0  0.37     6.9543513-8.1315198  3s2.3p2.(3P).4s  4P          1.5      3s2.3p2.(3P).4p  4D*         2.5      4-6      E1    
10583.356  21000000.0  0.47     6.9852271-8.1567289  3s2.3p2.(3P).4s  4P          2.5      3s2.3p2.(3P).4p  4D*         3.5      6-8      E1    
10684.333  11000000.0  0.19     6.9543513-8.1147813  3s2.3p2.(3P).4s  4P          1.5      3s2.3p2.(3P).4p  4D*         1.5      4-4      E1    

10772.461  3300000.0   0.029    6.9543513-8.1052879  3s2.3p2.(3P).4s  4P          1.5      3s2.3p2.(3P).4p  4D*         0.5      4-2      E1    
10816.103  6000000.0   0.11     6.9852271-8.1315198  3s2.3p2.(3P).4s  4P          2.5      3s2.3p2.(3P).4p  4D*         2.5      6-6      E1    
10976.383  950000.0    0.011    6.9852271-8.1147813  3s2.3p2.(3P).4s  4P          2.5      3s2.3p2.(3P).4p  4D*         1.5      6-4      E1    

9566.067   8100000.0   0.17     6.9543513-8.2504346  3s2.3p2.(3P).4s  4P          1.5      3s2.3p2.(3P).4p  4P*         2.5      4-6      E1    
9737.425   3500000.0   0.05     6.9543513-8.2276264  3s2.3p2.(3P).4s  4P          1.5      3s2.3p2.(3P).4p  4P*         1.5      4-4      E1    
9753.422   22000000.0  0.16     6.9543513-8.225538   3s2.3p2.(3P).4s  4P          1.5      3s2.3p2.(3P).4p  4P*         0.5      4-2      E1    

5163.704   3200000.0   0.017    6.9852271-9.3862983  3s2.3p2.(3P).4s  4P          2.5      3s2.3p2.(3P).5p  4D*         3.5      6-8      E1    
5223.35    580000.0    0.0024   6.9852271-9.3588801  3s2.3p2.(3P).4s  4P          2.5      3s2.3p2.(3P).5p  4D*         2.5      6-6      E1    
5259.876   57000.0     0.00016  6.9852271-9.3423968  3s2.3p2.(3P).4s  4P          2.5      3s2.3p2.(3P).5p  4D*         1.5      6-4      E1    

5046.813   1600000.0   0.0092   6.9543513-9.4110345  3s2.3p2.(3P).4s  4P          1.5      3s2.3p2.(3P).5p  4P*         2.5      4-6      E1    
5099.646   2900000.0   0.0057   6.9543513-9.3855829  3s2.3p2.(3P).4s  4P          1.5      3s2.3p2.(3P).5p  4P*         0.5      4-2      E1    
5102.391   460000.0    0.0018   6.9543513-9.384275   3s2.3p2.(3P).4s  4P          1.5      3s2.3p2.(3P).5p  4P*         1.5      4-4      E1    

