Ritz       Aud         fdu       E_d(eV)-E_u(eV)       lower_conf        lower_term  lower_J  upper_conf         upper_term  upper_J  g_d-g_u  type  
-----------------------------------------------------------------------------------------------------------------------------------------------------
9635.771   995000.0    0.0194    8.4092488-9.6959565   3s2.3p3.(2D*).4s  3D*         2.0      3s2.3p3.(2D*).4p   3D          3.0      4-6      E1    
9683.216   5120000.0   0.0432    8.4092488-9.6896519   3s2.3p3.(2D*).4s  3D*         2.0      3s2.3p3.(2D*).4p   3D          1.0      4-2      E1    
9683.465   16700000.0  0.235     8.4092488-9.689619    3s2.3p3.(2D*).4s  3D*         2.0      3s2.3p3.(2D*).4p   3D          2.0      4-4      E1    

9415.965   22500000.0  0.384     8.4114409-9.7281853   3s2.3p3.(2D*).4s  3D*         3.0      3s2.3p3.(2D*).4p   3F          4.0      6-8      E1    
9440.186   1020000.0   0.0136    8.4114409-9.7248069   3s2.3p3.(2D*).4s  3D*         3.0      3s2.3p3.(2D*).4p   3F          3.0      6-6      E1    
9463.36    18800.0     0.000181  8.4114409-9.7215907   3s2.3p3.(2D*).4s  3D*         3.0      3s2.3p3.(2D*).4p   3F          2.0      6-4      E1    

8619.51    15500000.0  0.0576    8.4081522-9.846566    3s2.3p3.(2D*).4s  3D*         1.0      3s2.3p3.(2D*).4p   3P          0.0      2-1      E1    
8628.921   3810000.0   0.0425    8.4081522-9.8449969   3s2.3p3.(2D*).4s  3D*         1.0      3s2.3p3.(2D*).4p   3P          1.0      2-2      E1    
8650.925   139000.0    0.0026    8.4081522-9.8413422   3s2.3p3.(2D*).4s  3D*         1.0      3s2.3p3.(2D*).4p   3P          2.0      2-4      E1    

9903.729   85900.0     0.00126   8.4081522-9.6600463   3s2.3p3.(2D*).4s  3D*         1.0      3s2.3p3.(4S*).6p   3P          1.0      2-2      E1    
9914.871   1500000.0   0.00736   8.4081522-9.6586395   3s2.3p3.(2D*).4s  3D*         1.0      3s2.3p3.(4S*).6p   3P          0.0      2-1      E1    
9926.349   59500.0     0.00146   8.4081522-9.6571934   3s2.3p3.(2D*).4s  3D*         1.0      3s2.3p3.(4S*).6p   3P          2.0      2-4      E1    

5727.17    15200.0     4.47e-05  8.04565097-10.210494  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).10d  3D*         1.0      4-2      E1    
5727.44    134000.0    0.000661  8.04565097-10.21039   3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).10d  3D*         2.0      4-4      E1    
5727.97    530000.0    0.00365   8.04565097-10.210192  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).10d  3D*         3.0      4-6      E1    

9038.437   2140000.0   0.0367    8.04565097-9.4173947  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).4d   3D*         3.0      4-6      E1    
9041.803   544000.0    0.00667   8.04565097-9.4168842  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).4d   3D*         2.0      4-4      E1    
9042.222   60800.0     0.000447  8.04565097-9.4168206  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).4d   3D*         1.0      4-2      E1    

6538.96    57900.0     0.000223  8.04565097-9.941736   3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).6d   3D*         1.0      4-2      E1    
6539.73    521000.0    0.00334   8.04565097-9.941513   3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).6d   3D*         2.0      4-4      E1    
6540.381   2080000.0   0.0187    8.04565097-9.941323   3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).6d   3D*         3.0      4-6      E1    

6175.85    41700.0     0.000143  8.04565097-10.053215  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).7d   3D*         1.0      4-2      E1    
6176.69    376000.0    0.00215   8.04565097-10.052943  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).7d   3D*         2.0      4-4      E1    
6177.53    1500000.0   0.012     8.04565097-10.05267   3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).7d   3D*         3.0      4-6      E1    

5961.14    29600.0     9.46e-05  8.04565097-10.125527  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).8d   3D*         1.0      4-2      E1    
5961.97    267000.0    0.00142   8.04565097-10.125234  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).8d   3D*         2.0      4-4      E1    
5962.84    1060000.0   0.00794   8.04565097-10.12493   3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).8d   3D*         3.0      4-6      E1    

