Ritz      Aud         fdu      E_d(eV)-E_u(eV)      lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
-----------------------------------------------------------------------------------------------------------------------------------------------
6959.86   570000.0    0.00552  14.162847-15.944265  3s2.3p2.(3P).3d  4D          2.5      3s2.3p2.(3P).4p  4D*         3.5      6-8      E1    
7126.238  773000.0    0.00882  14.159064-15.898891  3s2.3p2.(3P).3d  4D          1.5      3s2.3p2.(3P).4p  4D*         2.5      4-6      E1    
7141.767  1690000.0   0.013    14.162847-15.898891  3s2.3p2.(3P).3d  4D          2.5      3s2.3p2.(3P).4p  4D*         2.5      6-6      E1    

7259.107  1040000.0   0.00822  14.159064-15.867045  3s2.3p2.(3P).3d  4D          1.5      3s2.3p2.(3P).4p  4D*         1.5      4-4      E1    
7275.221  1290000.0   0.00681  14.162847-15.867045  3s2.3p2.(3P).3d  4D          2.5      3s2.3p2.(3P).4p  4D*         1.5      6-4      E1    
7339.698  1550000.0   0.00625  14.159064-15.848291  3s2.3p2.(3P).3d  4D          1.5      3s2.3p2.(3P).4p  4D*         0.5      4-2      E1    

6276.043  613000.0    0.00543  14.159064-16.134579  3s2.3p2.(3P).3d  4D          1.5      3s2.3p2.(3P).4p  4P*         2.5      4-6      E1    
6386.662  8210000.0   0.0502   14.159064-16.100363  3s2.3p2.(3P).3d  4D          1.5      3s2.3p2.(3P).4p  4P*         1.5      4-4      E1    
6415.484  12500000.0  0.0387   14.159064-16.091641  3s2.3p2.(3P).3d  4D          1.5      3s2.3p2.(3P).4p  4P*         0.5      4-2      E1    

5618.192  7580000.0   0.0359   13.660211-15.867045  3s2.3p2.(3P).3d  4F          1.5      3s2.3p2.(3P).4p  4D*         1.5      4-4      E1    
5661.568  31200000.0  0.1      13.677118-15.867045  3s2.3p2.(3P).3d  4F          2.5      3s2.3p2.(3P).4p  4D*         1.5      6-4      E1    
5666.346  38900000.0  0.0936   13.660211-15.848291  3s2.3p2.(3P).3d  4F          1.5      3s2.3p2.(3P).4p  4D*         0.5      4-2      E1    

5008.119  17000000.0  0.096    16.245507-18.721171  3s2.3p2.(3P).4p  4S*         1.5      3s2.3p2.(3P).5s  4P          2.5      4-6      E1    
5127.559  18000000.0  0.071    16.245507-18.663503  3s2.3p2.(3P).4p  4S*         1.5      3s2.3p2.(3P).5s  4P          1.5      4-4      E1    
5200.299  18000000.0  0.036    16.245507-18.629681  3s2.3p2.(3P).4p  4S*         1.5      3s2.3p2.(3P).5s  4P          0.5      4-2      E1    

5434.307  60400000.0  0.401    13.617382-15.898891  3s2.3p2.(3P).4s  4P          1.5      3s2.3p2.(3P).4p  4D*         2.5      4-6      E1    
5455.368  77500000.0  0.461    13.671564-15.944265  3s2.3p2.(3P).4s  4P          2.5      3s2.3p2.(3P).4p  4D*         3.5      6-8      E1    
5511.233  36700000.0  0.167    13.617382-15.867045  3s2.3p2.(3P).4s  4P          1.5      3s2.3p2.(3P).4p  4D*         1.5      4-4      E1    

5557.562  10300000.0  0.0239   13.617382-15.848291  3s2.3p2.(3P).4s  4P          1.5      3s2.3p2.(3P).4p  4D*         0.5      4-2      E1    
5566.503  16500000.0  0.0768   13.671564-15.898891  3s2.3p2.(3P).4s  4P          2.5      3s2.3p2.(3P).4p  4D*         2.5      6-6      E1    
5647.245  2470000.0   0.00787  13.671564-15.867045  3s2.3p2.(3P).4s  4P          2.5      3s2.3p2.(3P).4p  4D*         1.5      6-4      E1    

9591.79   3180000.0   0.0658   19.45802-20.750624   3s2.3p2.(3P).5p  4D*         1.5      3s2.3p2.(3P).5d  4D          2.5      4-6      E1    
9614.03   1930000.0   0.0357   19.48706-20.776676   3s2.3p2.(3P).5p  4D*         2.5      3s2.3p2.(3P).5d  4D          3.5      6-8      E1    
9659.71   5340000.0   0.0747   19.45802-20.741536   3s2.3p2.(3P).5p  4D*         1.5      3s2.3p2.(3P).5d  4D          1.5      4-4      E1    

