Ritz       Aud         fdu     E_d(eV)-E_u(eV)      lower_conf     lower_term  lower_J  upper_conf     upper_term  upper_J  g_d-g_u  type  
-------------------------------------------------------------------------------------------------------------------------------------------
5392.447   500000.0    0.0029  1.9865643-4.2857841  3d.4s.(1D).4p  2D*         2.5      3d.4s.(3D).5s  4D          3.5      6-8      E1    
5417.92    2000000.0   0.0088  1.9865643-4.2749739  3d.4s.(1D).4p  2D*         2.5      3d.4s.(3D).5s  4D          2.5      6-6      E1    
5434.751   9700000.0   0.0286  1.9865643-4.2678869  3d.4s.(1D).4p  2D*         2.5      3d.4s.(3D).5s  4D          1.5      6-4      E1    

5439.777   3400000.0   0.0226  1.9957592-4.2749739  3d.4s.(1D).4p  2D*         1.5      3d.4s.(3D).5s  4D          2.5      4-6      E1    
5456.744   6600000.0   0.0295  1.9957592-4.2678869  3d.4s.(1D).4p  2D*         1.5      3d.4s.(3D).5s  4D          1.5      4-4      E1    
5466.461   3200000.0   0.0072  1.9957592-4.263848   3d.4s.(1D).4p  2D*         1.5      3d.4s.(3D).5s  4D          0.5      4-2      E1    

5417.643   4400000.0   0.029   1.9864474-4.2749739  3d.4s.(3D).4p  4D*         1.5      3d.4s.(3D).5s  4D          2.5      4-6      E1    
5427.061   4500000.0   0.0265  2.0012291-4.2857841  3d.4s.(3D).4p  4D*         2.5      3d.4s.(3D).5s  4D          3.5      6-8      E1    
5434.472   5400000.0   0.0239  1.9864474-4.2678869  3d.4s.(3D).4p  4D*         1.5      3d.4s.(3D).5s  4D          1.5      4-4      E1    

5444.11    21500000.0  0.048   1.9864474-4.263848   3d.4s.(3D).4p  4D*         1.5      3d.4s.(3D).5s  4D          0.5      4-2      E1    
5452.863   15000000.0  0.067   2.0012291-4.2749739  3d.4s.(3D).4p  4D*         2.5      3d.4s.(3D).5s  4D          2.5      6-6      E1    
5469.913   9700000.0   0.029   2.0012291-4.2678869  3d.4s.(3D).4p  4D*         2.5      3d.4s.(3D).5s  4D          1.5      6-4      E1    

5316.137   500000.0    0.0028  1.9535607-4.2857841  3d.4s.(3D).4p  4F*         2.5      3d.4s.(3D).5s  4D          3.5      6-8      E1    
5317.0474  650000.0    0.0041  1.9431497-4.2749739  3d.4s.(3D).4p  4F*         1.5      3d.4s.(3D).5s  4D          2.5      4-6      E1    
5333.257   11100000.0  0.047   1.9431497-4.2678869  3d.4s.(3D).4p  4F*         1.5      3d.4s.(3D).5s  4D          1.5      4-4      E1    

5340.893   10600000.0  0.045   1.9535607-4.2749739  3d.4s.(3D).4p  4F*         2.5      3d.4s.(3D).5s  4D          2.5      6-6      E1    
5342.539   38000000.0  0.081   1.9431497-4.263848   3d.4s.(3D).4p  4F*         1.5      3d.4s.(3D).5s  4D          0.5      4-2      E1    
5357.248   30000000.0  0.086   1.9535607-4.2678869  3d.4s.(3D).4p  4F*         2.5      3d.4s.(3D).5s  4D          1.5      6-4      E1    

