Ritz       Aud         fdu       E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
---------------------------------------------------------------------------------------------------------------------------------------
13610.633  1350.0      5.25e-05  6.1807152-7.0916515  3s2.3p.3d   3F*         2.0      3s2.3p.5p   3D          3.0      5-7      E1    
13953.49   62000.0     0.00181   6.1807152-7.0692685  3s2.3p.3d   3F*         2.0      3s2.3p.5p   3D          2.0      5-5      E1    
14030.311  549000.0    0.00972   6.1807152-7.0644034  3s2.3p.3d   3F*         2.0      3s2.3p.5p   3D          1.0      5-3      E1    

10730.345  17000000.0  0.378     5.9840096-7.1394636  3s2.3p.4p   3D          3.0      3s2.3p.4d   3F*         4.0      7-9      E1    
10885.79   1820000.0   0.0323    5.9840096-7.1229641  3s2.3p.4p   3D          3.0      3s2.3p.4d   3F*         3.0      7-7      E1    
10979.353  70000.0     0.000904  5.9840096-7.1132583  3s2.3p.4p   3D          3.0      3s2.3p.4d   3F*         2.0      7-5      E1    

7946.186   5750000.0   0.07      5.9840096-7.5443078  3s2.3p.4p   3D          3.0      3s2.3p.5d   3F*         4.0      7-9      E1    
8037.828   811000.0    0.00786   5.9840096-7.5265183  3s2.3p.4p   3D          3.0      3s2.3p.5d   3F*         3.0      7-7      E1    
8076.795   31600.0     0.000221  5.9840096-7.5190764  3s2.3p.4p   3D          3.0      3s2.3p.5d   3F*         2.0      7-5      E1    

7007.81    3830000.0   0.0363    5.9840096-7.753238   3s2.3p.4p   3D          3.0      3s2.3p.6d   3F*         4.0      7-9      E1    
7085.903   413000.0    0.00311   5.9840096-7.73374    3s2.3p.4p   3D          3.0      3s2.3p.6d   3F*         3.0      7-7      E1    
7099.43    16200.0     8.76e-05  5.9840096-7.730406   3s2.3p.4p   3D          3.0      3s2.3p.6d   3F*         2.0      7-5      E1    

10071.09   1490000.0   0.0318    6.0986113-7.329702   3s2.3p.4p   3P          2.0      3s2.3p.4d   3D*         3.0      5-7      E1    
