Ritz      Aud         fdu       E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
--------------------------------------------------------------------------------------------------------------------------------------
9175.59   15300000.0  0.271     26.804174-28.155413  3p.3d       3P*         2.0      3s.5d       3D          3.0      5-7      E1    
9179.39   3820000.0   0.0483    26.804174-28.154854  3p.3d       3P*         2.0      3s.5d       3D          2.0      5-5      E1    
9181.94   425000.0    0.00322   26.804174-28.154479  3p.3d       3P*         2.0      3s.5d       3D          1.0      5-3      E1    

5474.562  60700000.0  0.382     28.122131-30.386863  3p.4s       3P*         2.0      3p.4p       3D          3.0      5-7      E1    
5541.465  14600000.0  0.0674    28.122131-30.359521  3p.4s       3P*         2.0      3p.4p       3D          2.0      5-5      E1    
5581.401  1590000.0   0.00446   28.122131-30.343512  3p.4s       3P*         2.0      3p.4p       3D          1.0      5-3      E1    

6778.5    17700000.0  0.0407    24.994933-26.824014  3s.4d       3D          1.0      3p.3d       3P*         0.0      3-1      E1    
6806.91   4380000.0   0.0304    24.994933-26.81638   3s.4d       3D          1.0      3p.3d       3P*         1.0      3-3      E1    
6852.83   171000.0    0.00201   24.994933-26.804174  3s.4d       3D          1.0      3p.3d       3P*         2.0      3-5      E1    

12499.66  10400000.0  0.314     24.99515-25.987051   3s.4d       3D          3.0      3s.4f       3F*         4.0      7-9      E1    
12563.05  1140000.0   0.027     24.99515-25.982046   3s.4d       3D          3.0      3s.4f       3F*         3.0      7-7      E1    
12607.29  44700.0     0.00076   24.99515-25.978583   3s.4d       3D          3.0      3s.4f       3F*         2.0      7-5      E1    

7463.95   49900000.0  0.139     24.994933-26.65604   3s.4d       3D          1.0      3s.5p       3P*         0.0      3-1      E1    
7464.4    12500000.0  0.104     24.994933-26.655939  3s.4d       3D          1.0      3s.5p       3P*         1.0      3-3      E1    
7467.4    499000.0    0.00695   24.994933-26.655272  3s.4d       3D          1.0      3s.5p       3P*         2.0      3-5      E1    

5695.63   47100.0     0.000321  25.978583-28.155413  3s.4f       3F*         2.0      3s.5d       3D          3.0      5-7      E1    
5697.09   2340000.0   0.0114    25.978583-28.154854  3s.4f       3F*         2.0      3s.5d       3D          2.0      5-5      E1    
