Ritz      Aud       fdu       E_d(eV)-E_u(eV)       lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
-------------------------------------------------------------------------------------------------------------------------------------
1929.341  1.15e+08  1.07e-01  11.672797-18.096925   3p2         3P          1.0      3p.4s       3P*         2.0      3-5      E1    
1934.076  1.14e+08  6.42e-02  11.672797-18.081198   3p2         3P          1.0      3p.4s       3P*         1.0      3-3      E1    
1936.27   4.56e+08  8.55e-02  11.672797-18.073939   3p2         3P          1.0      3p.4s       3P*         0.0      3-1      E1    

1776.973  1.67e+09  1.11e+00  11.687827-18.665098   3p2         3P          2.0      3p.3d       3D*         3.0      5-7      E1    
1777.826  4.18e+08  1.98e-01  11.687827-18.661751   3p2         3P          2.0      3p.3d       3D*         2.0      5-5      E1    
1778.596  4.64e+07  1.32e-02  11.687827-18.658729   3p2         3P          2.0      3p.3d       3D*         1.0      5-3      E1    

10078.4   1.62e+05  4.12e-03  11.846869-13.076729   3s.3d       3D          1.0      3s.4p       3P*         2.0      3-5      E1    
10108.39  4.02e+06  6.16e-02  11.846869-13.07308    3s.3d       3D          1.0      3s.4p       3P*         1.0      3-3      E1    
10122.7   1.60e+07  8.21e-02  11.846869-13.071347   3s.3d       3D          1.0      3s.4p       3P*         0.0      3-1      E1    

1818.391  6.82e+07  4.73e-02  11.846753-18.665098   3s.3d       3D          2.0      3p.3d       3D*         3.0      5-7      E1    
1819.285  4.25e+08  2.11e-01  11.846753-18.661751   3s.3d       3D          2.0      3p.3d       3D*         2.0      5-5      E1    
1820.092  1.53e+08  4.55e-02  11.846753-18.658729   3s.3d       3D          2.0      3p.3d       3D*         1.0      5-3      E1    

2192.604  2.47e+08  2.29e-01  11.846618-17.499508   3s.3d       3D          3.0      3p.3d       3F*         4.0      7-9      E1    
2194.191  2.74e+07  1.98e-02  11.846618-17.495418   3s.3d       3D          3.0      3p.3d       3F*         3.0      7-7      E1    
2195.404  1.08e+06  5.59e-04  11.846618-17.492297   3s.3d       3D          3.0      3p.3d       3F*         2.0      7-5      E1    

2637.691  2.85e+07  3.83e-02  11.846618-16.5457     3s.3d       3D          3.0      3s.5f       3F*         4.0      7-9      E1    
2638.178  3.18e+06  3.32e-03  11.846618-16.544833   3s.3d       3D          3.0      3s.5f       3F*         3.0      7-7      E1    
2638.552  1.25e+05  9.35e-05  11.846618-16.544168   3s.3d       3D          3.0      3s.5f       3F*         2.0      7-5      E1    

2324.198  3.46e+07  3.61e-02  11.846618-17.17947    3s.3d       3D          3.0      3s.6f       3F*         4.0      7-9      E1    
