Ritz      Aud       fdu       E_d(eV)-E_u(eV)    lower_conf        lower_term  lower_J  upper_conf        upper_term  upper_J  g_d-g_u  type  
----------------------------------------------------------------------------------------------------------------------------------------------
1219.179  3.06e+08  6.82e-02  85.01946-95.18894  2s2.2p5.(2P*).3p  1D          2.0      2s2.2p5.(2P*).3d  3D*         2.0      5-5      E1    
1225.23   1.38e+07  4.35e-03  85.01946-95.13872  2s2.2p5.(2P*).3p  1D          2.0      2s2.2p5.(2P*).3d  3D*         3.0      5-7      E1    
1232.246  6.07e+06  8.29e-04  85.01946-95.0811   2s2.2p5.(2P*).3p  1D          2.0      2s2.2p5.(2P*).3d  3D*         1.0      5-3      E1    

1360.3    5.91e+07  2.73e-02  85.17207-94.28655  2s2.2p5.(2P*).3p  1P          1.0      2s2.2p5.(2P*).3d  3P*         2.0      3-5      E1    
1376.696  3.94e+07  1.12e-02  85.17207-94.178    2s2.2p5.(2P*).3p  1P          1.0      2s2.2p5.(2P*).3d  3P*         1.0      3-3      E1    
1384.384  1.22e+08  1.17e-02  85.17207-94.12799  2s2.2p5.(2P*).3p  1P          1.0      2s2.2p5.(2P*).3d  3P*         0.0      3-1      E1    

1290.481  1.82e+07  7.58e-03  84.67895-94.28655  2s2.2p5.(2P*).3p  3D          1.0      2s2.2p5.(2P*).3d  3P*         2.0      3-5      E1    
1305.227  5.16e+06  1.32e-03  84.67895-94.178    2s2.2p5.(2P*).3p  3D          1.0      2s2.2p5.(2P*).3d  3P*         1.0      3-3      E1    
1312.136  9.75e+07  8.39e-03  84.67895-94.12799  2s2.2p5.(2P*).3p  3D          1.0      2s2.2p5.(2P*).3d  3P*         0.0      3-1      E1    

1161.881  1.77e+08  3.57e-02  84.51796-95.18894  2s2.2p5.(2P*).3p  3D          2.0      2s2.2p5.(2P*).3d  3D*         2.0      5-5      E1    
1167.376  9.41e+07  2.69e-02  84.51796-95.13872  2s2.2p5.(2P*).3p  3D          2.0      2s2.2p5.(2P*).3d  3D*         3.0      5-7      E1    
1173.743  1.31e+08  1.62e-02  84.51796-95.0811   2s2.2p5.(2P*).3p  3D          2.0      2s2.2p5.(2P*).3d  3D*         1.0      5-3      E1    

1208.404  2.86e+07  4.48e-03  84.41586-94.67602  2s2.2p5.(2P*).3p  3D          3.0      2s2.2p5.(2P*).3d  3F*         2.0      7-5      E1    
1228.31   2.21e+08  5.00e-02  84.41586-94.50974  2s2.2p5.(2P*).3p  3D          3.0      2s2.2p5.(2P*).3d  3F*         3.0      7-7      E1    
1237.186  1.96e+09  5.79e-01  84.41586-94.43733  2s2.2p5.(2P*).3p  3D          3.0      2s2.2p5.(2P*).3d  3F*         4.0      7-9      E1    

1392.314  3.15e+07  1.53e-02  85.38164-94.28655  2s2.2p5.(2P*).3p  3P          1.0      2s2.2p5.(2P*).3d  3P*         2.0      3-5      E1    
1409.495  1.13e+08  3.36e-02  85.38164-94.178    2s2.2p5.(2P*).3p  3P          1.0      2s2.2p5.(2P*).3d  3P*         1.0      3-3      E1    
1417.555  3.23e+08  3.24e-02  85.38164-94.12799  2s2.2p5.(2P*).3p  3P          1.0      2s2.2p5.(2P*).3d  3P*         0.0      3-1      E1    

1251.25   1.05e+07  2.46e-03  85.28011-95.18894  2s2.2p5.(2P*).3p  3P          2.0      2s2.2p5.(2P*).3d  3D*         2.0      5-5      E1    
1257.624  1.68e+09  5.58e-01  85.28011-95.13872  2s2.2p5.(2P*).3p  3P          2.0      2s2.2p5.(2P*).3d  3D*         3.0      5-7      E1    
1265.017  2.30e+06  3.32e-04  85.28011-95.0811   2s2.2p5.(2P*).3p  3P          2.0      2s2.2p5.(2P*).3d  3D*         1.0      5-3      E1    

1125.622  1.18e+09  3.72e-01  83.27182-94.28655  2s2.2p5.(2P*).3p  3S          1.0      2s2.2p5.(2P*).3d  3P*         2.0      3-5      E1    
1136.825  1.36e+09  2.63e-01  83.27182-94.178    2s2.2p5.(2P*).3p  3S          1.0      2s2.2p5.(2P*).3d  3P*         1.0      3-3      E1    
1142.062  1.44e+09  9.42e-02  83.27182-94.12799  2s2.2p5.(2P*).3p  3S          1.0      2s2.2p5.(2P*).3d  3P*         0.0      3-1      E1    

1564.164  2.67e+08  9.79e-02  77.4551-85.38164   2s2.2p5.(2P*).3s  1P*         1.0      2s2.2p5.(2P*).3p  3P          1.0      3-3      E1    
1572.522  2.84e+07  3.51e-03  77.4551-85.33951   2s2.2p5.(2P*).3s  1P*         1.0      2s2.2p5.(2P*).3p  3P          0.0      3-1      E1    
1584.46   3.34e+08  2.09e-01  77.4551-85.28011   2s2.2p5.(2P*).3s  1P*         1.0      2s2.2p5.(2P*).3p  3P          2.0      3-5      E1    

1424.999  7.57e+07  2.30e-02  76.68099-85.38164  2s2.2p5.(2P*).3s  3P*         1.0      2s2.2p5.(2P*).3p  3P          1.0      3-3      E1    
1431.932  8.25e+08  8.45e-02  76.68099-85.33951  2s2.2p5.(2P*).3s  3P*         1.0      2s2.2p5.(2P*).3p  3P          0.0      3-1      E1    
