Ritz        Aud        fdu        E_d(eV)-E_u(eV)            lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
--------------------------------------------------------------------------------------------------------------------------------------------------------
3841.51838  2.69e+07   2.98e-02   19.61030789-22.83687165    3s2.3p4.(3P).4p  4D*         1.5      3s2.3p4.(3P).4d  4D          0.5      4-2      E1    
3872.13701  1.5e+07    3.4e-02    19.61030789-22.81135843    3s2.3p4.(3P).4p  4D*         1.5      3s2.3p4.(3P).4d  4D          1.5      4-4      E1    
3900.62636  7.2e+06    2.5e-02    19.61030789-22.78797918    3s2.3p4.(3P).4p  4D*         1.5      3s2.3p4.(3P).4d  4D          2.5      4-6      E1    

3799.38187  1.7e+07    2.5e-02    19.549011775-22.81135843   3s2.3p4.(3P).4p  4D*         2.5      3s2.3p4.(3P).4d  4D          1.5      6-4      E1    
3826.80692  2.81e+07   6.17e-02   19.549011775-22.78797918   3s2.3p4.(3P).4p  4D*         2.5      3s2.3p4.(3P).4d  4D          2.5      6-6      E1    
3844.73084  4.8e+06    1.4e-02    19.549011775-22.77287965   3s2.3p4.(3P).4p  4D*         2.5      3s2.3p4.(3P).4d  4D          3.5      6-8      E1    

3487.31541  2.7e+06    3.3e-03    19.549011775-23.103285166  3s2.3p4.(3P).4p  4D*         2.5      3s2.3p4.(3P).4d  4F          1.5      6-4      E1    
3519.99331  5.2e+07    9.7e-02    19.549011775-23.070289982  3s2.3p4.(3P).4p  4D*         2.5      3s2.3p4.(3P).4d  4F          2.5      6-6      E1    
3576.61538  2.75e+08   7.04e-01   19.549011775-23.01454553   3s2.3p4.(3P).4p  4D*         2.5      3s2.3p4.(3P).4d  4F          3.5      6-8      E1    

3466.36343  3.0e+06    4.1e-03    19.49453389-23.070289982   3s2.3p4.(3P).4p  4D*         3.5      3s2.3p4.(3P).4d  4F          2.5      8-6      E1    
3521.2599   2.27e+07   4.22e-02   19.49453389-23.01454553    3s2.3p4.(3P).4p  4D*         3.5      3s2.3p4.(3P).4d  4F          3.5      8-8      E1    
3588.44021  3.03e+08   7.32e-01   19.49453389-22.94864813    3s2.3p4.(3P).4p  4D*         3.5      3s2.3p4.(3P).4d  4F          4.5      8-10     E1    

3169.66803  4.9e+07    1.1e-01    19.261084163-23.1715357    3s2.3p4.(3P).4p  4P*         1.5      3s2.3p4.(3P).4d  4P          2.5      4-6      E1    
3212.5181   5.2e+06    8.1e-03    19.261084163-23.11937815   3s2.3p4.(3P).4p  4P*         1.5      3s2.3p4.(3P).4d  4P          1.5      4-4      E1    
3243.68806  1.056e+08  8.333e-02  19.261084163-23.08230349   3s2.3p4.(3P).4p  4P*         1.5      3s2.3p4.(3P).4d  4P          0.5      4-2      E1    

3622.13719  6.4e+07    6.3e-02    19.261084163-22.683065435  3s2.3p4.(3P).4p  4P*         1.5      3s2.3p4.(3P).5s  4P          0.5      4-2      E1    
3720.42586  1.7e+07    3.5e-02    19.261084163-22.592663597  3s2.3p4.(3P).4p  4P*         1.5      3s2.3p4.(3P).5s  4P          1.5      4-4      E1    
3809.45576  4.4e+07    1.4e-01    19.261084163-22.514803938  3s2.3p4.(3P).4p  4P*         1.5      3s2.3p4.(3P).5s  4P          2.5      4-6      E1    

3454.09498  3.14e+07   3.75e-02   19.222902151-22.81135843   3s2.3p4.(3P).4p  4P*         2.5      3s2.3p4.(3P).4d  4D          1.5      6-4      E1    
3476.74711  1.25e+08   2.27e-01   19.222902151-22.78797918   3s2.3p4.(3P).4p  4P*         2.5      3s2.3p4.(3P).4d  4D          2.5      6-6      E1    
3491.5356   2.31e+08   5.63e-01   19.222902151-22.77287965   3s2.3p4.(3P).4p  4P*         2.5      3s2.3p4.(3P).4d  4D          3.5      6-8      E1    

3868.52819  1.4e+08    4.7e-01    19.96749907-23.1715357     3s2.3p4.(3P).4p  4S*         1.5      3s2.3p4.(3P).4d  4P          2.5      4-6      E1    
3932.54638  9.3e+07    2.2e-01    19.96749907-23.11937815    3s2.3p4.(3P).4p  4S*         1.5      3s2.3p4.(3P).4d  4P          1.5      4-4      E1    
3979.35543  9.8e+07    1.2e-01    19.96749907-23.08230349    3s2.3p4.(3P).4p  4S*         1.5      3s2.3p4.(3P).4d  4P          0.5      4-2      E1    

4564.4054   2.9e+07    4.5e-02    19.96749907-22.683065435   3s2.3p4.(3P).4p  4S*         1.5      3s2.3p4.(3P).5s  4P          0.5      4-2      E1    
4721.59064  1.5e+07    5.0e-02    19.96749907-22.592663597   3s2.3p4.(3P).4p  4S*         1.5      3s2.3p4.(3P).5s  4P          1.5      4-4      E1    
4865.91056  1.5e+07    8.0e-02    19.96749907-22.514803938   3s2.3p4.(3P).4p  4S*         1.5      3s2.3p4.(3P).5s  4P          2.5      4-6      E1    

4282.8972   1.32e+07   1.82e-02   16.74852891-19.64258207    3s2.3p4.(3P).4s  4P          1.5      3s2.3p4.(3P).4p  4D*         0.5      4-2      E1    
4331.19915  5.74e+07   1.62e-01   16.74852891-19.61030789    3s2.3p4.(3P).4s  4P          1.5      3s2.3p4.(3P).4p  4D*         1.5      4-4      E1    
4426.0008   8.17e+07   3.60e-01   16.74852891-19.549011775   3s2.3p4.(3P).4s  4P          1.5      3s2.3p4.(3P).4p  4D*         2.5      4-6      E1    

4847.80955  8.49e+07   1.50e-01   16.74852891-19.3053449     3s2.3p4.(3P).4s  4P          1.5      3s2.3p4.(3P).4p  4P*         0.5      4-2      E1    
4933.20891  1.44e+07   5.26e-02   16.74852891-19.261084163   3s2.3p4.(3P).4s  4P          1.5      3s2.3p4.(3P).4p  4P*         1.5      4-4      E1    
5009.3342   1.51e+07   8.53e-02   16.74852891-19.222902151   3s2.3p4.(3P).4s  4P          1.5      3s2.3p4.(3P).4p  4P*         2.5      4-6      E1    

