Ritz      Aud       fdu       E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
------------------------------------------------------------------------------------------------------------------------------------
10587.3   4.1e+05   9.8e-03   23.68651-24.85725    1s2.2p.3p   3D          2.0      1s2.2p.3d   3D*         3.0      5-7      E1    
10593.3   2.6e+06   4.3e-02   23.68651-24.85659    1s2.2p.3p   3D          2.0      1s2.2p.3d   3D*         2.0      5-5      E1    
10597.6   9.1e+05   9.2e-03   23.68651-24.85612    1s2.2p.3p   3D          2.0      1s2.2p.3d   3D*         1.0      5-3      E1    

7159.55   1.19e+07  1.53e-01  22.52242-24.25367    1s2.2p.3s   3P*         1.0      1s2.2p.3p   3P          2.0      3-5      E1    
7165.11   1.2e+07   9.2e-02   22.52242-24.25233    1s2.2p.3s   3P*         1.0      1s2.2p.3p   3P          1.0      3-3      E1    
7168.46   4.7e+07   1.2e-01   22.52242-24.25152    1s2.2p.3s   3P*         1.0      1s2.2p.3p   3P          0.0      3-1      E1    

10650.5   1.2e+07   3.0e-01   22.52505-23.68884    1s2.2p.3s   3P*         2.0      1s2.2p.3p   3D          3.0      5-7      E1    
10671.9   3.1e+06   5.2e-02   22.52505-23.68651    1s2.2p.3s   3P*         2.0      1s2.2p.3p   3D          2.0      5-5      E1    
10683.1   3.4e+05   3.5e-03   22.52505-23.6853     1s2.2p.3s   3P*         2.0      1s2.2p.3p   3D          1.0      5-3      E1    

2123.856  1.58e+08  1.50e-01  17.852994-23.68884   1s2.2s.3p   3P*         2.0      1s2.2p.3p   3D          3.0      5-7      E1    
2124.705  4.0e+07   2.7e-02   17.852994-23.68651   1s2.2s.3p   3P*         2.0      1s2.2p.3p   3D          2.0      5-5      E1    
2125.148  4.4e+06   1.8e-03   17.852994-23.6853    1s2.2s.3p   3P*         2.0      1s2.2p.3p   3D          1.0      5-3      E1    

1926.037  2.24e+08  2.08e-01  16.089904-22.52505   1s2.2s.3s   3S          1.0      1s2.2p.3s   3P*         2.0      3-5      E1    
1926.825  2.24e+08  1.24e-01  16.089904-22.52242   1s2.2s.3s   3S          1.0      1s2.2p.3s   3P*         1.0      3-3      E1    
1927.184  2.23e+08  4.15e-02  16.089904-22.52122   1s2.2s.3s   3S          1.0      1s2.2p.3s   3P*         0.0      3-1      E1    

7030.27   3.97e+07  4.91e-01  16.089904-17.852994  1s2.2s.3s   3S          1.0      1s2.2s.3p   3P*         2.0      3-5      E1    
7032.03   3.98e+07  2.95e-01  16.089904-17.852554  1s2.2s.3s   3S          1.0      1s2.2s.3p   3P*         1.0      3-3      E1    
7032.33   3.97e+07  9.82e-02  16.089904-17.852479  1s2.2s.3s   3S          1.0      1s2.2s.3p   3P*         0.0      3-1      E1    

