Ritz         Aud       fdu       E_d(eV)-E_u(eV)           lower_conf  lower_term  lower_J  upper_conf      upper_term  upper_J  g_d-g_u  type  
------------------------------------------------------------------------------------------------------------------------------------------------
1431.597     2.1e+08   9.1e-02   4.1826219-12.843173       2s.2p3      5S*         2.0      2s.2p2.(4P).3s  5P          3.0      5-7      E1    
1432.1069    2.0e+08   6.2e-02   4.1826219-12.84009        2s.2p3      5S*         2.0      2s.2p2.(4P).3s  5P          2.0      5-5      E1    
1432.53      2.1e+08   3.9e-02   4.1826219-12.83753        2s.2p3      5S*         2.0      2s.2p2.(4P).3s  5P          1.0      5-3      E1    

11819.0324   3.1e+05   1.08e-02  8.64039604-9.689130559    2s2.2p.3p   3D          1.0      2s2.2p.4s       3P*         2.0      3-5      E1    
11862.9788   3.1e+06   6.5e-02   8.64039604-9.685245529    2s2.2p.3p   3D          1.0      2s2.2p.4s       3P*         1.0      3-3      E1    
11879.5744   1.16e+07  8.2e-02   8.64039604-9.68378589     2s2.2p.3p   3D          1.0      2s2.2p.4s       3P*         0.0      3-1      E1    

7089.44226   1.49e+04  1.87e-04  8.64039604-10.38877088    2s2.2p.3p   3D          1.0      2s2.2p.5s       3P*         2.0      3-5      E1    
7108.9263    1.12e+06  8.5e-03   8.64039604-10.38397899    2s2.2p.3p   3D          1.0      2s2.2p.5s       3P*         1.0      3-3      E1    
7115.171     4.4e+06   1.12e-02  8.64039604-10.38244873    2s2.2p.3p   3D          1.0      2s2.2p.5s       3P*         0.0      3-1      E1    

5993.498     2.2e+04   1.9e-04   8.64039604-10.708468      2s2.2p.3p   3D          1.0      2s2.2p.6s       3P*         2.0      3-5      E1    
6007.173     5.e+05    2.9e-03   8.64039604-10.7037605     2s2.2p.3p   3D          1.0      2s2.2p.6s       3P*         1.0      3-3      E1    
6010.669     2.1e+06   3.8e-03   8.64039604-10.70256       2s2.2p.3p   3D          1.0      2s2.2p.6s       3P*         0.0      3-1      E1    

5534.253     1.2e+04   9.e-05    8.64039604-10.88008       2s2.2p.3p   3D          1.0      2s2.2p.7s       3P*         2.0      3-5      E1    
5545.052     3.0e+05   1.4e-03   8.64039604-10.8757182     2s2.2p.3p   3D          1.0      2s2.2p.7s       3P*         1.0      3-3      E1    
5547.265     1.2e+06   1.9e-03   8.64039604-10.874826      2s2.2p.3p   3D          1.0      2s2.2p.7s       3P*         0.0      3-1      E1    

11614.48946  5.e+04    1.5e-03   8.643023685-9.710227435   2s2.2p.3p   3D          2.0      2s2.2p.3d       3D*         3.0      5-7      E1    
11628.8368   5.4e+06   1.10e-01  8.643023685-9.708910751   2s2.2p.3p   3D          2.0      2s2.2p.3d       3D*         2.0      5-5      E1    
11647.9864   1.58e+06  1.93e-02  8.643023685-9.70715841    2s2.2p.3p   3D          2.0      2s2.2p.3d       3D*         1.0      5-3      E1    

7071.09515   2.7e+04   2.9e-04   8.643023685-10.39593494   2s2.2p.3p   3D          2.0      2s2.2p.4d       3D*         3.0      5-7      E1    
7076.49944   3.0e+05   2.2e-03   8.643023685-10.39459625   2s2.2p.3p   3D          2.0      2s2.2p.4d       3D*         2.0      5-5      E1    
7085.4847    1.9e+05   8.e-04    8.643023685-10.39237505   2s2.2p.3p   3D          2.0      2s2.2p.4d       3D*         1.0      5-3      E1    

5990.978     2.3e+04   1.7e-04   8.643023685-10.711966     2s2.2p.3p   3D          2.0      2s2.2p.5d       3D*         3.0      5-7      E1    
5993.997     1.4e+05   8.e-04    8.643023685-10.710924     2s2.2p.3p   3D          2.0      2s2.2p.5d       3D*         2.0      5-5      E1    
6003.675     5.e+04    1.6e-04   8.643023685-10.70759      2s2.2p.3p   3D          2.0      2s2.2p.5d       3D*         1.0      5-3      E1    

11753.30809  2.6e+07   7.0e-01   8.647160399-9.701759406   2s2.2p.3p   3D          3.0      2s2.2p.3d       3F*         4.0      7-9      E1    
11801.07158  1.26e+06  2.6e-02   8.647160399-9.697491047   2s2.2p.3p   3D          3.0      2s2.2p.3d       3F*         3.0      7-7      E1    
11824.0298   2.9e+03   4.4e-05   8.647160399-9.69545167    2s2.2p.3p   3D          3.0      2s2.2p.3d       3F*         2.0      7-5      E1    

7113.1656    2.47e+06  2.41e-02  8.647160399-10.389704212  2s2.2p.3p   3D          3.0      2s2.2p.4d       3F*         4.0      7-9      E1    
7132.11508   1.17e+05  8.9e-04   8.647160399-10.385074438  2s2.2p.3p   3D          3.0      2s2.2p.4d       3F*         3.0      7-7      E1    
7139.16489   2.1e+04   1.12e-04  8.647160399-10.38335829   2s2.2p.3p   3D          3.0      2s2.2p.4d       3F*         2.0      7-5      E1    

6013.2518    4.4e+05   3.0e-03   8.647160399-10.708439     2s2.2p.3p   3D          3.0      2s2.2p.5d       3F*         4.0      7-9      E1    
6028.5537    5.e+04    2.6e-04   8.647160399-10.703207     2s2.2p.3p   3D          3.0      2s2.2p.5d       3F*         3.0      7-7      E1    
6032.008     1.9e+03   7.e-06    8.647160399-10.70203      2s2.2p.3p   3D          3.0      2s2.2p.5d       3F*         2.0      7-5      E1    

12562.1361   1.27e+07  1.00e-01  8.848124381-9.83482192    2s2.2p.3p   3P          1.0      2s2.2p.3d       3P*         0.0      3-1      E1    
12569.0522   3.6e+06   8.4e-02   8.848124381-9.83427899    2s2.2p.3p   3P          1.0      2s2.2p.3d       3P*         1.0      3-3      E1    
12581.6136   2.45e+06  9.7e-02   8.848124381-9.833294423   2s2.2p.3p   3P          1.0      2s2.2p.3d       3P*         2.0      3-5      E1    

7837.1136    1.81e+06  5.6e-03   8.848124381-10.42970278   2s2.2p.3p   3P          1.0      2s2.2p.4d       3P*         0.0      3-1      E1    
7840.2548    5.2e+05   4.8e-03   8.848124381-10.42906912   2s2.2p.3p   3P          1.0      2s2.2p.4d       3P*         1.0      3-3      E1    
7848.25094   4.0e+05   6.2e-03   8.848124381-10.42745839   2s2.2p.3p   3P          1.0      2s2.2p.4d       3P*         2.0      3-5      E1    

14738.3366   2.31e+05  1.25e-02  8.848124381-9.689130559   2s2.2p.3p   3P          1.0      2s2.2p.4s       3P*         2.0      3-5      E1    
14806.7364   3.9e+05   1.29e-02  8.848124381-9.685245529   2s2.2p.3p   3P          1.0      2s2.2p.4s       3P*         1.0      3-3      E1    
14832.5992   1.33e+06  1.46e-02  8.848124381-9.68378589    2s2.2p.3p   3P          1.0      2s2.2p.4s       3P*         0.0      3-1      E1    

6595.244     6.e+05    1.3e-03   8.848124381-10.727508     2s2.2p.3p   3P          1.0      2s2.2p.5d       3P*         0.0      3-1      E1    
6596.848     1.5e+05   1.0e-03   8.848124381-10.7270516    2s2.2p.3p   3P          1.0      2s2.2p.5d       3P*         1.0      3-3      E1    
6602.4208    1.3e+06   1.4e-02   8.848124381-10.72546557   2s2.2p.3p   3P          1.0      2s2.2p.5d       3P*         2.0      3-5      E1    

8045.3311    2.7e+05   4.4e-03   8.848124381-10.38877088   2s2.2p.3p   3P          1.0      2s2.2p.5s       3P*         2.0      3-5      E1    
8070.4327    3.8e+05   3.7e-03   8.848124381-10.38397899   2s2.2p.3p   3P          1.0      2s2.2p.5s       3P*         1.0      3-3      E1    
8078.4819    1.56e+06  5.1e-03   8.848124381-10.38244873   2s2.2p.3p   3P          1.0      2s2.2p.5s       3P*         0.0      3-1      E1    

6066.2       2.6e+05   5.e-04    8.848124381-10.8914       2s2.2p.3p   3P          1.0      2s2.2p.6d       3P*         0.0      3-1      E1    
6066.652     6.e+04    3.6e-04   8.848124381-10.891259     2s2.2p.3p   3P          1.0      2s2.2p.6d       3P*         1.0      3-3      E1    
6070.838     6.e+04    6.e-04    8.848124381-10.889851     2s2.2p.3p   3P          1.0      2s2.2p.6d       3P*         2.0      3-5      E1    

6662.745     2.2e+05   2.5e-03   8.848124381-10.708468     2s2.2p.3p   3P          1.0      2s2.2p.6s       3P*         2.0      3-5      E1    
6679.649     2.2e+05   1.5e-03   8.848124381-10.7037605    2s2.2p.3p   3P          1.0      2s2.2p.6s       3P*         1.0      3-3      E1    
6683.972     8.9e+05   2.0e-03   8.848124381-10.70256      2s2.2p.3p   3P          1.0      2s2.2p.6s       3P*         0.0      3-1      E1    

6100.029     1.4e+05   1.3e-03   8.848124381-10.88008      2s2.2p.3p   3P          1.0      2s2.2p.7s       3P*         2.0      3-5      E1    
6113.152     1.4e+05   8.e-04    8.848124381-10.8757182    2s2.2p.3p   3P          1.0      2s2.2p.7s       3P*         1.0      3-3      E1    
6115.842     6.e+05    1.0e-03   8.848124381-10.874826     2s2.2p.3p   3P          1.0      2s2.2p.7s       3P*         0.0      3-1      E1    

14420.12806  1.23e+07  5.4e-01   8.850662829-9.710227435   2s2.2p.3p   3P          2.0      2s2.2p.3d       3D*         3.0      5-7      E1    
14442.2508   2.8e+06   8.7e-02   8.850662829-9.708910751   2s2.2p.3p   3P          2.0      2s2.2p.3d       3D*         2.0      5-5      E1    
14471.7989   2.8e+05   5.2e-03   8.850662829-9.70715841    2s2.2p.3p   3P          2.0      2s2.2p.3d       3D*         1.0      5-3      E1    

11652.8868   8.4e+06   5.7e-02   8.771134696-9.83482192    2s2.2p.3p   3S          1.0      2s2.2p.3d       3P*         0.0      3-1      E1    
11658.8377   8.6e+06   1.76e-01  8.771134696-9.83427899    2s2.2p.3p   3S          1.0      2s2.2p.3d       3P*         1.0      3-3      E1    
11669.6449   9.1e+06   3.1e-01   8.771134696-9.833294423   2s2.2p.3p   3S          1.0      2s2.2p.3d       3P*         2.0      3-5      E1    

7473.3178    1.08e+06  3.0e-03   8.771134696-10.42970278   2s2.2p.3p   3S          1.0      2s2.2p.4d       3P*         0.0      3-1      E1    
7476.1741    1.06e+06  8.9e-03   8.771134696-10.42906912   2s2.2p.3p   3S          1.0      2s2.2p.4d       3P*         1.0      3-3      E1    
7483.44451   1.01e+06  1.4e-02   8.771134696-10.42745839   2s2.2p.3p   3S          1.0      2s2.2p.4d       3P*         2.0      3-5      E1    

13502.27262  6.6e+06   3.0e-01   8.771134696-9.689130559   2s2.2p.3p   3S          1.0      2s2.2p.4s       3P*         2.0      3-5      E1    
13559.65824  6.5e+06   1.8e-01   8.771134696-9.685245529   2s2.2p.3p   3S          1.0      2s2.2p.4s       3P*         1.0      3-3      E1    
13581.3448   6.6e+06   6.1e-02   8.771134696-9.68378589    2s2.2p.3p   3S          1.0      2s2.2p.4s       3P*         0.0      3-1      E1    

7662.42013   1.20e+06  1.76e-02  8.771134696-10.38877088   2s2.2p.3p   3S          1.0      2s2.2p.5s       3P*         2.0      3-5      E1    
7685.1859    1.14e+06  1.01e-02  8.771134696-10.38397899   2s2.2p.3p   3S          1.0      2s2.2p.5s       3P*         1.0      3-3      E1    
7692.4846    1.18e+06  3.5e-03   8.771134696-10.38244873   2s2.2p.3p   3S          1.0      2s2.2p.5s       3P*         0.0      3-1      E1    

6397.965     5.e+05    6.e-03    8.771134696-10.708468     2s2.2p.3p   3S          1.0      2s2.2p.6s       3P*         2.0      3-5      E1    
6413.551     5.e+05    3.3e-03   8.771134696-10.7037605    2s2.2p.3p   3S          1.0      2s2.2p.6s       3P*         1.0      3-3      E1    
6417.536     5.e+05    1.1e-03   8.771134696-10.70256      2s2.2p.3p   3S          1.0      2s2.2p.6s       3P*         0.0      3-1      E1    

5877.338     2.8e+05   2.4e-03   8.771134696-10.88008      2s2.2p.3p   3S          1.0      2s2.2p.7s       3P*         2.0      3-5      E1    
5889.519     2.8e+05   1.4e-03   8.771134696-10.8757182    2s2.2p.3p   3S          1.0      2s2.2p.7s       3P*         1.0      3-3      E1    
5892.016     2.8e+05   5.e-04    8.771134696-10.874826     2s2.2p.3p   3S          1.0      2s2.2p.7s       3P*         0.0      3-1      E1    

