Ritz       Aud       fdu       E_d(eV)-E_u(eV)      lower_conf      lower_term  lower_J  upper_conf      upper_term  upper_J  g_d-g_u  type  
---------------------------------------------------------------------------------------------------------------------------------------------
4075.932   3.1e+07   8.e-02    24.3718-27.412802    2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4F          2.5      6-6      E1    
4076.14    1.35e+08  4.49e-01  24.3718-27.412647    2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4F          3.5      6-8      E1    
4076.8     4.1e+06   6.7e-03   24.3718-27.412155    2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4F          1.5      6-4      E1    

2885.413   7.82e+07  1.22e-01  24.373054-28.668725  2s.2p.(3P*).3d  4D*         3.5      2s.2p.(3P*).5f  4F          4.5      8-10     E1    
2886.39    6.3e+06   7.9e-03   24.373054-28.667271  2s.2p.(3P*).3d  4D*         3.5      2s.2p.(3P*).5f  4F          3.5      8-8      E1    
2886.417   4.2e+05   4.0e-04   24.373054-28.66723   2s.2p.(3P*).3d  4D*         3.5      2s.2p.(3P*).5f  4F          2.5      8-6      E1    

5249.906   2.59e+05  1.61e-03  24.270232-26.631221  2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).4p  4D          2.5      4-6      E1    
5256.103   5.40e+06  2.24e-02  24.270232-26.628437  2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).4p  4D          1.5      4-4      E1    
5259.72    2.48e+07  5.15e-02  24.270232-26.626817  2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).4p  4D          0.5      4-2      E1    

3079.91    1.01e+05  2.2e-04   24.270232-28.29464   2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).5p  4D          2.5      4-6      E1    
3081.79    2.13e+06  3.03e-03  24.270232-28.29219   2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).5p  4D          1.5      4-4      E1    
3083.05    1.06e+07  7.56e-03  24.270232-28.29054   2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).5p  4D          0.5      4-2      E1    

2545.2     5.3e+04   7.7e-05   24.270232-29.14006   2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).6p  4D          2.5      4-6      E1    
