Ritz      Aud       fdu       E_d(eV)-E_u(eV)      lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
----------------------------------------------------------------------------------------------------------------------------------------------
5858.34   1.34e+07  2.30e-02  40.056428-42.172212  1s2.2p.(2P*).3p  3D          1.0      1s2.2p.(2P*).3d  3P*         0.0      3-1      E1    
5863.25   3.35e+06  1.73e-02  40.056428-42.170439  1s2.2p.(2P*).3p  3D          1.0      1s2.2p.(2P*).3d  3P*         1.0      3-3      E1    
5872.1    1.33e+05  1.15e-03  40.056428-42.167254  1s2.2p.(2P*).3p  3D          1.0      1s2.2p.(2P*).3d  3P*         2.0      3-5      E1    

4724.174  5.31e+05  5.93e-04  40.056428-42.680157  1s2.2p.(2P*).3p  3D          1.0      1s2.2s.5p        3P*         0.0      3-1      E1    
4724.708  1.33e+05  4.45e-04  40.056428-42.67986   1s2.2p.(2P*).3p  3D          1.0      1s2.2s.5p        3P*         1.0      3-3      E1    
4725.447  5.31e+03  2.96e-05  40.056428-42.67945   1s2.2p.(2P*).3p  3D          1.0      1s2.2s.5p        3P*         2.0      3-5      E1    

6853.68   5.64e+05  5.56e-03  40.059463-41.867981  1s2.2p.(2P*).3p  3D          2.0      1s2.2p.(2P*).3d  3D*         3.0      5-7      E1    
6862.69   3.51e+06  2.48e-02  40.059463-41.865607  1s2.2p.(2P*).3p  3D          2.0      1s2.2p.(2P*).3d  3D*         2.0      5-5      E1    
6868.78   1.26e+06  5.35e-03  40.059463-41.864006  1s2.2p.(2P*).3p  3D          2.0      1s2.2p.(2P*).3d  3D*         1.0      5-3      E1    

9699.57   8.47e+05  1.54e-02  40.064295-41.342189  1s2.2p.(2P*).3p  3D          3.0      1s2.2p.(2P*).3d  3F*         4.0      7-9      E1    
9733.27   9.34e+04  1.33e-03  40.064295-41.337764  1s2.2p.(2P*).3p  3D          3.0      1s2.2p.(2P*).3d  3F*         3.0      7-7      E1    
9756.58   3.66e+03  3.73e-05  40.064295-41.334721  1s2.2p.(2P*).3p  3D          3.0      1s2.2p.(2P*).3d  3F*         2.0      7-5      E1    

7771.76   1.77e+07  5.35e-02  40.577334-42.172212  1s2.2p.(2P*).3p  3S          1.0      1s2.2p.(2P*).3d  3P*         0.0      3-1      E1    
7780.41   1.76e+07  1.60e-01  40.577334-42.170439  1s2.2p.(2P*).3p  3S          1.0      1s2.2p.(2P*).3d  3P*         1.0      3-3      E1    
7796.0    1.75e+07  2.66e-01  40.577334-42.167254  1s2.2p.(2P*).3p  3S          1.0      1s2.2p.(2P*).3d  3P*         2.0      3-5      E1    

4651.016  2.28e+07  1.23e-01  38.217994-40.882992  1s2.2p.(2P*).3s  3P*         1.0      1s2.2p.(2P*).3p  3P          2.0      3-5      E1    
4659.058  2.27e+07  7.39e-02  38.217994-40.878392  1s2.2p.(2P*).3s  3P*         1.0      1s2.2p.(2P*).3p  3P          1.0      3-3      E1    
4663.642  9.05e+07  9.84e-02  38.217994-40.875778  1s2.2p.(2P*).3s  3P*         1.0      1s2.2p.(2P*).3p  3P          0.0      3-1      E1    

1425.903  3.32e+08  3.37e-02  33.477076-42.172212  1s2.2s.3d        3D          1.0      1s2.2p.(2P*).3d  3P*         0.0      3-1      E1    
1426.194  8.31e+07  2.53e-02  33.477076-42.170439  1s2.2s.3d        3D          1.0      1s2.2p.(2P*).3d  3P*         1.0      3-3      E1    
1426.716  3.32e+06  1.69e-03  33.477076-42.167254  1s2.2s.3d        3D          1.0      1s2.2p.(2P*).3d  3P*         2.0      3-5      E1    

1576.479  4.74e+08  2.27e-01  33.477561-41.342189  1s2.2s.3d        3D          3.0      1s2.2p.(2P*).3d  3F*         4.0      7-9      E1    
1577.366  5.28e+07  1.97e-02  33.477561-41.337764  1s2.2s.3d        3D          3.0      1s2.2p.(2P*).3d  3F*         3.0      7-7      E1    
1577.977  2.08e+06  5.55e-04  33.477561-41.334721  1s2.2s.3d        3D          3.0      1s2.2p.(2P*).3d  3F*         2.0      7-5      E1    

1427.912  8.86e+07  4.51e-02  32.200087-40.882992  1s2.2s.3p        3P*         1.0      1s2.2p.(2P*).3p  3P          2.0      3-5      E1    
1428.668  8.85e+07  2.71e-02  32.200087-40.878392  1s2.2s.3p        3P*         1.0      1s2.2p.(2P*).3p  3P          1.0      3-3      E1    
1429.099  3.54e+08  3.61e-02  32.200087-40.875778  1s2.2s.3p        3P*         1.0      1s2.2p.(2P*).3p  3P          0.0      3-1      E1    

1576.888  2.05e+07  1.07e-02  32.201709-40.064295  1s2.2s.3p        3P*         2.0      1s2.2p.(2P*).3p  3D          3.0      5-7      E1    
1577.858  5.11e+06  1.91e-03  32.201709-40.059463  1s2.2s.3p        3P*         2.0      1s2.2p.(2P*).3p  3D          2.0      5-5      E1    
1578.468  5.67e+05  1.27e-04  32.201709-40.056428  1s2.2s.3p        3P*         2.0      1s2.2p.(2P*).3p  3D          1.0      5-3      E1    

9715.09   7.88e+06  1.56e-01  32.201709-33.477561  1s2.2s.3p        3P*         2.0      1s2.2s.3d        3D          3.0      5-7      E1    
9717.75   1.97e+06  2.79e-02  32.201709-33.477213  1s2.2s.3p        3P*         2.0      1s2.2s.3d        3D          2.0      5-5      E1    
9718.79   2.19e+05  1.86e-03  32.201709-33.477076  1s2.2s.3p        3P*         2.0      1s2.2s.3d        3D          1.0      5-3      E1    

1620.069  8.32e+08  4.58e-01  32.201709-39.854727  1s2.2s.3p        3P*         2.0      1s2.2s.4d        3D          3.0      5-7      E1    
1620.681  2.08e+08  8.19e-02  32.201709-39.851837  1s2.2s.3p        3P*         2.0      1s2.2s.4d        3D          2.0      5-5      E1    
1621.087  2.31e+07  5.46e-03  32.201709-39.849924  1s2.2s.3p        3P*         2.0      1s2.2s.4d        3D          1.0      5-3      E1    

1426.446  3.21e+08  1.63e-01  29.534648-38.226472  1s2.2s.3s        3S          1.0      1s2.2p.(2P*).3s  3P*         2.0      3-5      E1    
1427.839  3.20e+08  9.78e-02  29.534648-38.217994  1s2.2s.3s        3S          1.0      1s2.2p.(2P*).3s  3P*         1.0      3-3      E1    
1428.498  3.20e+08  3.26e-02  29.534648-38.213986  1s2.2s.3s        3S          1.0      1s2.2p.(2P*).3s  3P*         0.0      3-1      E1    

4647.418  7.26e+07  3.92e-01  29.534648-32.201709  1s2.2s.3s        3S          1.0      1s2.2s.3p        3P*         2.0      3-5      E1    
4650.246  7.25e+07  2.35e-01  29.534648-32.200087  1s2.2s.3s        3S          1.0      1s2.2s.3p        3P*         1.0      3-3      E1    
4651.473  7.24e+07  7.83e-02  29.534648-32.199384  1s2.2s.3s        3S          1.0      1s2.2s.3p        3P*         0.0      3-1      E1    

11981.19  1.61e+07  5.78e-01  38.367799-39.402339  1s2.2s.4s        3S          1.0      1s2.2s.4p        3P*         2.0      3-5      E1    
11988.08  1.61e+07  3.47e-01  38.367799-39.401746  1s2.2s.4s        3S          1.0      1s2.2s.4p        3P*         1.0      3-3      E1    
11991.31  1.60e+07  1.15e-01  38.367799-39.401467  1s2.2s.4s        3S          1.0      1s2.2s.4p        3P*         0.0      3-1      E1    

