Ritz       Aud       fdu       E_d(eV)-E_u(eV)      lower_conf        lower_term  lower_J  upper_conf        upper_term  upper_J  g_d-g_u  type  
-------------------------------------------------------------------------------------------------------------------------------------------------
3174.933   5.1e+05   1.3e-03   18.142826-22.046793  3s2.3p3.(2D*).4p  3D          1.0      3s2.3p3.(2D*).4d  3P*         2.0      3-5      E1    
3181.25    1.3e+07   2.0e-02   18.142826-22.039042  3s2.3p3.(2D*).4p  3D          1.0      3s2.3p3.(2D*).4d  3P*         1.0      3-3      E1    
3187.42    5.2e+07   2.6e-02   18.142826-22.0315    3s2.3p3.(2D*).4p  3D          1.0      3s2.3p3.(2D*).4d  3P*         0.0      3-1      E1    

3505.408   1.7e+07   4.4e-02   18.143296-21.679225  3s2.3p3.(2D*).4p  3D          2.0      3s2.3p3.(2D*).4d  3D*         3.0      5-7      E1    
3509.358   1.1e+08   2.0e-01   18.143296-21.675245  3s2.3p3.(2D*).4p  3D          2.0      3s2.3p3.(2D*).4d  3D*         2.0      5-5      E1    
3513.625   3.9e+07   4.3e-02   18.143296-21.670956  3s2.3p3.(2D*).4p  3D          2.0      3s2.3p3.(2D*).4d  3D*         1.0      5-3      E1    

4123.938   6.6e+06   2.4e-02   18.143296-21.1489    3s2.3p3.(2D*).4p  3D          2.0      3s2.3p3.(2D*).5s  3D*         3.0      5-7      E1    
4130.805   4.1e+07   1.0e-01   18.143296-21.143903  3s2.3p3.(2D*).4p  3D          2.0      3s2.3p3.(2D*).5s  3D*         2.0      5-5      E1    
4134.288   1.5e+07   2.3e-02   18.143296-21.141375  3s2.3p3.(2D*).4p  3D          2.0      3s2.3p3.(2D*).5s  3D*         1.0      5-3      E1    

3805.174   1.8e+08   5.0e-01   18.160045-21.417426  3s2.3p3.(2D*).4p  3D          3.0      3s2.3p3.(2D*).4d  3F*         4.0      7-9      E1    
3818.358   2.0e+07   4.4e-02   18.160045-21.406179  3s2.3p3.(2D*).4p  3D          3.0      3s2.3p3.(2D*).4d  3F*         3.0      7-7      E1    
3829.726   8.0e+05   1.3e-03   18.160045-21.396543  3s2.3p3.(2D*).4p  3D          3.0      3s2.3p3.(2D*).4d  3F*         2.0      7-5      E1    

3596.209   4.0e+04   1.1e-04   18.232572-21.679225  3s2.3p3.(2D*).4p  3F          2.0      3s2.3p3.(2D*).4d  3D*         3.0      5-7      E1    
3600.366   2.0e+06   3.9e-03   18.232572-21.675245  3s2.3p3.(2D*).4p  3F          2.0      3s2.3p3.(2D*).4d  3D*         2.0      5-5      E1    
3604.857   1.8e+07   2.1e-02   18.232572-21.670956  3s2.3p3.(2D*).4p  3F          2.0      3s2.3p3.(2D*).4d  3D*         1.0      5-3      E1    

4250.184   1.9e+05   7.2e-04   18.232572-21.1489    3s2.3p3.(2D*).4p  3F          2.0      3s2.3p3.(2D*).5s  3D*         3.0      5-7      E1    
4257.479   9.2e+06   2.5e-02   18.232572-21.143903  3s2.3p3.(2D*).4p  3F          2.0      3s2.3p3.(2D*).5s  3D*         2.0      5-5      E1    
4261.179   8.3e+07   1.4e-01   18.232572-21.141375  3s2.3p3.(2D*).4p  3F          2.0      3s2.3p3.(2D*).5s  3D*         1.0      5-3      E1    

3902.762   5.5e+06   1.6e-02   18.241494-21.417426  3s2.3p3.(2D*).4p  3F          3.0      3s2.3p3.(2D*).4d  3F*         4.0      7-9      E1    
3916.632   7.4e+07   1.7e-01   18.241494-21.406179  3s2.3p3.(2D*).4p  3F          3.0      3s2.3p3.(2D*).4d  3F*         3.0      7-7      E1    
3928.595   9.7e+06   1.6e-02   18.241494-21.396543  3s2.3p3.(2D*).4p  3F          3.0      3s2.3p3.(2D*).4d  3F*         2.0      7-5      E1    

3587.682   3.9e+07   1.3e-01   18.591949-22.046793  3s2.3p3.(2D*).4p  3P          1.0      3s2.3p3.(2D*).4d  3P*         2.0      3-5      E1    
3595.75    3.9e+07   7.6e-02   18.591949-22.039042  3s2.3p3.(2D*).4p  3P          1.0      3s2.3p3.(2D*).4d  3P*         1.0      3-3      E1    
3603.634   1.6e+08   1.0e-01   18.591949-22.0315    3s2.3p3.(2D*).4p  3P          1.0      3s2.3p3.(2D*).4d  3P*         0.0      3-1      E1    

3990.151   8.4e+07   2.8e-01   18.572848-21.679225  3s2.3p3.(2D*).4p  3P          2.0      3s2.3p3.(2D*).4d  3D*         3.0      5-7      E1    
3995.27    2.1e+07   5.0e-02   18.572848-21.675245  3s2.3p3.(2D*).4p  3P          2.0      3s2.3p3.(2D*).4d  3D*         2.0      5-5      E1    
4000.801   2.3e+06   3.3e-03   18.572848-21.670956  3s2.3p3.(2D*).4p  3P          2.0      3s2.3p3.(2D*).4d  3D*         1.0      5-3      E1    

4811.609   3.4e+07   1.7e-01   18.572848-21.1489    3s2.3p3.(2D*).4p  3P          2.0      3s2.3p3.(2D*).5s  3D*         3.0      5-7      E1    
4820.96    8.5e+06   3.0e-02   18.572848-21.143903  3s2.3p3.(2D*).4p  3P          2.0      3s2.3p3.(2D*).5s  3D*         2.0      5-5      E1    
4825.705   9.5e+05   2.0e-03   18.572848-21.141375  3s2.3p3.(2D*).4p  3P          2.0      3s2.3p3.(2D*).5s  3D*         1.0      5-3      E1    

4213.742   9.8e+05   4.4e-03   19.679461-22.62101   3s2.3p3.(2P*).4p  3D          1.0      3s2.3p3.(2P*).5s  3P*         2.0      3-5      E1    
4227.345   2.5e+07   6.7e-02   19.679461-22.611545  3s2.3p3.(2P*).4p  3D          1.0      3s2.3p3.(2P*).5s  3P*         1.0      3-3      E1    
4233.534   9.9e+07   8.9e-02   19.679461-22.607259  3s2.3p3.(2P*).4p  3D          1.0      3s2.3p3.(2P*).5s  3P*         0.0      3-1      E1    

3864.076   1.2e+06   1.9e-03   19.687234-22.894962  3s2.3p3.(2P*).4p  3D          3.0      3s2.3p3.(2P*).4d  3F*         2.0      7-5      E1    
3864.517   3.0e+07   6.7e-02   19.687234-22.894596  3s2.3p3.(2P*).4p  3D          3.0      3s2.3p3.(2P*).4d  3F*         3.0      7-7      E1    
3868.57    2.7e+08   7.8e-01   19.687234-22.891236  3s2.3p3.(2P*).4p  3D          3.0      3s2.3p3.(2P*).4d  3F*         4.0      7-9      E1    

3307.796   3.9e+06   3.8e-03   16.337232-20.084395  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).4d  3D*         1.0      5-3      E1    
3316.813   3.6e+07   5.9e-02   16.337232-20.074208  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).4d  3D*         2.0      5-5      E1    
3329.099   1.5e+08   3.5e-01   16.337232-20.060418  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).4d  3D*         3.0      5-7      E1    

2544.809   2.2e+06   1.3e-03   16.337232-21.207813  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).5d  3D*         1.0      5-3      E1    
2547.771   1.9e+07   1.9e-02   16.337232-21.20215   3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).5d  3D*         2.0      5-5      E1    
2549.881   7.6e+07   1.0e-01   16.337232-21.198125  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).5d  3D*         3.0      5-7      E1    

1067.9443  1.13e+08  6.44e-03  0.086293-11.695906   3s2.3p4           3P          1.0      3s.3p5            3P*         0.0      3-1      E1    
1071.7668  2.80e+07  4.82e-03  0.086293-11.6545     3s2.3p4           3P          1.0      3s.3p5            3P*         1.0      3-3      E1    
1079.0797  2.74e+07  7.97e-03  0.086293-11.576102   3s2.3p4           3P          1.0      3s.3p5            3P*         2.0      3-5      E1    

