Ritz      Aud      fdu      E_d(eV)-E_u(eV)      lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
--------------------------------------------------------------------------------------------------------------------------------------------
2477.31   4.3e+07  5.9e-02  24.961853-29.96513   3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).4d  4D          2.5      4-6      E1    
2484.25   7.3e+07  6.8e-02  24.961853-29.95116   3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).4d  4D          1.5      4-4      E1    
2485.05   9.1e+07  4.2e-02  24.961853-29.94955   3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).4d  4D          0.5      4-2      E1    

2387.26   1.1e+07  4.7e-03  24.961853-30.15385   3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).4d  4P          0.5      4-2      E1    
2394.12   7.0e+06  6.0e-03  24.961853-30.138972  3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).4d  4P          1.5      4-4      E1    
2409.106  4.3e+05  5.6e-04  24.961853-30.10677   3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).4d  4P          2.5      4-6      E1    

2231.14   6.7e+06  7.5e-03  24.961853-30.51712   3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).5s  4P          2.5      4-6      E1    
2268.85   1.1e+08  8.5e-02  24.961853-30.42478   3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).5s  4P          1.5      4-4      E1    
2291.79   1.8e+08  7.1e-02  24.961853-30.37012   3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).5s  4P          0.5      4-2      E1    

2481.73   2.6e+07  3.2e-02  25.01553-30.0099     3s2.3p2.(3P).4p  4D*         2.5      3s2.3p2.(3P).4d  4D          3.5      6-8      E1    
2504.18   1.0e+08  9.4e-02  25.01553-29.96513    3s2.3p2.(3P).4p  4D*         2.5      3s2.3p2.(3P).4d  4D          2.5      6-6      E1    
2511.27   6.3e+07  4.0e-02  25.01553-29.95116    3s2.3p2.(3P).4p  4D*         2.5      3s2.3p2.(3P).4d  4D          1.5      6-4      E1    

