Ritz        Aud       fdu       E_d(eV)-E_u(eV)          lower_conf    lower_term  lower_J  upper_conf      upper_term  upper_J  g_d-g_u  type  
------------------------------------------------------------------------------------------------------------------------------------------------
2210.8532   1.8e+07   8.e-03    8.63389048-14.2401227    3d7.(2D2).4p  w 3D*       2.0      3d7.(2D2).4d    3D          1.0      5-3      E1    
2240.26265  4.8e+07   3.6e-02   8.63389048-14.1665331    3d7.(2D2).4p  w 3D*       2.0      3d7.(2D2).4d    3D          2.0      5-5      E1    
2277.9174   1.6e+08   1.8e-01   8.63389048-14.0750852    3d7.(2D2).4p  w 3D*       2.0      3d7.(2D2).4d    3D          3.0      5-7      E1    

2233.36496  4.6e+07   2.4e-02   8.5623404-14.1120688     3d7.(2D2).4p  w 3D*       3.0      3d7.(2D2).4d    3F          2.0      7-5      E1    
2256.85654  3.1e+08   2.3e-01   8.5623404-14.0543073     3d7.(2D2).4p  w 3D*       3.0      3d7.(2D2).4d    3F          3.0      7-7      E1    
2262.04988  2.9e+08   2.8e-01   8.5623404-14.0416997     3d7.(2D2).4p  w 3D*       3.0      3d7.(2D2).4d    3F          4.0      7-9      E1    

2324.44084  6.e+07    2.8e-02   8.9078234-14.2401227     3d7.(2D2).4p  x 3P*       2.0      3d7.(2D2).4d    3D          1.0      5-3      E1    
2356.9715   1.0e+08   8.e-02    8.9078234-14.1665331     3d7.(2D2).4p  x 3P*       2.0      3d7.(2D2).4d    3D          2.0      5-5      E1    
2398.6875   3.5e+07   4.2e-02   8.9078234-14.0750852     3d7.(2D2).4p  x 3P*       2.0      3d7.(2D2).4d    3D          3.0      5-7      E1    

2368.9329   3.7e+07   1.9e-02   9.0079637-14.2401227     3d7.(2D2).4p  y 1D*       2.0      3d7.(2D2).4d    3D          1.0      5-3      E1    
2402.7297   2.5e+07   2.2e-02   9.0079637-14.1665331     3d7.(2D2).4p  y 1D*       2.0      3d7.(2D2).4d    3D          2.0      5-5      E1    
2446.0958   1.32e+08  1.7e-01   9.0079637-14.0750852     3d7.(2D2).4p  y 1D*       2.0      3d7.(2D2).4d    3D          3.0      5-7      E1    

2233.5482   7.e+06    3.8e-03   7.87425876-13.4235319    3d7.(2G).4p   y 3F*       4.0      3d7.(2G).4d     3G          3.0      9-7      E1    
2257.6547   2.0e+08   1.5e-01   7.87425876-13.36428415   3d7.(2G).4p   y 3F*       4.0      3d7.(2G).4d     3G          4.0      9-9      E1    
2270.30236  1.18e+08  1.11e-01  7.87425876-13.33370258   3d7.(2G).4p   y 3F*       4.0      3d7.(2G).4d     3G          5.0      9-11     E1    

2595.93958  1.2e+07   9.e-03    7.87425876-12.6489131    3d7.(2G).4p   y 3F*       4.0      3d7.(2G).5s     f 3G        3.0      9-7      E1    
2634.89314  2.2e+07   2.3e-02   7.87425876-12.57833009   3d7.(2G).4p   y 3F*       4.0      3d7.(2G).5s     f 3G        4.0      9-9      E1    
2650.08374  9.7e+07   1.24e-01  7.87425876-12.5513674    3d7.(2G).4p   y 3F*       4.0      3d7.(2G).5s     f 3G        5.0      9-11     E1    

2268.5297   1.2e+08   6.e-02    8.0806281-13.5443376     3d7.(2G).4p   y 3G*       3.0      3d7.(2G).4d     3F          2.0      7-5      E1    
2289.96098  1.18e+08  9.2e-02   8.0806281-13.4932085     3d7.(2G).4p   y 3G*       3.0      3d7.(2G).4d     3F          3.0      7-7      E1    
2308.73411  2.1e+08   2.1e-01   8.0806281-13.4492008     3d7.(2G).4p   y 3G*       3.0      3d7.(2G).4d     3F          4.0      7-9      E1    

2283.0759   8.e+07    5.0e-02   8.00959966-13.43850121   3d7.(2G).4p   y 3G*       5.0      3d7.(2G).4d     3H          4.0      11-9     E1    
2319.38997  4.3e+08   4.1e-01   8.00959966-13.3535099    3d7.(2G).4p   y 3G*       5.0      3d7.(2G).4d     3H          6.0      11-13    E1    
2322.45463  4.3e+07   3.5e-02   8.00959966-13.34645882   3d7.(2G).4p   y 3G*       5.0      3d7.(2G).4d     3H          5.0      11-11    E1    

2312.77542  1.6e+08   8.9e-02   8.18514505-13.5443376    3d7.(2G).4p   z 1F*       3.0      3d7.(2G).4d     3F          2.0      7-5      E1    
2335.05479  4.2e+07   3.5e-02   8.18514505-13.4932085    3d7.(2G).4p   z 1F*       3.0      3d7.(2G).4d     3F          3.0      7-7      E1    
2354.57757  3.1e+05   3.e-04    8.18514505-13.4492008    3d7.(2G).4p   z 1F*       3.0      3d7.(2G).4d     3F          4.0      7-9      E1    

2278.9284   9.e+06    5.e-03    7.98475087-13.4235319    3d7.(2G).4p   z 1G*       4.0      3d7.(2G).4d     3G          3.0      9-7      E1    
2304.02975  5.e+07    4.3e-02   7.98475087-13.36428415   3d7.(2G).4p   z 1G*       4.0      3d7.(2G).4d     3G          4.0      9-9      E1    
2317.20373  3.4e+07   3.3e-02   7.98475087-13.33370258   3d7.(2G).4p   z 1G*       4.0      3d7.(2G).4d     3G          5.0      9-11     E1    

2657.44007  4.9e+06   4.0e-03   7.98475087-12.6489131    3d7.(2G).4p   z 1G*       4.0      3d7.(2G).5s     f 3G        3.0      9-7      E1    
2698.2755   7.0e+07   7.7e-02   7.98475087-12.57833009   3d7.(2G).4p   z 1G*       4.0      3d7.(2G).5s     f 3G        4.0      9-9      E1    
2714.20784  1.9e+07   2.6e-02   7.98475087-12.5513674    3d7.(2G).4p   z 1G*       4.0      3d7.(2G).5s     f 3G        5.0      9-11     E1    

2247.7386   8.e+07    4.9e-02   7.90928888-13.4235319    3d7.(2G).4p   z 3H*       4.0      3d7.(2G).4d     3G          3.0      9-7      E1    
2272.154    4.7e+06   3.7e-03   7.90928888-13.36428415   3d7.(2G).4p   z 3H*       4.0      3d7.(2G).4d     3G          4.0      9-9      E1    
2284.96501  9.e+06    9.e-03    7.90928888-13.33370258   3d7.(2G).4p   z 3H*       4.0      3d7.(2G).4d     3G          5.0      9-11     E1    

2615.12711  1.5e+08   1.24e-01  7.90928888-12.6489131    3d7.(2G).4p   z 3H*       4.0      3d7.(2G).5s     f 3G        3.0      9-7      E1    
2654.66296  1.3e+07   1.4e-02   7.90928888-12.57833009   3d7.(2G).4p   z 3H*       4.0      3d7.(2G).5s     f 3G        4.0      9-9      E1    
2670.08301  9.e+06    1.2e-02   7.90928888-12.5513674    3d7.(2G).4p   z 3H*       4.0      3d7.(2G).5s     f 3G        5.0      9-11     E1    

2315.96293  4.3e+06   2.7e-03   2.72881087-8.0806281     3d7.(2G).4s   a 3G        4.0      3d7.(2G).4p     y 3G*       3.0      9-7      E1    
2317.06988  1.9e+08   1.5e-01   2.72881087-8.07807155    3d7.(2G).4s   a 3G        4.0      3d7.(2G).4p     y 3G*       4.0      9-9      E1    
2347.11609  3.3e+07   3.4e-02   2.72881087-8.00959966    3d7.(2G).4s   a 3G        4.0      3d7.(2G).4p     y 3G*       5.0      9-11     E1    

2370.73186  2.4e+07   1.7e-02   2.68109977-7.90928888    3d7.(2G).4s   a 3G        5.0      3d7.(2G).4p     z 3H*       4.0      11-9     E1    
2381.76496  3.4e+08   3.4e-01   2.68109977-7.88507217    3d7.(2G).4s   a 3G        5.0      3d7.(2G).4p     z 3H*       6.0      11-13    E1    
2398.37777  6.5e+07   5.6e-02   2.68109977-7.84902872    3d7.(2G).4s   a 3G        5.0      3d7.(2G).4p     z 3H*       5.0      11-11    E1    

2497.5339   2.5e+06   1.8e-03   3.11785953-8.0806281     3d7.(2G).4s   b 1G        4.0      3d7.(2G).4p     y 3G*       3.0      9-7      E1    
2498.82124  6.e+07    6.e-02    3.11785953-8.07807155    3d7.(2G).4s   b 1G        4.0      3d7.(2G).4p     y 3G*       4.0      9-9      E1    
2533.80075  4.1e+07   4.8e-02   3.11785953-8.00959966    3d7.(2G).4s   b 1G        4.0      3d7.(2G).4p     y 3G*       5.0      9-11     E1    

2434.33293  1.2e+08   1.8e-01   8.71186315-13.8034674    3d7.(2P).4p   y 3S*       1.0      3d7.(2P).4d     3P          2.0      3-5      E1    
2462.45404  2.2e+08   7.e-02    8.71186315-13.7453258    3d7.(2P).4p   y 3S*       1.0      3d7.(2P).4d     3P          0.0      3-1      E1    
2462.70234  1.6e+08   1.5e-01   8.71186315-13.7448183    3d7.(2P).4p   y 3S*       1.0      3d7.(2P).4d     3P          1.0      3-3      E1    

2158.96408  5.0e+07   6.e-02    8.06250794-13.8034674    3d7.(2P).4p   z 3P*       1.0      3d7.(2P).4d     3P          2.0      3-5      E1    
2181.0551   3.9e+08   9.e-02    8.06250794-13.7453258    3d7.(2P).4p   z 3P*       1.0      3d7.(2P).4d     3P          0.0      3-1      E1    
2181.24993  8.e+07    6.e-02    8.06250794-13.7448183    3d7.(2P).4p   z 3P*       1.0      3d7.(2P).4d     3P          1.0      3-3      E1    

2378.1717   6.e+08    1.7e-01   6.53206212-11.7438968    3d7.(4F).4p   z 3D*       1.0      3d7.(4F).4d     e 3P        0.0      3-1      E1    
2396.15052  2.2e+08   1.9e-01   6.53206212-11.7047943    3d7.(4F).4p   z 3D*       1.0      3d7.(4F).4d     e 3P        1.0      3-3      E1    
2438.65455  1.0e+07   1.4e-02   6.53206212-11.61464406   3d7.(4F).4p   z 3D*       1.0      3d7.(4F).4d     e 3P        2.0      3-5      E1    

2554.8654   5.0e+06   3.0e-03   6.47566059-11.3270714    3d7.(4F).4p   z 3D*       2.0      3d7.(4F).4d     f 5F        1.0      5-3      E1    
2580.68105  7.e+06    7.e-03    6.47566059-11.2785437    3d7.(4F).4p   z 3D*       2.0      3d7.(4F).4d     f 5F        2.0      5-5      E1    
2595.03945  7.e+05    1.0e-03   6.47566059-11.25197094   3d7.(4F).4p   z 3D*       2.0      3d7.(4F).4d     f 5F        3.0      5-7      E1    

2821.805    3.9e+06   3.3e-03   6.38670726-10.7792048    3d7.(4F).4p   z 3D*       3.0      3d7.(4F).5s     e 3F        2.0      7-5      E1    
2869.88004  3.0e+07   3.7e-02   6.38670726-10.70562701   3d7.(4F).4p   z 3D*       3.0      3d7.(4F).5s     e 3F        3.0      7-7      E1    
2942.9636   6.3e+07   1.05e-01  6.38670726-10.59837869   3d7.(4F).4p   z 3D*       3.0      3d7.(4F).5s     e 3F        4.0      7-9      E1    

2859.4129   1.7e+06   1.2e-03   6.31257177-10.6473006    3d7.(4F).4p   z 3F*       2.0      3d7.(4F).5s     e 5F        1.0      5-3      E1    
2882.50743  2.6e+06   3.3e-03   6.31257177-10.61257253   3d7.(4F).4p   z 3F*       2.0      3d7.(4F).5s     e 5F        2.0      5-5      E1    
2918.5706   7.e+05    1.2e-03   6.31257177-10.5594422    3d7.(4F).4p   z 3F*       2.0      3d7.(4F).5s     e 5F        3.0      5-7      E1    

2406.1653   2.2e+07   1.4e-02   6.24653767-11.397742     3d7.(4F).4p   z 3F*       3.0      3d7.(4F).4d     e 5G        2.0      7-5      E1    
2421.41571  1.4e+07   1.2e-02   6.24653767-11.36530142   3d7.(4F).4p   z 3F*       3.0      3d7.(4F).4d     e 5G        3.0      7-7      E1    
2440.00173  3.1e+07   3.6e-02   6.24653767-11.3263136    3d7.(4F).4p   z 3F*       3.0      3d7.(4F).4d     e 5G        4.0      7-9      E1    

2253.4846   1.7e+06   9.e-04    6.24653767-11.7467215    3d7.(4F).4p   z 3F*       3.0      3d7.(4F).4d     f 3F        2.0      7-5      E1    
2272.7038   3.3e+08   2.5e-01   6.24653767-11.70021337   3d7.(4F).4p   z 3F*       3.0      3d7.(4F).4d     f 3F        3.0      7-7      E1    
2305.71967  4.4e+07   4.5e-02   6.24653767-11.62212849   3d7.(4F).4p   z 3F*       3.0      3d7.(4F).4d     f 3F        4.0      7-9      E1    

2734.5382   8.e+07    6.e-02    6.24653767-10.7792048    3d7.(4F).4p   z 3F*       3.0      3d7.(4F).5s     e 3F        2.0      7-5      E1    
2779.66218  5.e+07    6.e-02    6.24653767-10.70562701   3d7.(4F).4p   z 3F*       3.0      3d7.(4F).5s     e 3F        3.0      7-7      E1    
2848.1686   2.0e+07   3.2e-02   6.24653767-10.59837869   3d7.(4F).4p   z 3F*       3.0      3d7.(4F).5s     e 3F        4.0      7-9      E1    

2334.51616  5.0e+06   3.2e-03   6.16172739-11.47101544   3d7.(4F).4p   z 3F*       4.0      3d7.(4F).4d     e 3G        3.0      9-7      E1    
