Ritz         Aud        fdu        E_d(eV)-E_u(eV)        lower_conf            lower_term  lower_J  upper_conf             upper_term  upper_J  g_d-g_u  type   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
2237.44349   3.0e+07    3.4e-02    7.6839121-13.2235251   3d5.(6S).4s.4p.(3P*)  y 6P*       1.5      3d5.4s.(7S).4d         6D          2.5      4-6      E1     
2238.34438   8.e+07     3.0e-02    7.6839121-13.2212958   3d5.(6S).4s.4p.(3P*)  y 6P*       1.5      3d5.4s.(7S).4d         6D          0.5      4-2      E1     
2238.5677    6.e+07     4.e-02     7.6839121-13.2207434   3d5.(6S).4s.4p.(3P*)  y 6P*       1.5      3d5.4s.(7S).4d         6D          1.5      4-4      E1     

2241.16128   4.e+07     3.4e-02    7.6931007-13.2235251   3d5.(6S).4s.4p.(3P*)  y 6P*       2.5      3d5.4s.(7S).4d         6D          2.5      6-6      E1     
2242.28923   1.9e+07    1.0e-02    7.6931007-13.2207434   3d5.(6S).4s.4p.(3P*)  y 6P*       2.5      3d5.4s.(7S).4d         6D          1.5      6-4      E1     
2247.93059   6.e+07     6.e-02     7.6931007-13.2068727   3d5.(6S).4s.4p.(3P*)  y 6P*       2.5      3d5.4s.(7S).4d         6D          3.5      6-8      E1     

2247.33781   3.5e+06    2.0e-03    7.708299-13.2235251    3d5.(6S).4s.4p.(3P*)  y 6P*       3.5      3d5.4s.(7S).4d         6D          2.5      8-6      E1     
2254.14453   2.0e+07    1.5e-02    7.708299-13.2068727    3d5.(6S).4s.4p.(3P*)  y 6P*       3.5      3d5.4s.(7S).4d         6D          3.5      8-8      E1     
2255.14042   8.e+07     7.e-02     7.708299-13.2044447    3d5.(6S).4s.4p.(3P*)  y 6P*       3.5      3d5.4s.(7S).4d         6D          4.5      8-10     E1     

1508.10647   1.1e+07    2.5e-03    2.8910183-11.1122017   3d5.4s2               a 6S        2.5      3d5.(4P).4s.4p.(3P*)   6P*         1.5      6-4      E1     
1512.24571   1.1e+07    3.6e-03    2.8910183-11.0896991   3d5.4s2               a 6S        2.5      3d5.(4P).4s.4p.(3P*)   6P*         2.5      6-6      E1     
1519.50434   9.e+06     4.2e-03    2.8910183-11.0505342   3d5.4s2               a 6S        2.5      3d5.(4P).4s.4p.(3P*)   6P*         3.5      6-8      E1     

1785.2767    1.09e+09   7.0e-01    2.8910183-9.8358352    3d5.4s2               a 6S        2.5      3d5.(6S).4s.4p.(1P*)   x 6P*       3.5      6-8      E1     
1786.75814   1.10e+09   5.3e-01    2.8910183-9.8300771    3d5.4s2               a 6S        2.5      3d5.(6S).4s.4p.(1P*)   x 6P*       2.5      6-6      E1     
1788.00386   6.6e+08    2.1e-01    2.8910183-9.8252426    3d5.4s2               a 6S        2.5      3d5.(6S).4s.4p.(1P*)   x 6P*       1.5      6-4      E1     

2572.96762   7.9e+06    1.04e-02   2.8910183-7.708299     3d5.4s2               a 6S        2.5      3d5.(6S).4s.4p.(3P*)   y 6P*       3.5      6-8      E1     
2581.11138   7.6e+06    7.6e-03    2.8910183-7.6931007    3d5.4s2               a 6S        2.5      3d5.(6S).4s.4p.(3P*)   y 6P*       2.5      6-6      E1     
2586.06002   5.8e+06    3.8e-03    2.8910183-7.6839121    3d5.4s2               a 6S        2.5      3d5.(6S).4s.4p.(3P*)   y 6P*       1.5      6-4      E1     

6369.4591    2.1e+03    9.e-06     2.8910183-4.83702231   3d5.4s2               a 6S        2.5      3d6.(5D).4p            z 6D*       1.5      6-4      E1     
6432.676     8.5e+03    5.3e-05    2.8910183-4.8178982    3d5.4s2               a 6S        2.5      3d6.(5D).4p            z 6D*       2.5      6-6      E1     
6516.0769    8.3e+03    7.1e-05    2.8910183-4.79323577   3d5.4s2               a 6S        2.5      3d6.(5D).4p            z 6D*       3.5      6-8      E1     

4923.92123   4.3e+06    1.04e-02   2.8910183-5.40831276   3d5.4s2               a 6S        2.5      3d6.(5D).4p            z 6P*       1.5      6-4      E1     
5018.4358    2.0e+06    7.5e-03    2.8910183-5.36090398   3d5.4s2               a 6S        2.5      3d6.(5D).4p            z 6P*       2.5      6-6      E1     
5169.0282    4.2e+06    2.3e-02    2.8910183-5.28894824   3d5.4s2               a 6S        2.5      3d6.(5D).4p            z 6P*       3.5      6-8      E1     

1459.30332   8.e+07     1.7e-02    2.8910183-11.3871409   3d5.4s2               a 6S        2.5      3d6.(5D).5p            w 6P*       1.5      6-4      E1     
1465.04017   9.e+07     2.8e-02    2.8910183-11.3538714   3d5.4s2               a 6S        2.5      3d6.(5D).5p            w 6P*       2.5      6-6      E1     
1473.83282   1.0e+08    4.3e-02    2.8910183-11.3033835   3d5.4s2               a 6S        2.5      3d6.(5D).5p            w 6P*       3.5      6-8      E1     

1834.75331   2.6e+07    9.e-03     6.72932284-13.4868634  3d5.4s2               b 4G        2.5      3d5.(2F1).4s.4p.(3P*)  4F*         1.5      6-4      E1     
1842.84838   8.e+06     4.1e-03    6.72932284-13.4571796  3d5.4s2               b 4G        2.5      3d5.(2F1).4s.4p.(3P*)  4F*         2.5      6-6      E1     
1843.55605   5.e+06     3.5e-03    6.72932284-13.454597   3d5.4s2               b 4G        2.5      3d5.(2F1).4s.4p.(3P*)  4F*         3.5      6-8      E1     

1776.42268   4.2e+07    2.0e-02    6.72932284-13.708754   3d5.4s2               b 4G        2.5      3d6.(3F2).5p           4F*         2.5      6-6      E1     
1781.53944   3.6e+08    1.2e-01    6.72932284-13.6887084  3d5.4s2               b 4G        2.5      3d6.(3F2).5p           4F*         1.5      6-4      E1     
1789.89523   3.1e+06    2.0e-03    6.72932284-13.6562198  3d5.4s2               b 4G        2.5      3d6.(3F2).5p           4F*         3.5      6-8      E1     

