Ritz       Aud       fdu       E_d(eV)-E_u(eV)      lower_conf     lower_term  lower_J  upper_conf     upper_term  upper_J  g_d-g_u  type   
--------------------------------------------------------------------------------------------------------------------------------------------
1959.517   2.7e+07   1.2e-02   10.992945-17.318159  3d5.(2H).4s    3H          4.0      3d5.(4F).4p    3G*         3.0      9-7      E1     
1961.6383  1.0e+07   5.e-03    10.992945-17.31132   3d5.(2H).4s    3H          4.0      3d5.(4F).4p    3G*         4.0      9-9      E1     
1967.8904  1.0e+07   7.e-03    10.992945-17.291249  3d5.(2H).4s    3H          4.0      3d5.(4F).4p    3G*         5.0      9-11     E1     

2016.7096  7.5e+07   5.4e-02   10.996761-17.142623  3d5.(2H).4s    3H          5.0      3d5.(2H).4p    3H*         6.0      11-13    E1     
2037.3035  2.9e+08   1.79e-01  10.996761-17.080507  3d5.(2H).4s    3H          5.0      3d5.(2H).4p    3H*         5.0      11-11    E1     
2047.1307  1.7e+07   9.e-03    10.996761-17.051306  3d5.(2H).4s    3H          5.0      3d5.(2H).4p    3H*         4.0      11-9     E1     

1830.6304  6.6e+07   3.9e-02   10.996761-17.769521  3d5.(2H).4s    3H          5.0      3d5.(a 2G).4p  3H*         6.0      11-13    E1     
1844.5614  2.8e+08   1.41e-01  10.996761-17.71837   3d5.(2H).4s    3H          5.0      3d5.(a 2G).4p  3H*         5.0      11-11    E1     
1846.3603  2.2e+07   9.e-03    10.996761-17.711821  3d5.(2H).4s    3H          5.0      3d5.(a 2G).4p  3H*         4.0      11-9     E1     

1893.3535  6.12e+08  2.69e-01  9.901471-16.447679   3d5.(2I).4s    3I          5.0      3d5.(2I).4p    3H*         4.0      11-9     E1     
1896.7516  3.4e+07   1.9e-02   9.901471-16.435954   3d5.(2I).4s    3I          5.0      3d5.(2I).4p    3H*         5.0      11-11    E1     
1907.6944  5.e+06    3.4e-03   9.901471-16.398479   3d5.(2I).4s    3I          5.0      3d5.(2I).4p    3H*         6.0      11-13    E1     

1952.863   2.91e+08  1.92e-01  9.899523-16.246287   3d5.(2I).4s    3I          6.0      3d5.(2I).4p    3I*         7.0      13-15    E1     
1963.5366  2.9e+08   1.69e-01  9.899523-16.211791   3d5.(2I).4s    3I          6.0      3d5.(2I).4p    3I*         6.0      13-13    E1     
1983.034   6.4e+07   3.2e-02   9.899523-16.149738   3d5.(2I).4s    3I          6.0      3d5.(2I).4p    3I*         5.0      13-11    E1     

1959.684   6.09e+08  3.98e-01  9.898941-16.223616   3d5.(2I).4s    3I          7.0      3d5.(2I).4p    3K*         8.0      15-17    E1     
1991.375   2.6e+08   1.58e-01  9.898941-16.12298    3d5.(2I).4s    3I          7.0      3d5.(2I).4p    3K*         7.0      15-15    E1     
1998.767   1.4e+07   7.e-03    9.898941-16.099966   3d5.(2I).4s    3I          7.0      3d5.(2I).4p    3K*         6.0      15-13    E1     

2065.486   8.e+07    8.e-02    16.22483-22.225576   3d5.(2P).4s    3P          1.0      3d5.(2P).4p    3P*         2.0      3-5      E1     
2084.23    8.e+07    5.3e-02   16.22483-22.171617   3d5.(2P).4s    3P          1.0      3d5.(2P).4p    3P*         1.0      3-3      E1     
2091.672   3.8e+08   8.e-02    16.22483-22.150464   3d5.(2P).4s    3P          1.0      3d5.(2P).4p    3P*         0.0      3-1      E1     

2137.0192  4.3e+06   2.3e-03   8.641223-14.441129   3d5.(4D).4s    5D          4.0      3d5.(4G).4p    5F*         3.0      9-7      E1     
2137.383   2.3e+07   1.5e-02   8.641223-14.440141   3d5.(4D).4s    5D          4.0      3d5.(4G).4p    5F*         4.0      9-9      E1     
2144.295   2.1e+07   1.8e-02   8.641223-14.421451   3d5.(4D).4s    5D          4.0      3d5.(4G).4p    5F*         5.0      9-11     E1     

5929.618   1.82e+07  1.34e-01  23.326732-25.417083  3d5.(4D).5s    5D          2.0      3d5.(4D).5p    5F*         3.0      5-7      E1     
5950.523   1.5e+07   7.7e-02   23.326732-25.409739  3d5.(4D).5s    5D          2.0      3d5.(4D).5p    5F*         2.0      5-5      E1     
5963.334   2.2e+06   7.e-03    23.326732-25.405265  3d5.(4D).5s    5D          2.0      3d5.(4D).5p    5F*         1.0      5-3      E1     

5671.252   8.3e+06   2.8e-02   23.322635-25.508216  3d5.(4D).5s    5D          3.0      3d5.(4D).5p    5D*         2.0      7-5      E1     
5672.896   4.04e+07  1.95e-01  23.322635-25.507583  3d5.(4D).5s    5D          3.0      3d5.(4D).5p    5D*         3.0      7-7      E1     
5692.423   3.13e+07  1.96e-01  23.322635-25.500088  3d5.(4D).5s    5D          3.0      3d5.(4D).5p    5D*         4.0      7-9      E1     

5886.655   1.75e+07  1.17e-01  23.322635-25.428243  3d5.(4D).5s    5D          3.0      3d5.(4D).5p    5F*         4.0      7-9      E1     
5918.021   1.63e+07  8.6e-02   23.322635-25.417083  3d5.(4D).5s    5D          3.0      3d5.(4D).5p    5F*         3.0      7-7      E1     
5938.844   1.6e+06   6.e-03    23.322635-25.409739  3d5.(4D).5s    5D          3.0      3d5.(4D).5p    5F*         2.0      7-5      E1     

5818.489   5.63e+07  3.50e-01  23.310704-25.44098   3d5.(4D).5s    5D          4.0      3d5.(4D).5p    5F*         5.0      9-11     E1     
5853.487   3.13e+07  1.61e-01  23.310704-25.428243  3d5.(4D).5s    5D          4.0      3d5.(4D).5p    5F*         4.0      9-9      E1     
5884.5     4.3e+06   1.7e-02   23.310704-25.417083  3d5.(4D).5s    5D          4.0      3d5.(4D).5p    5F*         3.0      9-7      E1     

1844.9511  2.3e+08   7.e-02    10.335224-17.055413  3d5.(4F).4s    5F          2.0      3d5.(4F).4p    5D*         1.0      5-3      E1     
1845.5122  2.5e+08   1.3e-01   10.335224-17.053369  3d5.(4F).4s    5F          2.0      3d5.(4F).4p    5D*         2.0      5-5      E1     
1849.6706  5.3e+07   3.8e-02   10.335224-17.038266  3d5.(4F).4s    5F          2.0      3d5.(4F).4p    5D*         3.0      5-7      E1     

1925.4127  3.5e+07   1.9e-02   10.335224-16.772455  3d5.(4F).4s    5F          2.0      3d5.(a 2D).4p  3D*         2.0      5-5      E1     
1927.7072  1.1e+07   3.5e-03   10.335224-16.764794  3d5.(4F).4s    5F          2.0      3d5.(a 2D).4p  3D*         1.0      5-3      E1     
1936.7146  7.e+07    5.5e-02   10.335224-16.734896  3d5.(4F).4s    5F          2.0      3d5.(a 2D).4p  3D*         3.0      5-7      E1     

1890.4517  3.7e+08   1.4e-01   10.32022-16.876475   3d5.(4F).4s    5F          3.0      3d5.(4F).4p    5F*         2.0      7-5      E1     
1894.3591  1.4e+08   7.3e-02   10.32022-16.862954   3d5.(4F).4s    5F          3.0      3d5.(4F).4p    5F*         3.0      7-7      E1     
1895.0077  1.5e+08   1.1e-01   10.32022-16.860715   3d5.(4F).4s    5F          3.0      3d5.(4F).4p    5F*         4.0      7-9      E1     

1922.3804  3.4e+08   2.4e-01   10.32022-16.767603   3d5.(4F).4s    5F          3.0      3d5.(4F).4p    5G*         4.0      7-9      E1     
1927.676   1.0e+08   5.4e-02   10.32022-16.749894   3d5.(4F).4s    5F          3.0      3d5.(4F).4p    5G*         3.0      7-7      E1     
1933.5996  6.e+06    2.4e-03   10.32022-16.730201   3d5.(4F).4s    5F          3.0      3d5.(4F).4p    5G*         2.0      7-5      E1     

1885.3308  1.7e+08   1.08e-01  10.310749-16.884808  3d5.(4F).4s    5F          4.0      3d5.(4F).4p    5F*         5.0      9-11     E1     
1891.6202  3.2e+08   1.3e-01   10.310749-16.862954  3d5.(4F).4s    5F          4.0      3d5.(4F).4p    5F*         3.0      9-7      E1     
1892.267   1.8e+08   9.8e-02   10.310749-16.860715  3d5.(4F).4s    5F          4.0      3d5.(4F).4p    5F*         4.0      9-9      E1     

1901.462   1.4e+08   9.4e-02   10.310749-16.829048  3d5.(4F).4s    5F          4.0      3d5.(4F).4p    5G*         5.0      9-11     E1     
