Ritz       Aud       fdu       E_d(eV)-E_u(eV)        lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
---------------------------------------------------------------------------------------------------------------------------------------
4681.115   2.00e+08  8.5e-01   12.6846246-15.332487   5s.5d       3D          3.0      5s.4f       3F*         4.0      7-9      E1    
4684.791   1.80e+07  5.9e-02   12.6846246-15.33041    5s.5d       3D          3.0      5s.4f       3F*         3.0      7-7      E1    
4685.921   9.e+05    2.2e-03   12.6846246-15.329772   5s.5d       3D          3.0      5s.4f       3F*         2.0      7-5      E1    

3158.396   4.2e+07   8.0e-02   12.6846246-16.609031   5s.5d       3D          3.0      5s.5f       3F*         4.0      7-9      E1    
3160.009   4.2e+06   6.e-03    12.6846246-16.607029   5s.5d       3D          3.0      5s.5f       3F*         3.0      7-7      E1    
3160.406   1.7e+05   1.9e-04   12.6846246-16.606535   5s.5d       3D          3.0      5s.5f       3F*         2.0      7-5      E1    

2683.12    2.2e+07   3.0e-02   12.6846246-17.304148   5s.5d       3D          3.0      5s.6f       3F*         4.0      7-9      E1    
2684.174   2.4e+06   2.6e-03   12.6846246-17.302336   5s.5d       3D          3.0      5s.6f       3F*         3.0      7-7      E1    
2684.414   1.1e+05   8.e-05    12.6846246-17.301923   5s.5d       3D          3.0      5s.6f       3F*         2.0      7-5      E1    

2350.7423  1.7e+07   2.3e-02   7.8157836-13.088427    5s.5p       1P*         1.0      5p2         3P          2.0      3-5      E1    
2486.141   5.e+05    4.6e-04   7.8157836-12.801293    5s.5p       1P*         1.0      5p2         3P          1.0      3-3      E1    
2591.946   1.4e+06   4.8e-04   7.8157836-12.597794    5s.5p       1P*         1.0      5p2         3P          0.0      3-1      E1    

1607.3371  3.2e+08   2.06e-01  5.37478712-13.088427   5s.5p       3P*         1.0      5p2         3P          2.0      3-5      E1    
1669.482   3.5e+08   1.5e-01   5.37478712-12.801293   5s.5p       3P*         1.0      5p2         3P          1.0      3-3      E1    
1716.518   1.1e+09   1.7e-01   5.37478712-12.597794   5s.5p       3P*         1.0      5p2         3P          0.0      3-1      E1    

2704.489   1.3e+07   2.0e-02   13.4436484-18.026675   5s.6p       3P*         2.0      5s.10d      3D          3.0      5-7      E1    
2705.019   3.3e+06   3.6e-03   13.4436484-18.025777   5s.6p       3P*         2.0      5s.10d      3D          2.0      5-5      E1    
2705.363   3.6e+05   2.4e-04   13.4436484-18.025193   5s.6p       3P*         2.0      5s.10d      3D          1.0      5-3      E1    

6095.9333  1.09e+08  8.5e-01   13.4436484-15.4769693  5s.6p       3P*         2.0      5s.6d       3D          3.0      5-7      E1    
6115.8707  2.7e+07   1.52e-01  13.4436484-15.4703409  5s.6p       3P*         2.0      5s.6d       3D          2.0      5-5      E1    
6128.6125  3.0e+06   1.0e-02   13.4436484-15.4661273  5s.6p       3P*         2.0      5s.6d       3D          1.0      5-3      E1    

3795.2048  4.2e+07   1.28e-01  13.4436484-16.7095856  5s.6p       3P*         2.0      5s.7d       3D          3.0      5-7      E1    
3799.2257  1.04e+07  2.2e-02   13.4436484-16.7061292  5s.6p       3P*         2.0      5s.7d       3D          2.0      5-5      E1    
3801.7586  1.2e+06   1.5e-03   13.4436484-16.7039556  5s.6p       3P*         2.0      5s.7d       3D          1.0      5-3      E1    

3155.78    2.0e+07   4.3e-02   13.4436484-17.371308   5s.6p       3P*         2.0      5s.8d       3D          3.0      5-7      E1    
3157.416   5.1e+06   8.e-03    13.4436484-17.369274   5s.6p       3P*         2.0      5s.8d       3D          2.0      5-5      E1    
3158.454   5.7e+05   5.1e-04   13.4436484-17.367983   5s.6p       3P*         2.0      5s.8d       3D          1.0      5-3      E1    

2865.684   1.2e+07   2.1e-02   13.4436484-17.768892   5s.6p       3P*         2.0      5s.9d       3D          3.0      5-7      E1    
2866.5524  2.9e+06   3.6e-03   13.4436484-17.767582   5s.6p       3P*         2.0      5s.9d       3D          2.0      5-5      E1    
2867.1065  3.3e+05   2.4e-04   13.4436484-17.766746   5s.6p       3P*         2.0      5s.9d       3D          1.0      5-3      E1    

6891.5826  6.5e+07   7.7e-01   11.6450775-13.4436484  5s.6s       3S          1.0      5s.6p       3P*         2.0      3-5      E1    
7182.9048  5.6e+07   4.4e-01   11.6450775-13.3707029  5s.6s       3S          1.0      5s.6p       3P*         1.0      3-3      E1    
7276.6388  5.6e+07   1.49e-01  11.6450775-13.3484744  5s.6s       3S          1.0      5s.6p       3P*         0.0      3-1      E1    

5510.883   5.5e+06   3.5e-02   15.7774935-18.026675   5s.7p       3P*         2.0      5s.10d      3D          3.0      5-7      E1    
5513.083   1.4e+06   6.e-03    15.7774935-18.025777   5s.7p       3P*         2.0      5s.10d      3D          2.0      5-5      E1    
5514.516   1.5e+05   4.2e-04   15.7774935-18.025193   5s.7p       3P*         2.0      5s.10d      3D          1.0      5-3      E1    

13298.074  2.9e+07   1.09e+00  15.7774935-16.7095856  5s.7p       3P*         2.0      5s.7d       3D          3.0      5-7      E1    
13347.57   7.3e+06   2.0e-01   15.7774935-16.7061292  5s.7p       3P*         2.0      5s.7d       3D          2.0      5-5      E1    
13378.885  8.1e+05   1.3e-02   15.7774935-16.7039556  5s.7p       3P*         2.0      5s.7d       3D          1.0      5-3      E1    

7776.94    1.2e+07   1.5e-01   15.7774935-17.371308   5s.7p       3P*         2.0      5s.8d       3D          3.0      5-7      E1    
7786.885   2.9e+06   2.6e-02   15.7774935-17.369274   5s.7p       3P*         2.0      5s.8d       3D          2.0      5-5      E1    
7793.204   3.2e+05   1.7e-03   15.7774935-17.367983   5s.7p       3P*         2.0      5s.8d       3D          1.0      5-3      E1    

6224.26    6.3e+06   5.1e-02   15.7774935-17.768892   5s.7p       3P*         2.0      5s.9d       3D          3.0      5-7      E1    
6228.363   1.6e+06   9.e-03    15.7774935-17.767582   5s.7p       3P*         2.0      5s.9d       3D          2.0      5-5      E1    
6230.979   1.8e+05   6.e-04    15.7774935-17.766746   5s.7p       3P*         2.0      5s.9d       3D          1.0      5-3      E1    

6867.73    1.5e+06   1.7e-02   15.0569561-16.86177    5s.7s       3S          1.0      5s.8p       3P*         2.0      3-5      E1    
6933.343   1.3e+06   9.e-03    15.0569561-16.844694   5s.7s       3S          1.0      5s.8p       3P*         1.0      3-3      E1    
6952.0     1.4e+06   3.4e-03   15.0569561-16.8399     5s.7s       3S          1.0      5s.8p       3P*         0.0      3-1      E1    

