Ritz      Aud       fdu       E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
------------------------------------------------------------------------------------------------------------------------------------
3899.249  5.16e+06  1.18e-02  20.394409-23.573202  3p5.3d      3P*         1.0      3p5.4p      3P          1.0      3-3      E1    
3955.203  8.86e+07  6.93e-02  20.394409-23.528233  3p5.3d      3P*         1.0      3p5.4p      3P          0.0      3-1      E1    
3972.586  4.43e+07  1.75e-01  20.394409-23.514521  3p5.3d      3P*         1.0      3p5.4p      3P          2.0      3-5      E1    

4222.96   2.30e+08  6.15e-01  20.638075-23.573202  3p5.4s      1P*         1.0      3p5.4p      3P          1.0      3-3      E1    
4288.67   1.16e+07  1.07e-02  20.638075-23.528233  3p5.4s      1P*         1.0      3p5.4p      3P          0.0      3-1      E1    
4309.11   4.19e+08  1.95e+00  20.638075-23.514521  3p5.4s      1P*         1.0      3p5.4p      3P          2.0      3-5      E1    

3716.622  1.48e+07  3.07e-02  20.238213-23.573202  3p5.4s      3P*         1.0      3p5.4p      3P          1.0      3-3      E1    
3767.423  1.01e+08  7.17e-02  20.238213-23.528233  3p5.4s      3P*         1.0      3p5.4p      3P          0.0      3-1      E1    
3783.192  1.49e+08  5.33e-01  20.238213-23.514521  3p5.4s      3P*         1.0      3p5.4p      3P          2.0      3-5      E1    

