Ritz      Aud         fdu         E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
----------------------------------------------------------------------------------------------------------------------------------------
5483.46   2.2726e+07  3.4169e-02  59.020708-61.281137  1s.2s       3S          1.0      1s.2p       3P*         0.0      3-1      E1    
5484.4    2.2727e+07  1.7090e-01  59.020708-61.280749  1s.2s       3S          1.0      1s.2p       3P*         2.0      3-5      E1    
5485.09   2.2720e+07  1.0256e-01  59.020708-61.280467  1s.2s       3S          1.0      1s.2p       3P*         1.0      3-3      E1    

10499.47  4.7599e+04  1.3118e-03  72.2347-73.415238    1s.4d       3D          1.0      1s.5p       3P*         2.0      3-5      E1    
10500.21  1.1900e+06  1.9680e-02  72.2347-73.415155    1s.4d       3D          1.0      1s.5p       3P*         1.0      3-3      E1    
10500.63  4.7601e+06  2.6243e-02  72.2347-73.415108    1s.4d       3D          1.0      1s.5p       3P*         0.0      3-1      E1    

9415.34   2.1233e+07  3.9528e-01  72.144648-73.461119  1s.4p       3P*         2.0      1s.5d       3D          3.0      5-7      E1    
9415.93   5.3075e+06  7.0584e-02  72.144648-73.461037  1s.4p       3P*         2.0      1s.5d       3D          2.0      5-5      E1    
9416.27   5.8981e+05  4.7067e-03  72.144648-73.460988  1s.4p       3P*         2.0      1s.5d       3D          1.0      5-3      E1    

11132.3   4.2612e+06  1.1090e-01  73.415238-74.528667  1s.5p       3P*         2.0      1s.7d       3D          3.0      5-7      E1    
11133.12  1.0652e+06  1.9804e-02  73.415238-74.528585  1s.5p       3P*         2.0      1s.7d       3D          2.0      5-5      E1    
11133.6   1.1837e+05  1.3206e-03  73.415238-74.528537  1s.5p       3P*         2.0      1s.7d       3D          1.0      5-3      E1    

