Ritz      Aud       fdu       E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
------------------------------------------------------------------------------------------------------------------------------------
3895.572  2.35e+08  7.50e-01  7.175454-10.357248   3p2         3P          2.0      3p.3d       3D*         3.0      5-7      E1    
3898.059  5.88e+07  1.34e-01  7.175454-10.355219   3p2         3P          2.0      3p.3d       3D*         2.0      5-5      E1    
3899.46   6.52e+06  8.92e-03  7.175454-10.354075   3p2         3P          2.0      3p.3d       3D*         1.0      5-3      E1    

2809.755  3.14e+07  5.20e-02  5.9459136-10.357248  3s.3d       3D          2.0      3p.3d       3D*         3.0      5-7      E1    
2811.048  1.96e+08  2.32e-01  5.9459136-10.355219  3s.3d       3D          2.0      3p.3d       3D*         2.0      5-5      E1    
2811.777  7.03e+07  5.00e-02  5.9459136-10.354075  3s.3d       3D          2.0      3p.3d       3D*         1.0      5-3      E1    

2776.69   1.32e+08  2.54e-01  2.7115919-7.175454   3s.3p       3P*         1.0      3p2         3P          2.0      3-5      E1    
2779.82   1.36e+08  1.58e-01  2.7115919-7.170428   3s.3p       3P*         1.0      3p2         3P          1.0      3-3      E1    
2781.416  5.43e+08  2.10e-01  2.7115919-7.16787    3s.3p       3P*         1.0      3p2         3P          0.0      3-1      E1    

7657.603  1.23e+06  1.80e-02  5.107827-6.7264807   3s.4s       3S          1.0      3s.5p       3P*         2.0      3-5      E1    
7659.152  1.23e+06  1.08e-02  5.107827-6.7261534   3s.4s       3S          1.0      3s.5p       3P*         1.0      3-3      E1    
7659.901  1.23e+06  3.61e-03  5.107827-6.7259951   3s.4s       3S          1.0      3s.5p       3P*         0.0      3-1      E1    

