Ritz      Aud       fdu       E_d(eV)-E_u(eV)    lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
----------------------------------------------------------------------------------------------------------------------------------
1731.785  1.60e+08  7.21e-02  59.19448-66.35381  2s2.2p5.3p  1D          2.0      2s2.2p5.3d  3D*         2.0      5-5      E1    
1739.496  3.26e+04  2.07e-05  59.19448-66.32207  2s2.2p5.3p  1D          2.0      2s2.2p5.3d  3D*         3.0      5-7      E1    
1761.742  3.16e+05  8.82e-05  59.19448-66.23207  2s2.2p5.3p  1D          2.0      2s2.2p5.3d  3D*         1.0      5-3      E1    

1900.928  3.78e+07  3.41e-02  59.31088-65.83101  2s2.2p5.3p  1P          1.0      2s2.2p5.3d  3P*         2.0      3-5      E1    
1920.738  2.26e+07  1.25e-02  59.31088-65.76377  2s2.2p5.3p  1P          1.0      2s2.2p5.3d  3P*         1.0      3-3      E1    
1929.727  8.30e+07  1.55e-02  59.31088-65.73372  2s2.2p5.3p  1P          1.0      2s2.2p5.3d  3P*         0.0      3-1      E1    

1803.101  1.03e+07  8.36e-03  58.95485-65.83101  2s2.2p5.3p  3D          1.0      2s2.2p5.3d  3P*         2.0      3-5      E1    
1820.907  3.05e+06  1.52e-03  58.95485-65.76377  2s2.2p5.3p  3D          1.0      2s2.2p5.3d  3P*         1.0      3-3      E1    
1828.979  4.97e+07  8.30e-03  58.95485-65.73372  2s2.2p5.3p  3D          1.0      2s2.2p5.3d  3P*         0.0      3-1      E1    

1652.221  9.10e+07  3.72e-02  58.84972-66.35381  2s2.2p5.3p  3D          2.0      2s2.2p5.3d  3D*         2.0      5-5      E1    
1659.239  8.48e+07  4.90e-02  58.84972-66.32207  2s2.2p5.3p  3D          2.0      2s2.2p5.3d  3D*         3.0      5-7      E1    
1679.467  5.88e+07  1.49e-02  58.84972-66.23207  2s2.2p5.3p  3D          2.0      2s2.2p5.3d  3D*         1.0      5-3      E1    

1704.376  1.79e+07  5.56e-03  58.77511-66.04957  2s2.2p5.3p  3D          3.0      2s2.2p5.3d  3F*         2.0      7-5      E1    
1730.706  1.03e+08  4.62e-02  58.77511-65.9389   2s2.2p5.3p  3D          3.0      2s2.2p5.3d  3F*         3.0      7-7      E1    
1738.834  1.14e+09  6.63e-01  58.77511-65.90541  2s2.2p5.3p  3D          3.0      2s2.2p5.3d  3F*         4.0      7-9      E1    

1940.849  1.23e+07  1.16e-02  59.44497-65.83101  2s2.2p5.3p  3P          1.0      2s2.2p5.3d  3P*         2.0      3-5      E1    
1961.505  7.76e+07  4.48e-02  59.44497-65.76377  2s2.2p5.3p  3P          1.0      2s2.2p5.3d  3P*         1.0      3-3      E1    
1970.88   2.06e+08  3.99e-02  59.44497-65.73372  2s2.2p5.3p  3P          1.0      2s2.2p5.3d  3P*         0.0      3-1      E1    

1775.143  4.53e+06  2.14e-03  59.36935-66.35381  2s2.2p5.3p  3P          2.0      2s2.2p5.3d  3D*         2.0      5-5      E1    
1783.246  9.39e+08  6.27e-01  59.36935-66.32207  2s2.2p5.3p  3P          2.0      2s2.2p5.3d  3D*         3.0      5-7      E1    
1806.63   4.42e+06  1.30e-03  59.36935-66.23207  2s2.2p5.3p  3P          2.0      2s2.2p5.3d  3D*         1.0      5-3      E1    

1572.713  6.92e+08  4.28e-01  57.94755-65.83101  2s2.2p5.3p  3S          1.0      2s2.2p5.3d  3P*         2.0      3-5      E1    
1586.242  8.02e+08  3.02e-01  57.94755-65.76377  2s2.2p5.3p  3S          1.0      2s2.2p5.3d  3P*         1.0      3-3      E1    
1592.364  8.53e+08  1.08e-01  57.94755-65.73372  2s2.2p5.3p  3S          1.0      2s2.2p5.3d  3P*         0.0      3-1      E1    

2085.886  1.61e+08  1.05e-01  53.5029-59.44497   2s2.2p5.3s  1P*         1.0      2s2.2p5.3p  3P          1.0      3-3      E1    
2094.22   1.21e+07  2.65e-03  53.5029-59.42132   2s2.2p5.3s  1P*         1.0      2s2.2p5.3p  3P          0.0      3-1      E1    
2112.776  1.69e+08  1.88e-01  53.5029-59.36935   2s2.2p5.3s  1P*         1.0      2s2.2p5.3p  3P          2.0      3-5      E1    

1900.946  5.47e+07  2.96e-02  52.9249-59.44497   2s2.2p5.3s  3P*         1.0      2s2.2p5.3p  3P          1.0      3-3      E1    
1907.866  5.15e+08  9.37e-02  52.9249-59.42132   2s2.2p5.3s  3P*         1.0      2s2.2p5.3p  3P          0.0      3-1      E1    
1923.255  1.37e+08  1.26e-01  52.9249-59.36935   2s2.2p5.3s  3P*         1.0      2s2.2p5.3p  3P          2.0      3-5      E1    

