Ritz      Aud       fdu       E_d(eV)-E_u(eV)    lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
--------------------------------------------------------------------------------------------------------------------------------------------
1432.767  9.91e+07  4.58e-02  75.54429-84.19777  2s2.2p4.(3P).3p  2D*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
1446.707  5.74e+06  1.80e-03  75.54429-84.11439  2s2.2p4.(3P).3p  2D*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
1456.151  1.14e+06  1.82e-04  75.54429-84.05881  2s2.2p4.(3P).3p  2D*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

1439.425  8.62e+04  1.79e-05  75.36897-83.98242  2s2.2p4.(3P).3p  2D*         2.5      2s2.2p4.(3P).3d  4F          1.5      6-4      E1    
1450.648  6.03e+06  1.90e-03  75.36897-83.91578  2s2.2p4.(3P).3p  2D*         2.5      2s2.2p4.(3P).3d  4F          2.5      6-6      E1    
1466.628  1.09e+08  4.68e-02  75.36897-83.82265  2s2.2p4.(3P).3p  2D*         2.5      2s2.2p4.(3P).3d  4F          3.5      6-8      E1    

1501.52   7.92e+07  4.02e-02  75.94052-84.19777  2s2.2p4.(3P).3p  2P*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
1516.836  2.51e+07  8.67e-03  75.94052-84.11439  2s2.2p4.(3P).3p  2P*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
1527.221  1.09e+07  1.90e-03  75.94052-84.05881  2s2.2p4.(3P).3p  2P*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

1494.623  1.19e+08  2.00e-02  74.96864-83.26399  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4D          0.5      4-2      E1    
1500.123  9.01e+07  3.04e-02  74.96864-83.23358  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4D          1.5      4-4      E1    
1506.798  3.91e+07  2.00e-02  74.96864-83.19697  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4D          2.5      4-6      E1    

1343.402  1.39e+07  5.65e-03  74.96864-84.19777  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
1355.649  2.56e+07  7.05e-03  74.96864-84.11439  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
1363.938  8.55e+06  1.19e-03  74.96864-84.05881  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

1485.421  9.86e+07  2.18e-02  74.88684-83.23358  2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4D          1.5      6-4      E1    
1491.965  1.50e+08  4.99e-02  74.88684-83.19697  2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4D          2.5      6-6      E1    
1497.387  2.65e+07  1.19e-02  74.88684-83.16688  2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4D          3.5      6-8      E1    

