Ritz       Aud      fdu      E_d(eV)-E_u(eV)        lower_conf            lower_term  lower_J  upper_conf            upper_term  upper_J  g_d-g_u  type  
---------------------------------------------------------------------------------------------------------------------------------------------------------
7265.815   1.7e+07  8.e-02   10.7788119-12.484746   3d4.(5D).4s.4p.(3P*)  w 5P*       2.0      3d5.(6S).5d           5D          1.0      5-3      E1    
7267.379   3.9e+07  3.1e-01  10.7788119-12.484379   3d4.(5D).4s.4p.(3P*)  w 5P*       2.0      3d5.(6S).5d           5D          2.0      5-5      E1    
7269.76    4.4e+07  4.9e-01  10.7788119-12.4838207  3d4.(5D).4s.4p.(3P*)  w 5P*       2.0      3d5.(6S).5d           5D          3.0      5-7      E1    

2437.367   3.7e+08  4.3e-01  4.7787381-9.864004     3d5.(6S).4p           z 7P*       3.0      3d5.(6S).4d           e 7D        4.0      7-9      E1    
2437.8463  3.7e+08  3.3e-01  4.7787381-9.863005     3d5.(6S).4p           z 7P*       3.0      3d5.(6S).4d           e 7D        3.0      7-7      E1    
2438.191   2.0e+08  1.3e-01  4.7787381-9.862287     3d5.(6S).4p           z 7P*       3.0      3d5.(6S).4d           e 7D        2.0      7-5      E1    

2452.491   5.9e+08  6.5e-01  4.8114165-9.865326     3d5.(6S).4p           z 7P*       4.0      3d5.(6S).4d           e 7D        5.0      9-11     E1    
2453.132   2.2e+08  2.0e-01  4.8114165-9.864004     3d5.(6S).4p           z 7P*       4.0      3d5.(6S).4d           e 7D        4.0      9-9      E1    
2453.6177  5.2e+07  3.7e-02  4.8114165-9.863005     3d5.(6S).4p           z 7P*       4.0      3d5.(6S).4d           e 7D        3.0      9-7      E1    

7140.984   2.2e+07  2.3e-01  10.6496819-12.3854376  3d5.(6S).5p           x 7P*       2.0      3d5.(6S).5d           7D          3.0      5-7      E1    
7142.415   5.0e+07  3.9e-01  10.6496819-12.3850898  3d5.(6S).5p           x 7P*       2.0      3d5.(6S).5d           7D          2.0      5-5      E1    
7143.331   7.5e+07  3.5e-01  10.6496819-12.3848673  3d5.(6S).5p           x 7P*       2.0      3d5.(6S).5d           7D          1.0      5-3      E1    

7172.379   4.6e+07  4.6e-01  10.6577588-12.3859168  3d5.(6S).5p           x 7P*       3.0      3d5.(6S).5d           7D          4.0      7-9      E1    
7174.368   4.6e+07  3.6e-01  10.6577588-12.3854376  3d5.(6S).5p           x 7P*       3.0      3d5.(6S).5d           7D          3.0      7-7      E1    
7175.813   2.5e+07  1.4e-01  10.6577588-12.3850898  3d5.(6S).5p           x 7P*       3.0      3d5.(6S).5d           7D          2.0      7-5      E1    

7219.967   6.8e+07  6.5e-01  10.6697857-12.3865529  3d5.(6S).5p           x 7P*       4.0      3d5.(6S).5d           7D          5.0      9-11     E1    
7222.644   2.5e+07  2.0e-01  10.6697857-12.3859168  3d5.(6S).5p           x 7P*       4.0      3d5.(6S).5d           7D          4.0      9-9      E1    
7224.661   6.e+06   3.7e-02  10.6697857-12.3854376  3d5.(6S).5p           x 7P*       4.0      3d5.(6S).5d           7D          3.0      9-7      E1    

9443.553   3.4e+07  2.7e-01  9.4692672-10.781805    3d5.(6S).5s           e 5S        2.0      3d4.(5D).4s.4p.(3P*)  w 5P*       1.0      5-3      E1    
9465.137   3.3e+07  4.5e-01  9.4692672-10.7788119   3d5.(6S).5s           e 5S        2.0      3d4.(5D).4s.4p.(3P*)  w 5P*       2.0      5-5      E1    
9500.351   3.3e+07  6.2e-01  9.4692672-10.7739579   3d5.(6S).5s           e 5S        2.0      3d4.(5D).4s.4p.(3P*)  w 5P*       3.0      5-7      E1    

8695.197   3.7e+07  5.4e-01  9.2442843-10.6697857   3d5.(6S).5s           e 7S        3.0      3d5.(6S).5p           x 7P*       4.0      7-9      E1    
8769.182   3.8e+07  4.4e-01  9.2442843-10.6577588   3d5.(6S).5s           e 7S        3.0      3d5.(6S).5p           x 7P*       3.0      7-7      E1    
8819.58    3.8e+07  3.2e-01  9.2442843-10.6496819   3d5.(6S).5s           e 7S        3.0      3d5.(6S).5p           x 7P*       2.0      7-5      E1    

