Ritz       Aud       fdu       E_d(eV)-E_u(eV)        lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
-------------------------------------------------------------------------------------------------------------------------------------------------
12261.241  4.30e+05  1.29e-02  12.0096116-13.020523   2s2.2p2.(3P).3p  2D*         2.5      2s2.2p2.(3P).3d  4D          3.5      6-8      E1    
12274.87   2.39e+04  5.4e-04   12.0096116-13.019401   2s2.2p2.(3P).3p  2D*         2.5      2s2.2p2.(3P).3d  4D          2.5      6-6      E1    
12293.4    8.8e-01   1.3e-08   12.0096116-13.017878   2s2.2p2.(3P).3p  2D*         2.5      2s2.2p2.(3P).3d  4D          1.5      6-4      E1    

9786.78    1.18e+06  2.54e-02  11.7528949-13.019401   2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).3d  4D          2.5      4-6      E1    
9798.56    3.33e+06  4.80e-02  11.7528949-13.017878   2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).3d  4D          1.5      4-4      E1    
9810.01    5.42e+06  3.91e-02  11.7528949-13.016403   2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).3d  4D          0.5      4-2      E1    

9905.52    1.83e+05  1.34e-03  11.7528949-13.004219   2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).3d  4P          0.5      4-2      E1    
9931.47    2.02e+06  2.98e-02  11.7528949-13.00095    2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).3d  4P          1.5      4-4      E1    
9965.747   3.48e+05  7.78e-03  11.7528949-12.9966572  2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).3d  4P          2.5      4-6      E1    

6405.255   3.68e+05  3.40e-03  11.7528949-13.6880236  2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).4d  4D          2.5      4-6      E1    
6407.675   6.30e+05  3.88e-03  11.7528949-13.687293   2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).4d  4D          1.5      4-4      E1    
6411.648   7.86e+05  2.42e-03  11.7528949-13.6860943  2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).4d  4D          0.5      4-2      E1    

11180.13   2.21e+05  6.22e-03  11.7528949-12.86156    2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).4s  4P          2.5      4-6      E1    
11266.21   4.58e+06  8.71e-02  11.7528949-12.85309    2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).4s  4P          1.5      4-4      E1    
11323.18   8.19e+06  7.88e-02  11.7528949-12.847554   2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).4s  4P          0.5      4-2      E1    

5518.102   1.20e+05  8.22e-04  11.7528949-13.999134   2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).5d  4D          2.5      4-6      E1    
