Ritz      Aud       fdu       E_d(eV)-E_u(eV)      lower_conf      lower_term  lower_J  upper_conf      upper_term  upper_J  g_d-g_u  type  
--------------------------------------------------------------------------------------------------------------------------------------------
4695.899  1.29e+07  7.11e-02  27.730126-30.369653  2s.2p2.(4P).3p  5D*         1.0      2s.2p2.(4P).3d  5D          2.0      3-5      E1    
4697.638  3.06e+06  1.01e-02  27.730126-30.368676  2s.2p2.(4P).3p  5D*         1.0      2s.2p2.(4P).3d  5D          1.0      3-3      E1    
4698.554  3.67e+07  4.05e-02  27.730126-30.368161  2s.2p2.(4P).3p  5D*         1.0      2s.2p2.(4P).3d  5D          0.0      3-1      E1    

4700.032  1.05e+07  4.87e-02  27.733833-30.371039  2s.2p2.(4P).3p  5D*         2.0      2s.2p2.(4P).3d  5D          3.0      5-7      E1    
4702.503  9.15e+06  3.04e-02  27.733833-30.369653  2s.2p2.(4P).3p  5D*         2.0      2s.2p2.(4P).3d  5D          2.0      5-5      E1    
4704.247  2.13e+07  4.24e-02  27.733833-30.368676  2s.2p2.(4P).3p  5D*         2.0      2s.2p2.(4P).3d  5D          1.0      5-3      E1    

5173.385  7.36e+07  4.14e-01  27.733833-30.129743  2s.2p2.(4P).3p  5D*         2.0      2s.2p2.(4P).3d  5F          3.0      5-7      E1    
5180.358  4.28e+07  1.72e-01  27.733833-30.126519  2s.2p2.(4P).3p  5D*         2.0      2s.2p2.(4P).3d  5F          2.0      5-5      E1    
5185.087  7.11e+06  1.72e-02  27.733833-30.124337  2s.2p2.(4P).3p  5D*         2.0      2s.2p2.(4P).3d  5F          1.0      5-3      E1    

4706.4    6.09e+06  2.60e-02  27.739182-30.372819  2s.2p2.(4P).3p  5D*         3.0      2s.2p2.(4P).3d  5D          4.0      7-9      E1    
4709.584  1.82e+07  6.06e-02  27.739182-30.371039  2s.2p2.(4P).3p  5D*         3.0      2s.2p2.(4P).3d  5D          3.0      7-7      E1    
4712.065  1.46e+07  3.47e-02  27.739182-30.369653  2s.2p2.(4P).3p  5D*         3.0      2s.2p2.(4P).3d  5D          2.0      7-5      E1    

5175.89   8.93e+07  4.61e-01  27.739182-30.133933  2s.2p2.(4P).3p  5D*         3.0      2s.2p2.(4P).3d  5F          4.0      7-9      E1    
5184.961  3.20e+07  1.29e-01  27.739182-30.129743  2s.2p2.(4P).3p  5D*         3.0      2s.2p2.(4P).3d  5F          3.0      7-7      E1    
5191.965  4.25e+06  1.23e-02  27.739182-30.126519  2s.2p2.(4P).3p  5D*         3.0      2s.2p2.(4P).3d  5F          2.0      7-5      E1    

5179.521  1.07e+08  5.26e-01  27.745867-30.138939  2s.2p2.(4P).3p  5D*         4.0      2s.2p2.(4P).3d  5F          5.0      9-11     E1    
5190.38   1.77e+07  7.15e-02  27.745867-30.133933  2s.2p2.(4P).3p  5D*         4.0      2s.2p2.(4P).3d  5F          4.0      9-9      E1    
5199.501  1.51e+06  4.76e-03  27.745867-30.129743  2s.2p2.(4P).3p  5D*         4.0      2s.2p2.(4P).3d  5F          3.0      9-7      E1    

5168.05   3.06e+07  2.04e-01  27.971269-30.369653  2s.2p2.(4P).3p  5P*         1.0      2s.2p2.(4P).3d  5D          2.0      3-5      E1    
5170.156  6.54e+07  2.62e-01  27.971269-30.368676  2s.2p2.(4P).3p  5P*         1.0      2s.2p2.(4P).3d  5D          1.0      3-3      E1    
5171.266  8.71e+07  1.16e-01  27.971269-30.368161  2s.2p2.(4P).3p  5P*         1.0      2s.2p2.(4P).3d  5D          0.0      3-1      E1    

5171.469  5.81e+07  3.26e-01  27.974241-30.371039  2s.2p2.(4P).3p  5P*         2.0      2s.2p2.(4P).3d  5D          3.0      5-7      E1    
5174.462  5.07e+07  2.04e-01  27.974241-30.369653  2s.2p2.(4P).3p  5P*         2.0      2s.2p2.(4P).3d  5D          2.0      5-5      E1    
5176.573  2.17e+07  5.23e-02  27.974241-30.368676  2s.2p2.(4P).3p  5P*         2.0      2s.2p2.(4P).3d  5D          1.0      5-3      E1    

5320.202  4.20e+07  1.07e-01  27.974241-30.304034  2s.2p2.(4P).3p  5P*         2.0      2s.2p2.(4P).3d  5P          1.0      5-3      E1    
5327.756  4.65e+06  1.98e-02  27.974241-30.300731  2s.2p2.(4P).3p  5P*         2.0      2s.2p2.(4P).3d  5P          2.0      5-5      E1    
5338.729  1.85e+07  1.11e-01  27.974241-30.295949  2s.2p2.(4P).3p  5P*         2.0      2s.2p2.(4P).3d  5P          3.0      5-7      E1    

5179.344  8.67e+07  4.49e-01  27.979665-30.372819  2s.2p2.(4P).3p  5P*         3.0      2s.2p2.(4P).3d  5D          4.0      7-9      E1    
5183.2    2.88e+07  1.16e-01  27.979665-30.371039  2s.2p2.(4P).3p  5P*         3.0      2s.2p2.(4P).3d  5D          3.0      7-7      E1    
5186.206  5.76e+06  1.66e-02  27.979665-30.369653  2s.2p2.(4P).3p  5P*         3.0      2s.2p2.(4P).3d  5D          2.0      7-5      E1    

6857.03   2.53e+07  1.07e-01  28.496399-30.304034  2s.2p2.(4P).3p  5S*         2.0      2s.2p2.(4P).3d  5P          1.0      5-3      E1    
6869.58   2.51e+07  1.78e-01  28.496399-30.300731  2s.2p2.(4P).3p  5S*         2.0      2s.2p2.(4P).3d  5P          2.0      5-5      E1    
6887.83   2.49e+07  2.48e-01  28.496399-30.295949  2s.2p2.(4P).3p  5S*         2.0      2s.2p2.(4P).3d  5P          3.0      5-7      E1    

5893.15   2.88e+07  2.10e-01  26.263284-28.366572  2s.2p2.(4P).3s  3P          2.0      2s.2p2.(4P).3p  3D*         3.0      5-7      E1    
5914.07   7.13e+06  3.74e-02  26.263284-28.35913   2s.2p2.(4P).3s  3P          2.0      2s.2p2.(4P).3p  3D*         2.0      5-5      E1    
5927.22   7.87e+05  2.49e-03  26.263284-28.354479  2s.2p2.(4P).3s  3P          2.0      2s.2p2.(4P).3p  3D*         1.0      5-3      E1    

5526.234  2.13e+07  1.63e-01  25.4909-27.733833    2s.2p2.(4P).3s  5P          1.0      2s.2p2.(4P).3p  5D*         2.0      3-5      E1    
5535.383  4.53e+07  2.08e-01  25.4909-27.730126    2s.2p2.(4P).3s  5P          1.0      2s.2p2.(4P).3p  5D*         1.0      3-3      E1    
5540.061  6.03e+07  9.25e-02  25.4909-27.728235    2s.2p2.(4P).3s  5P          1.0      2s.2p2.(4P).3p  5D*         0.0      3-1      E1    

5530.242  4.04e+07  2.59e-01  25.497874-27.739182  2s.2p2.(4P).3s  5P          2.0      2s.2p2.(4P).3p  5D*         3.0      5-7      E1    
5543.471  3.51e+07  1.62e-01  25.497874-27.733833  2s.2p2.(4P).3s  5P          2.0      2s.2p2.(4P).3p  5D*         2.0      5-5      E1    
5552.677  1.50e+07  4.16e-02  25.497874-27.730126  2s.2p2.(4P).3s  5P          2.0      2s.2p2.(4P).3p  5D*         1.0      5-3      E1    

4994.36   2.62e+07  1.37e-01  25.497874-27.979665  2s.2p2.(4P).3s  5P          2.0      2s.2p2.(4P).3p  5P*         3.0      5-7      E1    
5005.3    6.51e+06  2.45e-02  25.497874-27.974241  2s.2p2.(4P).3s  5P          2.0      2s.2p2.(4P).3p  5P*         2.0      5-5      E1    
5011.314  5.84e+07  1.32e-01  25.497874-27.971269  2s.2p2.(4P).3s  5P          2.0      2s.2p2.(4P).3p  5P*         1.0      5-3      E1    

5535.347  6.04e+07  3.57e-01  25.506626-27.745867  2s.2p2.(4P).3s  5P          3.0      2s.2p2.(4P).3p  5D*         4.0      7-9      E1    
5551.922  2.00e+07  9.25e-02  25.506626-27.739182  2s.2p2.(4P).3s  5P          3.0      2s.2p2.(4P).3p  5D*         3.0      7-7      E1    
5565.255  3.97e+06  1.32e-02  25.506626-27.733833  2s.2p2.(4P).3s  5P          3.0      2s.2p2.(4P).3p  5D*         2.0      7-5      E1    

1275.275  6.32e+05  2.57e-04  11.43777-21.159916   2s.2p3          3D*         1.0      2s2.2p.3p       3P          2.0      3-5      E1    
1276.225  1.54e+07  3.75e-03  11.43777-21.152682   2s.2p3          3D*         1.0      2s2.2p.3p       3P          1.0      3-3      E1    
1276.8    6.08e+07  4.95e-03  11.43777-21.148308   2s.2p3          3D*         1.0      2s2.2p.3p       3P          0.0      3-1      E1    

1343.574  7.55e+05  2.86e-04  11.43758-20.665518   2s.2p3          3D*         2.0      2s2.2p.3p       3D          3.0      5-7      E1    
1345.313  4.90e+06  1.33e-03  11.43758-20.653592   2s.2p3          3D*         2.0      2s2.2p.3p       3D          2.0      5-5      E1    
1346.413  1.94e+06  3.16e-04  11.43758-20.646058   2s.2p3          3D*         2.0      2s2.2p.3p       3D          1.0      5-3      E1    

1063.35   1.22e+07  3.45e-03  13.54113-25.200902   2s.2p3          3P*         1.0      2s2.2p.4p       3P          2.0      3-5      E1    
1064.142  5.64e+06  9.57e-04  13.54113-25.192229   2s.2p3          3P*         1.0      2s2.2p.4p       3P          1.0      3-3      E1    
1064.443  4.40e+07  2.49e-03  13.54113-25.188937   2s.2p3          3P*         1.0      2s2.2p.4p       3P          0.0      3-1      E1    

1740.31   2.21e+07  1.41e-02  13.54126-20.665518   2s.2p3          3P*         2.0      2s2.2p.3p       3D          3.0      5-7      E1    
1743.228  5.40e+06  2.46e-03  13.54126-20.653592   2s.2p3          3P*         2.0      2s2.2p.3p       3D          2.0      5-5      E1    
