Ritz      Aud       fdu       E_d(eV)-E_u(eV)    lower_conf      lower_term  lower_J  upper_conf      upper_term  upper_J  g_d-g_u  type  
------------------------------------------------------------------------------------------------------------------------------------------
1799.16   1.01e+08  2.45e-02  41.26249-48.1537   2s.2p.(3P*).3d  4D*         1.5      2s.2p.(3P*).4f  4D          0.5      4-2      E1    
1800.1    8.08e+07  3.93e-02  41.26249-48.15011  2s.2p.(3P*).3d  4D*         1.5      2s.2p.(3P*).4f  4D          1.5      4-4      E1    
1801.64   4.70e+07  3.43e-02  41.26249-48.14422  2s.2p.(3P*).3d  4D*         1.5      2s.2p.(3P*).4f  4D          2.5      4-6      E1    

1800.8    7.06e+07  2.29e-02  41.26516-48.15011  2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4D          1.5      6-4      E1    
1802.34   1.15e+08  5.60e-02  41.26516-48.14422  2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4D          2.5      6-6      E1    
1803.53   2.86e+07  1.86e-02  41.26516-48.13969  2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4D          3.5      6-8      E1    

1845.87   9.47e+08  6.45e-01  41.26516-47.982    2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4F          3.5      6-8      E1    
1846.49   2.68e+08  1.37e-01  41.26516-47.97975  2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4F          2.5      6-6      E1    
1846.87   2.20e+07  7.50e-03  41.26516-47.97836  2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4F          1.5      6-4      E1    

1846.41   1.10e+09  7.03e-01  41.26864-47.98351  2s.2p.(3P*).3d  4D*         3.5      2s.2p.(3P*).4f  4F          4.5      8-10     E1    
1846.83   1.57e+08  8.03e-02  41.26864-47.982    2s.2p.(3P*).3d  4D*         3.5      2s.2p.(3P*).4f  4F          3.5      8-8      E1    
1847.45   1.06e+07  4.07e-03  41.26864-47.97975  2s.2p.(3P*).3d  4D*         3.5      2s.2p.(3P*).4f  4F          2.5      8-6      E1    

1719.581  1.29e+07  2.86e-03  40.94356-48.1537   2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).4f  4D          0.5      4-2      E1    
1720.439  2.57e+06  1.14e-03  40.94356-48.15011  2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).4f  4D          1.5      4-4      E1    
1721.846  1.22e+05  8.13e-05  40.94356-48.14422  2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).4f  4D          2.5      4-6      E1    

2144.11   1.05e+06  1.09e-03  40.94356-46.72429  2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).4p  4D          2.5      4-6      E1    
2146.92   2.21e+07  1.53e-02  40.94356-46.71671  2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).4p  4D          1.5      4-4      E1    
2149.02   1.10e+08  3.81e-02  40.94356-46.7111   2s.2p.(3P*).3d  4F*         1.5      2s.2p.(3P*).4p  4D          0.5      4-2      E1    

1721.458  1.03e+07  3.05e-03  40.94783-48.15011  2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).4f  4D          1.5      6-4      E1    
1722.867  2.23e+06  9.92e-04  40.94783-48.14422  2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).4f  4D          2.5      6-6      E1    
1723.951  6.62e+04  3.93e-05  40.94783-48.13969  2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).4f  4D          3.5      6-8      E1    

1762.599  1.60e+07  9.94e-03  40.94783-47.982    2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).4f  4F          3.5      6-8      E1    
1763.162  8.20e+07  3.82e-02  40.94783-47.97975  2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).4f  4F          2.5      6-6      E1    
1763.51   2.38e+07  7.40e-03  40.94783-47.97836  2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).4f  4F          1.5      6-4      E1    

2141.63   5.75e+05  5.28e-04  40.94783-46.73525  2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).4p  4D          3.5      6-8      E1    
2145.69   1.92e+07  1.33e-02  40.94783-46.72429  2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).4p  4D          2.5      6-6      E1    
2148.51   8.84e+07  4.08e-02  40.94783-46.71671  2s.2p.(3P*).3d  4F*         2.5      2s.2p.(3P*).4p  4D          1.5      6-4      E1    

1763.836  9.86e+06  5.75e-03  40.95427-47.98351  2s.2p.(3P*).3d  4F*         3.5      2s.2p.(3P*).4f  4F          4.5      8-10     E1    
1764.216  9.07e+07  4.23e-02  40.95427-47.982    2s.2p.(3P*).3d  4F*         3.5      2s.2p.(3P*).4f  4F          3.5      8-8      E1    
1764.78   2.12e+07  7.42e-03  40.95427-47.97975  2s.2p.(3P*).3d  4F*         3.5      2s.2p.(3P*).4f  4F          2.5      8-6      E1    

1729.945  1.19e+09  6.67e-01  40.95427-48.12122  2s.2p.(3P*).3d  4F*         3.5      2s.2p.(3P*).4f  4G          4.5      8-10     E1    
1731.56   1.76e+08  7.91e-02  40.95427-48.11454  2s.2p.(3P*).3d  4F*         3.5      2s.2p.(3P*).4f  4G          3.5      8-8      E1    
1732.424  6.49e+06  2.19e-03  40.95427-48.11096  2s.2p.(3P*).3d  4F*         3.5      2s.2p.(3P*).4f  4G          2.5      8-6      E1    

1729.897  1.30e+09  7.00e-01  40.96313-48.13027  2s.2p.(3P*).3d  4F*         4.5      2s.2p.(3P*).4f  4G          5.5      10-12    E1    
1732.085  1.08e+08  4.86e-02  40.96313-48.12122  2s.2p.(3P*).3d  4F*         4.5      2s.2p.(3P*).4f  4G          4.5      10-10    E1    
1733.703  3.93e+06  1.42e-03  40.96313-48.11454  2s.2p.(3P*).3d  4F*         4.5      2s.2p.(3P*).4f  4G          3.5      10-8     E1    

1917.86   1.60e+08  4.41e-02  41.69112-48.1537   2s.2p.(3P*).3d  4P*         1.5      2s.2p.(3P*).4f  4D          0.5      4-2      E1    
1918.93   5.13e+08  2.83e-01  41.69112-48.15011  2s.2p.(3P*).3d  4P*         1.5      2s.2p.(3P*).4f  4D          1.5      4-4      E1    
1920.68   6.71e+08  5.57e-01  41.69112-48.14422  2s.2p.(3P*).3d  4P*         1.5      2s.2p.(3P*).4f  4D          2.5      4-6      E1    

1916.91   4.82e+07  1.77e-02  41.68434-48.15011  2s.2p.(3P*).3d  4P*         2.5      2s.2p.(3P*).4f  4D          1.5      6-4      E1    
1918.66   2.89e+08  1.60e-01  41.68434-48.14422  2s.2p.(3P*).3d  4P*         2.5      2s.2p.(3P*).4f  4D          2.5      6-6      E1    
1920.01   9.60e+08  7.08e-01  41.68434-48.13969  2s.2p.(3P*).3d  4P*         2.5      2s.2p.(3P*).4f  4D          3.5      6-8      E1    

4321.39   5.03e+06  2.11e-02  38.39689-41.26516  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).3d  4D*         2.5      4-6      E1    
4325.43   8.60e+06  2.41e-02  38.39689-41.26249  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).3d  4D*         1.5      4-4      E1    
4327.88   1.07e+07  1.50e-02  38.39689-41.26086  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).3d  4D*         0.5      4-2      E1    

3757.65   6.64e+06  7.03e-03  38.39689-41.69546  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).3d  4P*         0.5      4-2      E1    
3762.6    4.24e+06  9.00e-03  38.39689-41.69112  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).3d  4P*         1.5      4-4      E1    
3770.36   2.63e+05  8.41e-04  38.39689-41.68434  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).3d  4P*         2.5      4-6      E1    

1304.929  1.88e+06  2.40e-04  38.39689-47.89811  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).4d  4P*         0.5      4-2      E1    
1305.483  1.20e+06  3.07e-04  38.39689-47.89408  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).4d  4P*         1.5      4-4      E1    
1306.406  7.48e+04  2.87e-05  38.39689-47.88737  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).4d  4P*         2.5      4-6      E1    

1694.786  7.59e+06  4.90e-03  38.39689-45.71252  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).4s  4P*         2.5      4-6      E1    
1698.182  1.21e+08  5.23e-02  38.39689-45.69789  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).4s  4P*         1.5      4-4      E1    
1700.027  1.88e+08  4.07e-02  38.39689-45.68996  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).4s  4P*         0.5      4-2      E1    

1002.06   8.64e+05  6.50e-05  38.39689-50.76982  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).5d  4P*         0.5      4-2      E1    
1002.466  5.52e+05  8.32e-05  38.39689-50.76481  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).5d  4P*         1.5      4-4      E1    
1003.014  3.45e+04  7.81e-06  38.39689-50.75805  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).5d  4P*         2.5      4-6      E1    

1094.551  3.82e+06  1.03e-03  38.39689-49.7243   2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).5s  4P*         2.5      4-6      E1    
1095.982  6.08e+07  1.09e-02  38.39689-49.70951  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).5s  4P*         1.5      4-4      E1    
1096.844  9.48e+07  8.55e-03  38.39689-49.70062  2s.2p.(3P*).3p  4D          1.5      2s.2p.(3P*).5s  4P*         0.5      4-2      E1    

4327.69   3.06e+06  1.15e-02  38.40454-41.26864  2s.2p.(3P*).3p  4D          2.5      2s.2p.(3P*).3d  4D*         3.5      6-8      E1    
4332.95   1.23e+07  3.46e-02  38.40454-41.26516  2s.2p.(3P*).3p  4D          2.5      2s.2p.(3P*).3d  4D*         2.5      6-6      E1    
4337.01   7.47e+06  1.41e-02  38.40454-41.26249  2s.2p.(3P*).3p  4D          2.5      2s.2p.(3P*).3d  4D*         1.5      6-4      E1    

4861.27   5.32e+07  2.51e-01  38.40454-40.95427  2s.2p.(3P*).3p  4D          2.5      2s.2p.(3P*).3d  4F*         3.5      6-8      E1    
4873.6    1.50e+07  5.34e-02  38.40454-40.94783  2s.2p.(3P*).3p  4D          2.5      2s.2p.(3P*).3d  4F*         2.5      6-6      E1    
4881.78   1.22e+06  2.91e-03  38.40454-40.94356  2s.2p.(3P*).3p  4D          2.5      2s.2p.(3P*).3d  4F*         1.5      6-4      E1    

4867.17   6.18e+07  2.75e-01  38.41648-40.96313  2s.2p.(3P*).3p  4D          3.5      2s.2p.(3P*).3d  4F*         4.5      8-10     E1    
4884.14   8.71e+06  3.12e-02  38.41648-40.95427  2s.2p.(3P*).3p  4D          3.5      2s.2p.(3P*).3d  4F*         3.5      8-8      E1    
4896.58   5.86e+05  1.58e-03  38.41648-40.94783  2s.2p.(3P*).3p  4D          3.5      2s.2p.(3P*).3d  4F*         2.5      8-6      E1    

6454.08   1.49e+07  1.40e-01  39.34467-41.26516  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4D*         2.5      4-6      E1    
6463.09   1.13e+07  7.08e-02  39.34467-41.26249  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4D*         1.5      4-4      E1    
6468.57   3.52e+06  1.10e-02  39.34467-41.26086  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4D*         0.5      4-2      E1    

5272.68   1.39e+07  2.90e-02  39.34467-41.69546  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4P*         0.5      4-2      E1    
5282.43   2.21e+06  9.25e-03  39.34467-41.69112  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4P*         1.5      4-4      E1    
5297.75   4.93e+06  3.11e-02  39.34467-41.68434  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).3d  4P*         2.5      4-6      E1    

1449.525  1.56e+08  2.46e-02  39.34467-47.89811  2s.2p.(3P*).3p  4P          1.5      2s.2p.(3P*).4d  4P*         0.5      4-2      E1    
