Ritz      Aud       fdu       E_d(eV)-E_u(eV)    lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
--------------------------------------------------------------------------------------------------------------------------------------------
3141.19   3.31e+07  6.30e-02  60.10087-64.04677  1s2.2p.(2P*).3p  3D          3.0      1s2.2s.4f        3F*         4.0      7-9      E1    
3142.3    3.69e+06  5.47e-03  60.10087-64.04538  1s2.2p.(2P*).3p  3D          3.0      1s2.2s.4f        3F*         3.0      7-7      E1    
3143.11   1.46e+05  1.55e-04  60.10087-64.04436  1s2.2p.(2P*).3p  3D          3.0      1s2.2s.4f        3F*         2.0      7-5      E1    

3443.61   3.46e+07  1.03e-01  57.69865-61.29804  1s2.2p.(2P*).3s  3P*         1.0      1s2.2p.(2P*).3p  3P          2.0      3-5      E1    
3454.65   3.42e+07  6.12e-02  57.69865-61.28653  1s2.2p.(2P*).3s  3P*         1.0      1s2.2p.(2P*).3p  3P          1.0      3-3      E1    
3461.36   1.36e+08  8.15e-02  57.69865-61.27957  1s2.2p.(2P*).3s  3P*         1.0      1s2.2p.(2P*).3p  3P          0.0      3-1      E1    

1168.484  5.59e+07  1.60e-02  52.07951-62.6902   1s2.2s.3d        3D          2.0      1s2.2p.(2P*).3d  3D*         3.0      5-7      E1    
1169.063  3.49e+08  7.15e-02  52.07951-62.68495  1s2.2s.3d        3D          2.0      1s2.2p.(2P*).3d  3D*         2.0      5-5      E1    
1169.53   1.25e+08  1.54e-02  52.07951-62.68071  1s2.2s.3d        3D          2.0      1s2.2p.(2P*).3d  3D*         1.0      5-3      E1    

1131.036  1.17e+08  3.74e-02  50.33603-61.29804  1s2.2s.3p        3P*         1.0      1s2.2p.(2P*).3p  3P          2.0      3-5      E1    
1132.225  1.16e+08  2.23e-02  50.33603-61.28653  1s2.2s.3p        3P*         1.0      1s2.2p.(2P*).3p  3P          1.0      3-3      E1    
1132.944  4.64e+08  2.98e-02  50.33603-61.27957  1s2.2s.3p        3P*         1.0      1s2.2p.(2P*).3p  3P          0.0      3-1      E1    

1270.27   4.09e+08  1.39e-01  50.34041-60.10087  1s2.2s.3p        3P*         2.0      1s2.2p.(2P*).3p  3D          3.0      5-7      E1    
1272.716  1.02e+08  2.48e-02  50.34041-60.08211  1s2.2s.3p        3P*         2.0      1s2.2p.(2P*).3p  3D          2.0      5-5      E1    
1274.285  1.13e+07  1.65e-03  50.34041-60.07012  1s2.2s.3p        3P*         2.0      1s2.2p.(2P*).3p  3D          1.0      5-3      E1    

7122.98   1.12e+07  1.19e-01  50.34041-52.08055  1s2.2s.3p        3P*         2.0      1s2.2s.3d        3D          3.0      5-7      E1    
7127.25   2.80e+06  2.13e-02  50.34041-52.07951  1s2.2s.3p        3P*         2.0      1s2.2s.3d        3D          2.0      5-5      E1    
7129.18   3.11e+05  1.42e-03  50.34041-52.07904  1s2.2s.3p        3P*         2.0      1s2.2s.3d        3D          1.0      5-3      E1    

1133.121  4.07e+08  1.31e-01  46.77735-57.71918  1s2.2s.3s        3S          1.0      1s2.2p.(2P*).3s  3P*         2.0      3-5      E1    
1135.252  4.05e+08  7.83e-02  46.77735-57.69865  1s2.2s.3s        3S          1.0      1s2.2p.(2P*).3s  3P*         1.0      3-3      E1    
1136.273  4.04e+08  2.61e-02  46.77735-57.68883  1s2.2s.3s        3S          1.0      1s2.2p.(2P*).3s  3P*         0.0      3-1      E1    

3478.72   1.06e+08  3.21e-01  46.77735-50.34041  1s2.2s.3s        3S          1.0      1s2.2s.3p        3P*         2.0      3-5      E1    
3483.0    1.06e+08  1.93e-01  46.77735-50.33603  1s2.2s.3s        3S          1.0      1s2.2s.3p        3P*         1.0      3-3      E1    
3484.93   1.06e+08  6.44e-02  46.77735-50.33406  1s2.2s.3s        3S          1.0      1s2.2s.3p        3P*         0.0      3-1      E1    

