Ritz      Aud       fdu       E_d(eV)-E_u(eV)      lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
----------------------------------------------------------------------------------------------------------------------------------------------
2008.468  1.45e+08  1.32e-01  51.474802-57.645879  2s2.2p4.(3P).3p  2D*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
2021.225  2.97e+07  1.82e-02  51.474802-57.606938  2s2.2p4.(3P).3p  2D*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
2030.23   6.48e+05  2.00e-04  51.474802-57.579742  2s2.2p4.(3P).3p  2D*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

2007.572  1.93e+06  7.79e-04  51.364403-57.538235  2s2.2p4.(3P).3p  2D*         2.5      2s2.2p4.(3P).3d  4F          1.5      6-4      E1    
2023.228  3.29e+07  2.02e-02  51.364403-57.490469  2s2.2p4.(3P).3p  2D*         2.5      2s2.2p4.(3P).3d  4F          2.5      6-6      E1    
2041.665  1.64e+08  1.36e-01  51.364403-57.435154  2s2.2p4.(3P).3p  2D*         2.5      2s2.2p4.(3P).3d  4F          3.5      6-8      E1    

2148.573  1.54e+08  1.60e-01  51.877158-57.645879  2s2.2p4.(3P).3p  2P*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
2163.177  2.37e+07  1.66e-02  51.877158-57.606938  2s2.2p4.(3P).3p  2P*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
2173.494  4.45e+05  1.58e-04  51.877158-57.579742  2s2.2p4.(3P).3p  2P*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

2048.725  8.11e+07  2.55e-02  51.075511-57.125345  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4D          0.5      4-2      E1    
2055.185  6.39e+07  4.05e-02  51.075511-57.106331  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4D          1.5      4-4      E1    
2062.987  2.21e+07  2.12e-02  51.075511-57.083528  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4D          2.5      4-6      E1    

1886.39   3.55e+06  2.84e-03  51.075511-57.645879  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
1897.639  6.12e+05  3.31e-04  51.075511-57.606938  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
1905.575  5.38e+06  1.47e-03  51.075511-57.579742  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

1440.78   3.26e+08  5.07e-02  51.075511-59.680866  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).4s  4P          0.5      4-2      E1    
1452.909  2.03e+08  6.43e-02  51.075511-59.609025  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).4s  4P          1.5      4-4      E1    
1470.079  1.23e+07  5.96e-03  51.075511-59.509358  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).4s  4P          2.5      4-6      E1    

2037.78   6.73e+07  2.79e-02  51.024008-57.106331  2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4D          1.5      6-4      E1    
2045.45   1.05e+08  6.59e-02  51.024008-57.083528  2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4D          2.5      6-6      E1    
2051.853  1.37e+07  1.15e-02  51.024008-57.064621  2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4D          3.5      6-8      E1    

1902.651  9.39e+06  3.40e-03  51.024008-57.538235  2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4F          1.5      6-4      E1    
1916.708  1.65e+08  9.07e-02  51.024008-57.490469  2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4F          2.5      6-6      E1    
1933.248  6.33e+08  4.73e-01  51.024008-57.435154  2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4F          3.5      6-8      E1    

1896.363  1.83e+06  7.42e-04  50.954646-57.490469  2s2.2p4.(3P).3p  4D*         3.5      2s2.2p4.(3P).3d  4F          2.5      8-6      E1    
1912.552  6.89e+07  3.78e-02  50.954646-57.435154  2s2.2p4.(3P).3p  4D*         3.5      2s2.2p4.(3P).3d  4F          3.5      8-8      E1    
1925.623  8.94e+08  6.21e-01  50.954646-57.391175  2s2.2p4.(3P).3p  4D*         3.5      2s2.2p4.(3P).3d  4F          4.5      8-10     E1    

1845.143  1.69e+08  4.31e-02  50.405854-57.125345  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4D          0.5      4-2      E1    
1849.752  4.37e+08  2.24e-01  50.405854-57.106331  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4D          1.5      4-4      E1    
1856.071  4.22e+08  3.27e-01  50.405854-57.083528  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4D          2.5      4-6      E1    

1712.483  8.91e+07  5.88e-02  50.405854-57.645879  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
1721.744  3.26e+07  1.45e-02  50.405854-57.606938  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
1728.271  4.10e+08  9.19e-02  50.405854-57.579742  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

1336.755  4.27e+08  5.72e-02  50.405854-59.680866  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).4s  4P          0.5      4-2      E1    
1347.19   6.69e+07  1.82e-02  50.405854-59.609025  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).4s  4P          1.5      4-4      E1    
1361.939  1.45e+08  6.06e-02  50.405854-59.509358  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).4s  4P          2.5      4-6      E1    

1838.118  6.77e+07  2.29e-02  50.36116-57.106331   2s2.2p4.(3P).3p  4P*         2.5      2s2.2p4.(3P).3d  4D          1.5      6-4      E1    
1844.353  3.00e+08  1.53e-01  50.36116-57.083528   2s2.2p4.(3P).3p  4P*         2.5      2s2.2p4.(3P).3d  4D          2.5      6-6      E1    
1849.555  6.87e+08  4.70e-01  50.36116-57.064621   2s2.2p4.(3P).3p  4P*         2.5      2s2.2p4.(3P).3d  4D          3.5      6-8      E1    

2102.763  2.31e+08  2.30e-01  51.751498-57.645879  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
2116.749  3.03e+08  2.04e-01  51.751498-57.606938  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
2126.627  3.71e+08  1.26e-01  51.751498-57.579742  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

1563.607  8.51e+07  1.56e-02  51.751498-59.680866  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).4s  4P          0.5      4-2      E1    
1577.904  8.25e+07  3.08e-02  51.751498-59.609025  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).4s  4P          1.5      4-4      E1    
1598.175  7.96e+07  4.57e-02  51.751498-59.509358  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).4s  4P          2.5      4-6      E1    

2214.208  5.14e+07  1.89e-02  45.507242-51.10498   2s2.2p4.(3P).3s  4P          1.5      2s2.2p4.(3P).3p  4D*         0.5      4-2      E1    
2225.928  1.82e+08  1.35e-01  45.507242-51.075511  2s2.2p4.(3P).3s  4P          1.5      2s2.2p4.(3P).3p  4D*         1.5      4-4      E1    
2246.71   2.72e+08  3.09e-01  45.507242-51.024008  2s2.2p4.(3P).3s  4P          1.5      2s2.2p4.(3P).3p  4D*         2.5      4-6      E1    

2510.264  2.19e+08  1.03e-01  45.507242-50.444845  2s2.2p4.(3P).3s  4P          1.5      2s2.2p4.(3P).3p  4P*         0.5      4-2      E1    
2530.246  3.65e+07  3.51e-02  45.507242-50.405854  2s2.2p4.(3P).3s  4P          1.5      2s2.2p4.(3P).3p  4P*         1.5      4-4      E1    
2553.546  5.52e+07  8.10e-02  45.507242-50.36116   2s2.2p4.(3P).3s  4P          1.5      2s2.2p4.(3P).3p  4P*         2.5      4-6      E1    

2182.848  1.14e+07  5.45e-03  45.397361-51.075511  2s2.2p4.(3P).3s  4P          2.5      2s2.2p4.(3P).3p  4D*         1.5      6-4      E1    
2202.831  8.53e+07  6.21e-02  45.397361-51.024008  2s2.2p4.(3P).3s  4P          2.5      2s2.2p4.(3P).3p  4D*         2.5      6-6      E1    
2230.328  3.64e+08  3.62e-01  45.397361-50.954646  2s2.2p4.(3P).3s  4P          2.5      2s2.2p4.(3P).3p  4D*         3.5      6-8      E1    

