Ritz      Aud       fdu       E_d(eV)-E_u(eV)    lower_conf        lower_term  lower_J  upper_conf        upper_term  upper_J  g_d-g_u  type  
----------------------------------------------------------------------------------------------------------------------------------------------
1407.6    3.01e+08  2.98e-02  70.966-79.7739     2s2.2p3.(2D*).3p  3D          1.0      2s2.2p3.(2D*).3d  3P*         0.0      3-1      E1    
1409.8    7.94e+07  2.37e-02  70.966-79.7604     2s2.2p3.(2D*).3p  3D          1.0      2s2.2p3.(2D*).3d  3P*         1.0      3-3      E1    
1415.0    1.61e+06  8.06e-04  70.966-79.7283     2s2.2p3.(2D*).3p  3D          1.0      2s2.2p3.(2D*).3d  3P*         2.0      3-5      E1    

1095.97   3.68e+05  1.10e-04  70.966-82.2788     2s2.2p3.(2D*).3p  3D          1.0      2s2.2p3.(2P*).3d  3P*         2.0      3-5      E1    
1097.34   5.44e+06  9.83e-04  70.966-82.2646     2s2.2p3.(2D*).3p  3D          1.0      2s2.2p3.(2P*).3d  3P*         1.0      3-3      E1    
1101.84   1.86e+07  1.13e-03  70.966-82.2185     2s2.2p3.(2D*).3p  3D          1.0      2s2.2p3.(2P*).3d  3P*         0.0      3-1      E1    

1501.2    1.69e+08  3.43e-02  70.9678-79.2268    2s2.2p3.(2D*).3p  3D          2.0      2s2.2p3.(2D*).3d  3D*         1.0      5-3      E1    
1502.6    4.36e+08  1.48e-01  70.9678-79.2188    2s2.2p3.(2D*).3p  3D          2.0      2s2.2p3.(2D*).3d  3D*         2.0      5-5      E1    
1505.3    6.07e+07  2.89e-02  70.9678-79.2042    2s2.2p3.(2D*).3p  3D          2.0      2s2.2p3.(2D*).3d  3D*         3.0      5-7      E1    

1580.5    6.27e+08  3.02e-01  70.9867-78.8313    2s2.2p3.(2D*).3p  3D          3.0      2s2.2p3.(2D*).3d  3F*         4.0      7-9      E1    
1584.0    8.48e+07  3.19e-02  70.9867-78.8137    2s2.2p3.(2D*).3p  3D          3.0      2s2.2p3.(2D*).3d  3F*         3.0      7-7      E1    
1586.8    3.88e+06  1.05e-03  70.9867-78.8001    2s2.2p3.(2D*).3p  3D          3.0      2s2.2p3.(2D*).3d  3F*         2.0      7-5      E1    

1581.3    5.31e+07  1.19e-02  71.3861-79.2268    2s2.2p3.(2D*).3p  3F          2.0      2s2.2p3.(2D*).3d  3D*         1.0      5-3      E1    
1582.9    1.29e+07  4.86e-03  71.3861-79.2188    2s2.2p3.(2D*).3p  3F          2.0      2s2.2p3.(2D*).3d  3D*         2.0      5-5      E1    
1585.9    3.10e+05  1.64e-04  71.3861-79.2042    2s2.2p3.(2D*).3p  3F          2.0      2s2.2p3.(2D*).3d  3D*         3.0      5-7      E1    

1666.8    1.14e+07  6.10e-03  71.3927-78.8313    2s2.2p3.(2D*).3p  3F          3.0      2s2.2p3.(2D*).3d  3F*         4.0      7-9      E1    
1670.7    2.20e+08  9.21e-02  71.3927-78.8137    2s2.2p3.(2D*).3p  3F          3.0      2s2.2p3.(2D*).3d  3F*         3.0      7-7      E1    
1673.8    2.72e+07  8.15e-03  71.3927-78.8001    2s2.2p3.(2D*).3p  3F          3.0      2s2.2p3.(2D*).3d  3F*         2.0      7-5      E1    

1144.28   3.93e+06  5.51e-04  71.3927-82.2279    2s2.2p3.(2D*).3p  3F          3.0      2s2.2p3.(2P*).3d  3F*         2.0      7-5      E1    
1144.75   2.25e+07  4.43e-03  71.3927-82.2234    2s2.2p3.(2D*).3p  3F          3.0      2s2.2p3.(2P*).3d  3F*         3.0      7-7      E1    
1145.09   1.68e+06  4.24e-04  71.3927-82.2202    2s2.2p3.(2D*).3p  3F          3.0      2s2.2p3.(2P*).3d  3F*         4.0      7-9      E1    

1617.0    6.13e+05  1.87e-04  71.4008-79.0682    2s2.2p3.(2D*).3p  3F          4.0      2s2.2p3.(2D*).3d  3G*         3.0      9-7      E1    
1617.6    3.81e+07  1.49e-02  71.4008-79.0654    2s2.2p3.(2D*).3p  3F          4.0      2s2.2p3.(2D*).3d  3G*         4.0      9-9      E1    
1618.6    9.23e+08  4.43e-01  71.4008-79.061     2s2.2p3.(2D*).3p  3F          4.0      2s2.2p3.(2D*).3d  3G*         5.0      9-11     E1    

2107.7    1.99e+07  1.86e-02  65.1062-70.9867    2s2.2p3.(2D*).3s  3D*         2.0      2s2.2p3.(2D*).3p  3D          3.0      5-7      E1    
2114.5    2.10e+08  1.41e-01  65.1062-70.9678    2s2.2p3.(2D*).3s  3D*         2.0      2s2.2p3.(2D*).3p  3D          2.0      5-5      E1    
2115.2    7.03e+07  2.83e-02  65.1062-70.966     2s2.2p3.(2D*).3s  3D*         2.0      2s2.2p3.(2D*).3p  3D          1.0      5-3      E1    

