Ritz       Aud       fdu       E_d(eV)-E_u(eV)        lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
---------------------------------------------------------------------------------------------------------------------------------------
3520.309   1.5e+07   2.3e+00   20.5802586-24.1012214  4d.5d       3D          2.0      4d.6p       3D*         3.0      5-7      E1    
3570.261   3.7e+07   4.2e+00   20.5802586-24.05196    4d.5d       3D          2.0      4d.6p       3D*         2.0      5-5      E1    
3714.019   5.0e+07   3.8e+00   20.5802586-23.9175847  4d.5d       3D          2.0      4d.6p       3D*         1.0      5-3      E1    

1487.2042  2.9e+08   3.3e+00   12.364332-20.7010614   4d.5p       3F*         2.0      4d.5d       3D          3.0      5-7      E1    
1509.0713  1.0e+08   8.5e-01   12.364332-20.5802586   4d.5p       3F*         2.0      4d.5d       3D          2.0      5-5      E1    
1525.5826  6.8e+07   3.6e-01   12.364332-20.4913384   4d.5p       3F*         2.0      4d.5d       3D          1.0      5-3      E1    

1418.8885  2.7e+08   3.4e+00   12.446315-21.184436    4d.5p       3F*         3.0      4d.5d       3F          4.0      7-9      E1    
1434.1357  1.10e+09  1.12e+01  12.446315-21.091536    4d.5p       3F*         3.0      4d.5d       3F          3.0      7-7      E1    
1453.2203  1.1e+08   8.3e-01   12.446315-20.9780012   4d.5p       3F*         3.0      4d.5d       3F          2.0      7-5      E1    

1454.2132  1.7e+08   1.3e+00   13.014254-21.540116    4d.5p       3P*         1.0      4d.5d       3P          2.0      3-5      E1    
1468.451   2.2e+08   1.03e+00  13.014254-21.457453    4d.5p       3P*         1.0      4d.5d       3P          1.0      3-3      E1    
1480.848   1.21e+09  1.9e+00   13.014254-21.38677     4d.5p       3P*         1.0      4d.5d       3P          0.0      3-1      E1    

3403.666   3.1e+08   5.4e+01   24.1012214-27.742843   4d.6p       3D*         3.0      4d.6d       3F          4.0      7-9      E1    
3457.53    2.0e+08   2.8e+01   24.1012214-27.686113   4d.6p       3D*         3.0      4d.6d       3F          3.0      7-7      E1    
3593.055   8.1e+06   9.2e-01   24.1012214-27.5508994  4d.6p       3D*         3.0      4d.6d       3F          2.0      7-5      E1    

3291.269   6.4e+07   5.6e+00   24.2292909-27.99527    4d.6p       3P*         1.0      4d.6d       3P          2.0      3-5      E1    
3355.049   2.6e+07   1.5e+00   24.2292909-27.92368    4d.6p       3P*         1.0      4d.6d       3P          1.0      3-3      E1    
3470.686   2.0e+08   4.2e+00   24.2292909-27.800594   4d.6p       3P*         1.0      4d.6d       3P          0.0      3-1      E1    

3825.875   1.35e+08  2.6e+01   24.3490398-27.5887965  4d.6p       3P*         2.0      4d.6d       3D          3.0      5-7      E1    
4001.839   1.07e+07  1.7e+00   24.3490398-27.446345   4d.6p       3P*         2.0      4d.6d       3D          2.0      5-5      E1    
4096.529   5.e+04    5.e-03    24.3490398-27.3747526  4d.6p       3P*         2.0      4d.6d       3D          1.0      5-3      E1    

1655.651   2.9e+08   3.2e+00   19.60776-27.096308     5s.5p       3P*         1.0      5p2         3P          2.0      3-5      E1    
1740.259   4.4e+08   3.4e+00   19.60776-26.732229     5s.5p       3P*         1.0      5p2         3P          1.0      3-3      E1    
1784.164   1.64e+09  4.6e+00   19.60776-26.556909     5s.5p       3P*         1.0      5p2         3P          0.0      3-1      E1    

