Ritz        Aud      fdu      E_d(eV)-E_u(eV)          lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
--------------------------------------------------------------------------------------------------------------------------------------------------
3362.9378   3.5e+07  3.0e-02  30.95829705-34.6440204   2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4D          0.5      4-2      E1    
3374.06069  3.0e+07  5.1e-02  30.95829705-34.63187052  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4D          1.5      4-4      E1    
3386.2018   5.5e+06  1.4e-02  30.95829705-34.61869947  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4D          2.5      4-6      E1    

3176.11994  6.0e+06  1.4e-02  30.95829705-34.86080527  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
3194.57544  5.2e+07  8.0e-02  30.95829705-34.83826076  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
3217.29852  1.3e+07  1.0e-02  30.95829705-34.81085841  2s2.2p4.(3P).3p  4D*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

3345.8804   2.2e+07  2.5e-02  30.9273578-34.63187052   2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4D          1.5      6-4      E1    
3357.8192   5.0e+07  8.5e-02  30.9273578-34.61869947   2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4D          2.5      6-6      E1    
3366.98386  3.5e+06  7.9e-03  30.9273578-34.6086522    2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4D          3.5      6-8      E1    

3173.57278  4.5e+06  4.5e-03  30.9273578-34.83299812   2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4F          1.5      6-4      E1    
3188.74089  3.9e+07  5.9e-02  30.9273578-34.81442056   2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4F          2.5      6-6      E1    
3198.58617  1.7e+08  3.5e-01  30.9273578-34.80245657   2s2.2p4.(3P).3p  4D*         2.5      2s2.2p4.(3P).3d  4F          3.5      6-8      E1    

3154.79308  1.8e+06  2.0e-03  30.8855318-34.81442056   2s2.2p4.(3P).3p  4D*         3.5      2s2.2p4.(3P).3d  4F          2.5      8-6      E1    
3164.42955  1.6e+07  2.4e-02  30.8855318-34.80245657   2s2.2p4.(3P).3p  4D*         3.5      2s2.2p4.(3P).3d  4F          3.5      8-8      E1    
3218.19248  3.6e+08  7.0e-01  30.8855318-34.737023     2s2.2p4.(3P).3p  4D*         3.5      2s2.2p4.(3P).3d  4F          4.5      8-10     E1    

3028.7001   8.5e+07  5.8e-02  30.55156804-34.6440204   2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4D          0.5      4-2      E1    
3037.71908  2.1e+08  2.9e-01  30.55156804-34.63187052  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4D          1.5      4-4      E1    
3047.55687  1.8e+08  3.8e-01  30.55156804-34.61869947  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4D          2.5      4-6      E1    

2876.32874  7.8e+07  1.5e-01  30.55156804-34.86080527  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
2891.45659  6.1e+06  7.7e-03  30.55156804-34.83826076  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
2910.05978  1.7e+08  1.1e-01  30.55156804-34.81085841  2s2.2p4.(3P).3p  4P*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

3017.30923  3.5e+07  3.2e-02  30.52396899-34.63187052  2s2.2p4.(3P).3p  4P*         2.5      2s2.2p4.(3P).3d  4D          1.5      6-4      E1    
3027.01507  1.4e+08  1.9e-01  30.52396899-34.61869947  2s2.2p4.(3P).3p  4P*         2.5      2s2.2p4.(3P).3d  4D          2.5      6-6      E1    
3034.46102  3.1e+08  5.7e-01  30.52396899-34.6086522   2s2.2p4.(3P).3p  4P*         2.5      2s2.2p4.(3P).3d  4D          3.5      6-8      E1    

2876.46765  3.3e+07  2.7e-02  30.52396899-34.83299812  2s2.2p4.(3P).3p  4P*         2.5      2s2.2p4.(3P).3d  4F          1.5      6-4      E1    
2888.92328  1.7e+07  2.1e-02  30.52396899-34.81442056  2s2.2p4.(3P).3p  4P*         2.5      2s2.2p4.(3P).3d  4F          2.5      6-6      E1    
2897.00199  3.0e+05  5.0e-04  30.52396899-34.80245657  2s2.2p4.(3P).3p  4P*         2.5      2s2.2p4.(3P).3d  4F          3.5      6-8      E1    

3776.8818   7.4e+05  7.9e-04  31.36223939-34.6440204   2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).3d  4D          0.5      4-2      E1    
3790.917    1.7e+06  3.7e-03  31.36223939-34.63187052  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).3d  4D          1.5      4-4      E1    
3806.25004  1.3e+06  4.2e-03  31.36223939-34.61869947  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).3d  4D          2.5      4-6      E1    

3542.8454   1.2e+08  3.4e-01  31.36223939-34.86080527  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).3d  4P          2.5      4-6      E1    
3565.824    6.2e+07  1.2e-01  31.36223939-34.83826076  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).3d  4P          1.5      4-4      E1    
3594.1584   1.3e+08  1.3e-01  31.36223939-34.81085841  2s2.2p4.(3P).3p  4S*         1.5      2s2.2p4.(3P).3d  4P          0.5      4-2      E1    

