Ritz       Aud      fdu      E_d(eV)-E_u(eV)        lower_conf        lower_term  lower_J  upper_conf        upper_term  upper_J  g_d-g_u  type  
-------------------------------------------------------------------------------------------------------------------------------------------------
1952.477   8.3e+07  7.9e-02  54.515205-60.863221    2s2.2p3.(2D*).3d  3P*         1.0      2s2.2p3.(2D*).4f  3P          2.0      3-5      E1    
1954.55    5.6e+08  1.1e-01  54.515205-60.856491    2s2.2p3.(2D*).3d  3P*         1.0      2s2.2p3.(2D*).4f  3P          0.0      3-1      E1    
1954.752   6.3e+07  3.6e-02  54.515205-60.855834    2s2.2p3.(2D*).3d  3P*         1.0      2s2.2p3.(2D*).4f  3P          1.0      3-3      E1    

1966.181   5.3e+08  5.1e-01  54.559442-60.863221    2s2.2p3.(2D*).3d  3S*         1.0      2s2.2p3.(2D*).4f  3P          2.0      3-5      E1    
1968.283   5.1e+08  9.9e-02  54.559442-60.856491    2s2.2p3.(2D*).3d  3S*         1.0      2s2.2p3.(2D*).4f  3P          0.0      3-1      E1    
1968.488   4.5e+08  2.6e-01  54.559442-60.855834    2s2.2p3.(2D*).3d  3S*         1.0      2s2.2p3.(2D*).4f  3P          1.0      3-3      E1    

2087.389   1.1e+08  4.3e-02  48.23674-54.17453      2s2.2p3.(2D*).3p  3D          2.0      2s2.2p3.(2D*).3d  3D*         1.0      5-3      E1    
2089.371   2.8e+08  1.8e-01  48.23674-54.168898     2s2.2p3.(2D*).3p  3D          2.0      2s2.2p3.(2D*).3d  3D*         2.0      5-5      E1    
2092.413   3.8e+07  3.5e-02  48.23674-54.160274     2s2.2p3.(2D*).3p  3D          2.0      2s2.2p3.(2D*).3d  3D*         3.0      5-7      E1    

2262.113   7.3e+06  7.2e-03  48.52936-54.008567     2s2.2p3.(2D*).3p  3F          3.0      2s2.2p3.(2D*).3d  3F*         4.0      7-9      E1    
2264.835   1.6e+08  1.2e-01  48.52936-54.001982     2s2.2p3.(2D*).3p  3F          3.0      2s2.2p3.(2D*).3d  3F*         3.0      7-7      E1    
