Ritz       Aud          fdu      E_d(eV)-E_u(eV)      lower_conf            lower_term  lower_J  upper_conf            upper_term  upper_J  g_d-g_u  type  
-----------------------------------------------------------------------------------------------------------------------------------------------------------
4786.281   74000.0      0.00015  1.6764334-4.2661171  3d8.(1D).4s2          1D          2.0      3d8.(3F).4s.4p.(3P*)  3D*         1.0      5-3      E1    
4976.326   43000.0      0.00016  1.6764334-4.1672193  3d8.(1D).4s2          1D          2.0      3d8.(3F).4s.4p.(3P*)  3D*         2.0      5-5      E1    
5003.741   60000.0      0.00032  1.6764334-4.1535726  3d8.(1D).4s2          1D          2.0      3d8.(3F).4s.4p.(3P*)  3D*         3.0      5-7      E1    

4831.176   16000000.0   0.044    3.606013-6.171632    3d8.(3F).4s.4p.(3P*)  5F*         4.0      3d8.4s.(4F).5s        5F          3.0      9-7      E1    
4998.224   4900000.0    0.018    3.606013-6.0858861   3d8.(3F).4s.4p.(3P*)  5F*         4.0      3d8.4s.(4F).5s        5F          4.0      9-9      E1    
5157.98    590000.0     0.0029   3.606013-6.0090789   3d8.(3F).4s.4p.(3P*)  5F*         4.0      3d8.4s.(4F).5s        5F          5.0      9-11     E1    

4604.987   23000000.0   0.057    3.4799965-6.171632   3d8.(3F).4s.4p.(3P*)  5G*         4.0      3d8.4s.(4F).5s        5F          3.0      9-7      E1    
4756.515   15000000.0   0.051    3.4799965-6.0858861  3d8.(3F).4s.4p.(3P*)  5G*         4.0      3d8.4s.(4F).5s        5F          4.0      9-9      E1    
4900.971   500000.0     0.0022   3.4799965-6.0090789  3d8.(3F).4s.4p.(3P*)  5G*         4.0      3d8.4s.(4F).5s        5F          5.0      9-11     E1    

3105.4603  7100000.0    0.0062   0.2748172-4.2661171  3d8.(3F).4s2          3F          2.0      3d8.(3F).4s.4p.(3P*)  3D*         1.0      5-3      E1    
3184.3666  710000.0     0.0011   0.2748172-4.1672193  3d8.(3F).4s2          3F          2.0      3d8.(3F).4s.4p.(3P*)  3D*         2.0      5-5      E1    
3195.5707  580000.0     0.0012   0.2748172-4.1535726  3d8.(3F).4s2          3F          2.0      3d8.(3F).4s.4p.(3P*)  3D*         3.0      5-7      E1    

3045.0066  2800000.0    0.0028   0.1651673-4.2357049  3d8.(3F).4s2          3F          3.0      3d8.(3F).4s.4p.(3P*)  3F*         2.0      7-5      E1    
3145.7051  800000.0     0.0012   0.1651673-4.1054062  3d8.(3F).4s2          3F          3.0      3d8.(3F).4s.4p.(3P*)  3F*         3.0      7-7      E1    
3159.5206  30000.0      5.8e-05  0.1651673-4.0881776  3d8.(3F).4s2          3F          3.0      3d8.(3F).4s.4p.(3P*)  3F*         4.0      7-9      E1    

3832.8709  20000.0      3.1e-05  0.1651673-3.3990104  3d8.(3F).4s2          3F          3.0      3d8.(3F).4s.4p.(3P*)  5D*         2.0      7-5      E1    
3946.1908  210.0        4.9e-07  0.1651673-3.3061486  3d8.(3F).4s2          3F          3.0      3d8.(3F).4s.4p.(3P*)  5D*         3.0      7-7      E1    
4093.6157  90.0         2.9e-07  0.1651673-3.1930336  3d8.(3F).4s2          3F          3.0      3d8.(3F).4s.4p.(3P*)  5D*         4.0      7-9      E1    

3467.5006  1200000.0    0.0015   0.1651673-3.7397508  3d8.(3F).4s2          3F          3.0      3d8.(3F).4s.4p.(3P*)  5F*         2.0      7-5      E1    
3507.6929  240000.0     0.00044  0.1651673-3.6987932  3d8.(3F).4s2          3F          3.0      3d8.(3F).4s.4p.(3P*)  5F*         3.0      7-7      E1    
3602.2783  440000.0     0.0011   0.1651673-3.606013   3d8.(3F).4s2          3F          3.0      3d8.(3F).4s.4p.(3P*)  5F*         4.0      7-9      E1    

3413.4759  3800000.0    0.0047   0.1651673-3.7963235  3d8.(3F).4s2          3F          3.0      3d9.(2D).4p           3F*         2.0      7-5      E1    
3551.5316  160000.0     0.00039  0.1651673-3.6551768  3d8.(3F).4s2          3F          3.0      3d9.(2D).4p           3F*         4.0      7-9      E1    
3571.8637  5200000.0    0.01     0.1651673-3.6353112  3d8.(3F).4s2          3F          3.0      3d9.(2D).4p           3F*         3.0      7-7      E1    

6914.559   750000.0     0.0018   1.9507675-3.743362   3d8.(3P).4s2          3P          1.0      3d9.(2D).4p           3P*         0.0      3-1      E1    
7261.918   84000.0      0.00066  1.9507675-3.6576174  3d8.(3P).4s2          3P          1.0      3d9.(2D).4p           3P*         1.0      3-3      E1    
7788.93    84000.0      0.0013   1.9507675-3.5421297  3d8.(3P).4s2          3P          1.0      3d9.(2D).4p           3P*         2.0      3-5      E1    

3225.0191  9300000.0    0.0087   0.4227783-4.2661171  3d9.(2D).4s           1D          2.0      3d8.(3F).4s.4p.(3P*)  3D*         1.0      5-3      E1    
3310.201   120000.0     0.0002   0.4227783-4.1672193  3d9.(2D).4s           1D          2.0      3d8.(3F).4s.4p.(3P*)  3D*         2.0      5-5      E1    
3322.3096  5800000.0    0.013    0.4227783-4.1535726  3d9.(2D).4s           1D          2.0      3d8.(3F).4s.4p.(3P*)  3D*         3.0      5-7      E1    

7929.688   1.1e-05      2.1e-14  0.4227783-1.9858928  3d9.(2D).4s           1D          2.0      3d8.(3P).4s2          3P          0.0      5-1      E2    
8111.976   0.00047      2.8e-12  0.4227783-1.9507675  3d9.(2D).4s           1D          2.0      3d8.(3P).4s2          3P          1.0      5-3      E2    
8194.531   0.024        2.4e-10  0.4227783-1.935374   3d9.(2D).4s           1D          2.0      3d8.(3P).4s2          3P          2.0      5-5      E2    

2174.4846  89000000.0   0.021    0.2123957-5.9123833  3d9.(2D).4s           3D          1.0      3d8.(3P).4s.4p.(3P*)  3P*         0.0      3-1      E1    
2197.3544  78000000.0   0.056    0.2123957-5.8530645  3d9.(2D).4s           3D          1.0      3d8.(3P).4s.4p.(3P*)  3P*         1.0      3-3      E1    
2230.9623  5200000.0    0.0065   0.2123957-5.7681002  3d9.(2D).4s           3D          1.0      3d8.(3P).4s.4p.(3P*)  3P*         2.0      3-5      E1    

3510.335   120000000.0  0.074    0.2123957-3.743362   3d9.(2D).4s           3D          1.0      3d9.(2D).4p           3P*         0.0      3-1      E1    
3597.7027  14000000.0   0.027    0.2123957-3.6576174  3d9.(2D).4s           3D          1.0      3d9.(2D).4p           3P*         1.0      3-3      E1    
