Ritz      Aud       fdu       E_d(eV)-E_u(eV)    lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
--------------------------------------------------------------------------------------------------------------------------------------------
2158.737  3.5e+07   1.6e-02   1.254182-6.995745  3p6.3d8.(3F).4s  4F          2.5      3p6.3d8.(3F).4p  4F*         1.5      6-4      E1    
2175.142  1.77e+08  1.26e-01  1.254182-6.952446  3p6.3d8.(3F).4s  4F          2.5      3p6.3d8.(3F).4p  4F*         2.5      6-6      E1    
2206.712  1.66e+08  1.62e-01  1.254182-6.870935  3p6.3d8.(3F).4s  4F          2.5      3p6.3d8.(3F).4p  4F*         3.5      6-8      E1    

2138.582  1.77e+07  9.11e-03  1.156778-6.952446  3p6.3d8.(3F).4s  4F          3.5      3p6.3d8.(3F).4p  4F*         2.5      8-6      E1    
2169.092  1.58e+08  1.12e-01  1.156778-6.870935  3p6.3d8.(3F).4s  4F          3.5      3p6.3d8.(3F).4p  4F*         3.5      8-8      E1    
2210.379  3.9e+07   3.6e-02   1.156778-6.764212  3p6.3d8.(3F).4s  4F          3.5      3p6.3d8.(3F).4p  4F*         4.5      8-10     E1    

2188.042  5.7e+06   3.1e-03   1.156778-6.821451  3p6.3d8.(3F).4s  4F          3.5      3p6.3d8.(3F).4p  4G*         2.5      8-6      E1    
2224.864  1.55e+08  1.15e-01  1.156778-6.727709  3p6.3d8.(3F).4s  4F          3.5      3p6.3d8.(3F).4p  4G*         3.5      8-8      E1    
2270.212  1.56e+08  1.51e-01  1.156778-6.616438  3p6.3d8.(3F).4s  4F          3.5      3p6.3d8.(3F).4p  4G*         4.5      8-10     E1    

