Ritz       Aud       fdu       E_d(eV)-E_u(eV)        lower_conf        lower_term  lower_J  upper_conf             upper_term  upper_J  g_d-g_u  type  
--------------------------------------------------------------------------------------------------------------------------------------------------------
8227.653   8.13e+06  4.95e-02  12.5406949-14.0472014  2s2.2p3.(2D*).3s  3D*         2.0      2s2.2p3.(2D*).3p       3D          1.0      5-3      E1    
8230.001   2.26e+07  2.30e-01  12.5406949-14.0467717  2s2.2p3.(2D*).3s  3D*         2.0      2s2.2p3.(2D*).3p       3D          2.0      5-5      E1    
8230.026   3.62e+06  5.15e-02  12.5406949-14.0467669  2s2.2p3.(2D*).3s  3D*         2.0      2s2.2p3.(2D*).3p       3D          3.0      5-7      E1    

2876.2948  1.47e+06  6.08e-04  10.9887923-15.2980803  2s2.2p3.(4S*).3p  3P          1.0      2s2.2p3.(2D*<3/2>).3d  3P*         0.0      3-1      E1    
2878.9312  3.68e+05  4.58e-04  10.9887923-15.2941343  2s2.2p3.(4S*).3p  3P          1.0      2s2.2p3.(2D*<3/2>).3d  3P*         1.0      3-3      E1    
2883.8092  3.66e+05  7.61e-04  10.9887923-15.2868521  2s2.2p3.(4S*).3p  3P          1.0      2s2.2p3.(2D*<3/2>).3d  3P*         2.0      3-5      E1    

2417.4132  2.98e+05  8.71e-05  10.9887923-16.1160306  2s2.2p3.(4S*).3p  3P          1.0      2s2.2p3.(2D*<3/2>).4d  3P*         0.0      3-1      E1    
2417.7154  7.45e+04  6.53e-05  10.9887923-16.1153897  2s2.2p3.(4S*).3p  3P          1.0      2s2.2p3.(2D*<3/2>).4d  3P*         1.0      3-3      E1    
2418.2643  7.44e+04  1.09e-04  10.9887923-16.1142263  2s2.2p3.(4S*).3p  3P          1.0      2s2.2p3.(2D*<3/2>).4d  3P*         2.0      3-5      E1    

3951.9278  3.10e+05  2.42e-04  10.9887923-14.125214   2s2.2p3.(4S*).3p  3P          1.0      2s2.2p3.(2P*).3s       3P*         0.0      3-1      E1    
3952.8877  7.74e+04  1.81e-04  10.9887923-14.1244523  2s2.2p3.(4S*).3p  3P          1.0      2s2.2p3.(2P*).3s       3P*         1.0      3-3      E1    
3954.5192  7.73e+04  3.02e-04  10.9887923-14.1231587  2s2.2p3.(4S*).3p  3P          1.0      2s2.2p3.(2P*).3s       3P*         2.0      3-5      E1    

2805.57    1.18e+04  8.36e-06  10.9888616-15.40677    2s2.2p3.(4S*).3p  3P          2.0      2s2.2p3.(2D*<5/2>).3d  3D*         1.0      5-3      E1    
2806.07    1.07e+05  1.26e-04  10.9888616-15.40599    2s2.2p3.(4S*).3p  3P          2.0      2s2.2p3.(2D*<5/2>).3d  3D*         2.0      5-5      E1    
2806.9     4.35e+05  7.20e-04  10.9888616-15.40468    2s2.2p3.(4S*).3p  3P          2.0      2s2.2p3.(2D*<5/2>).3d  3D*         3.0      5-7      E1    

7771.944   3.69e+07  4.68e-01  9.1460911-10.7409314   2s2.2p3.(4S*).3s  5S*         2.0      2s2.2p3.(4S*).3p       5P          3.0      5-7      E1    
7774.166   3.69e+07  3.35e-01  9.1460911-10.7404756   2s2.2p3.(4S*).3s  5S*         2.0      2s2.2p3.(4S*).3p       5P          2.0      5-5      E1    
7775.388   3.69e+07  2.01e-01  9.1460911-10.740225    2s2.2p3.(4S*).3s  5S*         2.0      2s2.2p3.(4S*).3p       5P          1.0      5-3      E1    

4217.088   5.44e+05  4.84e-04  12.3588649-15.2980803  2s2.2p3.(4S*).4p  3P          1.0      2s2.2p3.(2D*<3/2>).3d  3P*         0.0      3-1      E1    
4222.757   1.36e+05  3.64e-04  12.3588649-15.2941343  2s2.2p3.(4S*).4p  3P          1.0      2s2.2p3.(2D*<3/2>).3d  3P*         1.0      3-3      E1    
4233.26    1.35e+05  6.05e-04  12.3588649-15.2868521  2s2.2p3.(4S*).4p  3P          1.0      2s2.2p3.(2D*<3/2>).3d  3P*         2.0      3-5      E1    

3298.9896  1.43e+05  7.78e-05  12.3588649-16.1160306  2s2.2p3.(4S*).4p  3P          1.0      2s2.2p3.(2D*<3/2>).4d  3P*         0.0      3-1      E1    
3299.5525  3.57e+04  5.83e-05  12.3588649-16.1153897  2s2.2p3.(4S*).4p  3P          1.0      2s2.2p3.(2D*<3/2>).4d  3P*         1.0      3-3      E1    
3300.5748  3.57e+04  9.72e-05  12.3588649-16.1142263  2s2.2p3.(4S*).4p  3P          1.0      2s2.2p3.(2D*<3/2>).4d  3P*         2.0      3-5      E1    

4066.71    6.43e+03  9.57e-06  12.358875-15.40677     2s2.2p3.(4S*).4p  3P          2.0      2s2.2p3.(2D*<5/2>).3d  3D*         1.0      5-3      E1    
4067.75    5.84e+04  1.45e-04  12.358875-15.40599     2s2.2p3.(4S*).4p  3P          2.0      2s2.2p3.(2D*<5/2>).3d  3D*         2.0      5-5      E1    
4069.51    2.35e+05  8.17e-04  12.358875-15.40468     2s2.2p3.(4S*).4p  3P          2.0      2s2.2p3.(2D*<5/2>).3d  3D*         3.0      5-7      E1    

12266.758  2.35e+05  7.43e-03  11.8376056-12.8480623  2s2.2p3.(4S*).4s  5S*         2.0      2s2.2p3.(4S*).5p       5P          3.0      5-7      E1    
12267.511  2.35e+05  5.30e-03  11.8376056-12.8480003  2s2.2p3.(4S*).4s  5S*         2.0      2s2.2p3.(4S*).5p       5P          2.0      5-5      E1    
12268.048  2.35e+05  3.18e-03  11.8376056-12.847956   2s2.2p3.(4S*).4s  5S*         2.0      2s2.2p3.(4S*).5p       5P          1.0      5-3      E1    

