Ritz       Aud       fdu       E_d(eV)-E_u(eV)        lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
-------------------------------------------------------------------------------------------------------------------------------------------------
1130.1507  1.33e+07  3.82e-03  14.878157-25.8487467   2s.2p4           4P          1.5      2s2.2p2.(3P).3p  4P*         2.5      4-6      E1    
1131.3263  6.05e+06  1.16e-03  14.878157-25.8373471   2s.2p4           4P          1.5      2s2.2p2.(3P).3p  4P*         1.5      4-4      E1    
1131.9173  3.89e+07  3.74e-03  14.878157-25.8316247   2s.2p4           4P          1.5      2s2.2p2.(3P).3p  4P*         0.5      4-2      E1    

6844.098   2.97e+05  3.13e-03  28.6770648-30.4881141  2s2.2p2.(3P).3d  4F          1.5      2s2.2p2.(3P).4p  4D*         2.5      4-6      E1    
6884.881   6.12e+06  4.35e-02  28.6770648-30.477387   2s2.2p2.(3P).3d  4F          1.5      2s2.2p2.(3P).4p  4D*         1.5      4-4      E1    
6907.873   3.03e+07  1.08e-01  28.6770648-30.471394   2s2.2p2.(3P).3d  4F          1.5      2s2.2p2.(3P).4p  4D*         0.5      4-2      E1    

6810.477   1.64e+05  1.52e-03  28.6837551-30.5037449  2s2.2p2.(3P).3d  4F          2.5      2s2.2p2.(3P).4p  4D*         3.5      6-8      E1    
6869.475   5.35e+06  3.79e-02  28.6837551-30.4881141  2s2.2p2.(3P).3d  4F          2.5      2s2.2p2.(3P).4p  4D*         2.5      6-6      E1    
6910.562   2.43e+07  1.16e-01  28.6837551-30.477387   2s2.2p2.(3P).3d  4F          2.5      2s2.2p2.(3P).4p  4D*         1.5      6-4      E1    

3850.7987  3.40e+06  1.13e-02  25.6382319-28.8570199  2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).3d  4D          2.5      4-6      E1    
3851.0332  1.52e+07  3.38e-02  25.6382319-28.8568239  2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).3d  4D          1.5      4-4      E1    
3856.1342  2.45e+07  2.73e-02  25.6382319-28.8525664  2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).3d  4D          0.5      4-2      E1    

3872.4382  4.84e+05  5.44e-04  25.6382319-28.8390335  2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).3d  4P          0.5      4-2      E1    
3882.4457  8.94e+06  2.02e-02  25.6382319-28.8307832  2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).3d  4P          1.5      4-4      E1    
3893.518   1.89e+06  6.45e-03  25.6382319-28.8217045  2s2.2p2.(3P).3p  4D*         1.5      2s2.2p2.(3P).3d  4P          2.5      4-6      E1    

