Ritz       Aud       fdu       E_d(eV)-E_u(eV)      lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
-----------------------------------------------------------------------------------------------------------------------------------------------
2420.52    3.37e+06  4.15e-03  49.363059-54.48372   2s.2p2.(4P).3d   5D          2.0      2s.2p2.(4P).4p   5P*         3.0      5-7      E1    
2426.31    4.10e+07  3.62e-02  49.363059-54.4715    2s.2p2.(4P).3d   5D          2.0      2s.2p2.(4P).4p   5P*         2.0      5-5      E1    
2429.36    4.09e+07  2.17e-02  49.363059-54.46509   2s.2p2.(4P).3d   5D          2.0      2s.2p2.(4P).4p   5P*         1.0      5-3      E1    

3728.838   1.45e+08  3.89e-01  46.468675-49.792738  2s.2p2.(4P).3p   3D*         3.0      2s.2p2.(4P).3d   3F          4.0      7-9      E1    
3746.899   1.59e+07  3.35e-02  46.468675-49.776716  2s.2p2.(4P).3p   3D*         3.0      2s.2p2.(4P).3d   3F          3.0      7-7      E1    
3761.166   6.22e+05  9.43e-04  46.468675-49.764169  2s.2p2.(4P).3p   3D*         3.0      2s.2p2.(4P).3d   3F          2.0      7-5      E1    

2683.658   1.85e+08  6.66e-02  45.038919-49.657518  2s.2p2.(4P).3p   3S*         1.0      2s.2p2.(4P).3d   3P          0.0      3-1      E1    
2687.547   1.84e+08  1.99e-01  45.038919-49.650835  2s.2p2.(4P).3p   3S*         1.0      2s.2p2.(4P).3d   3P          1.0      3-3      E1    
2695.477   1.82e+08  3.31e-01  45.038919-49.637267  2s.2p2.(4P).3p   3S*         1.0      2s.2p2.(4P).3d   3P          2.0      3-5      E1    

3074.138   1.84e+07  3.65e-02  45.332392-49.364358  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).3d   5D          3.0      5-7      E1    
3074.715   3.76e+07  3.20e-02  45.332392-49.363601  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).3d   5D          1.0      5-3      E1    
3075.129   1.61e+07  2.28e-02  45.332392-49.363059  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).3d   5D          2.0      5-5      E1    

3447.968   1.19e+08  2.97e-01  45.332392-48.927225  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).3d   5F          3.0      5-7      E1    
3454.835   6.89e+07  1.23e-01  45.332392-48.920079  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).3d   5F          2.0      5-5      E1    
3459.48    1.14e+07  1.23e-02  45.332392-48.915263  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).3d   5F          1.0      5-3      E1    

1180.9927  5.78e+06  7.25e-04  45.332392-55.830696  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).4d   5P          1.0      5-3      E1    
1181.7476  5.77e+06  1.21e-03  45.332392-55.823989  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).4d   5P          2.0      5-5      E1    
1182.7697  4.70e+05  1.38e-04  45.332392-55.814923  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).4d   5P          3.0      5-7      E1    

1583.243   1.43e+07  7.52e-03  45.332392-53.163419  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).4s   5P          3.0      5-7      E1    
1587.382   1.74e+08  6.57e-02  45.332392-53.143     2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).4s   5P          2.0      5-5      E1    
1590.572   1.73e+08  3.94e-02  45.332392-53.127337  2s.2p2.(4P).3p   5D*         2.0      2s.2p2.(4P).4s   5P          1.0      5-3      E1    

3075.954   1.07e+07  1.95e-02  45.344825-49.374411  2s.2p2.(4P).3p   5D*         3.0      2s.2p2.(4P).3d   5D          4.0      7-9      E1    
3083.647   3.20e+07  4.56e-02  45.344825-49.364358  2s.2p2.(4P).3p   5D*         3.0      2s.2p2.(4P).3d   5D          3.0      7-7      E1    
3084.644   2.55e+07  2.60e-02  45.344825-49.363059  2s.2p2.(4P).3p   5D*         3.0      2s.2p2.(4P).3d   5D          2.0      7-5      E1    

3450.907   1.44e+08  3.31e-01  45.344825-48.936597  2s.2p2.(4P).3p   5D*         3.0      2s.2p2.(4P).3d   5F          4.0      7-9      E1    
3459.935   5.14e+07  9.23e-02  45.344825-48.927225  2s.2p2.(4P).3p   5D*         3.0      2s.2p2.(4P).3d   5F          3.0      7-7      E1    
3466.85    6.82e+06  8.78e-03  45.344825-48.920079  2s.2p2.(4P).3p   5D*         3.0      2s.2p2.(4P).3d   5F          2.0      7-5      E1    

3454.986   1.72e+08  3.76e-01  45.360597-48.948128  2s.2p2.(4P).3p   5D*         4.0      2s.2p2.(4P).3d   5F          5.0      9-11     E1    
3466.128   2.84e+07  5.12e-02  45.360597-48.936597  2s.2p2.(4P).3p   5D*         4.0      2s.2p2.(4P).3d   5F          4.0      9-9      E1    
3475.236   2.42e+06  3.41e-03  45.360597-48.927225  2s.2p2.(4P).3p   5D*         4.0      2s.2p2.(4P).3d   5F          3.0      9-7      E1    

3382.612   9.86e+07  2.37e-01  45.700071-49.364358  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).3d   5D          3.0      5-7      E1    
3383.311   3.70e+07  3.81e-02  45.700071-49.363601  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).3d   5D          1.0      5-3      E1    
3383.812   8.62e+07  1.48e-01  45.700071-49.363059  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).3d   5D          2.0      5-5      E1    

3332.406   7.92e+07  7.92e-02  45.700071-49.419562  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).3d   5P          1.0      5-3      E1    
3336.686   8.77e+06  1.46e-02  45.700071-49.414791  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).3d   5P          2.0      5-5      E1    
3344.51    3.48e+07  8.17e-02  45.700071-49.406101  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).3d   5P          3.0      5-7      E1    

1223.8554  7.50e+07  1.01e-02  45.700071-55.830696  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).4d   5P          1.0      5-3      E1    
1224.6661  8.32e+06  1.87e-03  45.700071-55.823989  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).4d   5P          2.0      5-5      E1    
1225.7639  3.32e+07  1.05e-02  45.700071-55.814923  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).4d   5P          3.0      5-7      E1    

1661.241   7.22e+07  4.18e-02  45.700071-53.163419  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).4s   5P          3.0      5-7      E1    
1665.799   1.79e+07  7.45e-03  45.700071-53.143     2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).4s   5P          2.0      5-5      E1    
1669.311   1.60e+08  4.01e-02  45.700071-53.127337  2s.2p2.(4P).3p   5P*         2.0      2s.2p2.(4P).4s   5P          1.0      5-3      E1    

3384.901   1.48e+08  3.27e-01  45.712602-49.374411  2s.2p2.(4P).3p   5P*         3.0      2s.2p2.(4P).3d   5D          4.0      7-9      E1    
3394.22    4.88e+07  8.43e-02  45.712602-49.364358  2s.2p2.(4P).3p   5P*         3.0      2s.2p2.(4P).3d   5D          3.0      7-7      E1    
