Ritz      Aud       fdu       E_d(eV)-E_u(eV)    lower_conf      lower_term  lower_J  upper_conf      upper_term  upper_J  g_d-g_u  type  
------------------------------------------------------------------------------------------------------------------------------------------
3256.81   5.03e+07  4.00e-02  75.2061-79.0119    2p2.(3P).3p     4P*         1.5      2p2.(3P).3d     4P          0.5      4-2      E1    
3263.41   8.00e+06  1.28e-02  75.2061-79.0042    2p2.(3P).3p     4P*         1.5      2p2.(3P).3d     4P          1.5      4-4      E1    
3273.99   1.78e+07  4.29e-02  75.2061-78.9919    2p2.(3P).3p     4P*         1.5      2p2.(3P).3d     4P          2.5      4-6      E1    

3366.38   2.86e+07  7.29e-02  71.5385-75.2205    2p2.(3P).3s     4P          1.5      2p2.(3P).3p     4P*         2.5      4-6      E1    
3379.58   1.26e+07  2.16e-02  71.5385-75.2061    2p2.(3P).3s     4P          1.5      2p2.(3P).3p     4P*         1.5      4-4      E1    
3385.07   7.82e+07  6.72e-02  71.5385-75.2       2p2.(3P).3s     4P          1.5      2p2.(3P).3p     4P*         0.5      4-2      E1    

1033.373  3.01e+08  2.41e-02  61.96677-73.96478  2s.2p.(3P*).3d  4D*         1.5      2s.2p.(3P*).4f  4D          0.5      4-2      E1    
1033.948  2.40e+08  3.85e-02  61.96677-73.95811  2s.2p.(3P*).3d  4D*         1.5      2s.2p.(3P*).4f  4D          1.5      4-4      E1    
1034.68   1.40e+08  3.37e-02  61.96677-73.9496   2s.2p.(3P*).3d  4D*         1.5      2s.2p.(3P*).4f  4D          2.5      4-6      E1    

1034.449  2.10e+08  2.25e-02  61.97258-73.95811  2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4D          1.5      6-4      E1    
1035.18   3.43e+08  5.51e-02  61.97258-73.9496   2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4D          2.5      6-6      E1    
1036.39   8.49e+07  1.82e-02  61.97258-73.9356   2s.2p.(3P*).3d  4D*         2.5      2s.2p.(3P*).4f  4D          3.5      6-8      E1    

1062.271  3.12e+09  6.60e-01  61.98057-73.65218  2s.2p.(3P*).3d  4D*         3.5      2s.2p.(3P*).4f  4F          4.5      8-10     E1    
1062.86   4.44e+08  7.52e-02  61.98057-73.64572  2s.2p.(3P*).3d  4D*         3.5      2s.2p.(3P*).4f  4F          3.5      8-8      E1    
1063.209  3.01e+07  3.83e-03  61.98057-73.64189  2s.2p.(3P*).3d  4D*         3.5      2s.2p.(3P*).4f  4F          2.5      8-6      E1    

1013.322  2.12e+07  4.08e-03  61.41676-73.65218  2s.2p.(3P*).3d  4F*         3.5      2s.2p.(3P*).4f  4F          4.5      8-10     E1    
1013.857  1.95e+08  3.01e-02  61.41676-73.64572  2s.2p.(3P*).3d  4F*         3.5      2s.2p.(3P*).4f  4F          3.5      8-8      E1    
1014.175  4.55e+07  5.26e-03  61.41676-73.64189  2s.2p.(3P*).3d  4F*         3.5      2s.2p.(3P*).4f  4F          2.5      8-6      E1    

1082.751  4.76e+08  4.18e-02  62.51394-73.96478  2s.2p.(3P*).3d  4P*         1.5      2s.2p.(3P*).4f  4D          0.5      4-2      E1    
