Ritz       Aud      fdu      E_d(eV)-E_u(eV)      lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
---------------------------------------------------------------------------------------------------------------------------------------------
7834.09    5.8e+04  8.0e-04  8.1147813-9.69697    3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).6s  4P          2.5      4-6      E1    
8002.65    1.0e+06  9.6e-03  8.1147813-9.663645   3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).6s  4P          1.5      4-4      E1    
8115.06    1.5e+06  7.4e-03  8.1147813-9.642189   3s2.3p2.(3P).4p  4D*         1.5      3s2.3p2.(3P).6s  4P          0.5      4-2      E1    

7001.57    5.4e+04  5.3e-04  8.1315198-9.901838   3s2.3p2.(3P).4p  4D*         2.5      3s2.3p2.(3P).5d  4D          3.5      6-8      E1    
7051.91    3.7e+05  2.8e-03  8.1315198-9.889199   3s2.3p2.(3P).4p  4D*         2.5      3s2.3p2.(3P).5d  4D          2.5      6-6      E1    
7073.51    2.9e+05  1.5e-03  8.1315198-9.883833   3s2.3p2.(3P).4p  4D*         2.5      3s2.3p2.(3P).5d  4D          1.5      6-4      E1    

7176.66    4.7e+06  4.8e-02  8.1315198-9.858647   3s2.3p2.(3P).4p  4D*         2.5      3s2.3p2.(3P).5d  4F          3.5      6-8      E1    
7235.48    1.7e+06  1.3e-02  8.1315198-9.844606   3s2.3p2.(3P).4p  4D*         2.5      3s2.3p2.(3P).5d  4F          2.5      6-6      E1    
7268.48    1.5e+05  7.9e-04  8.1315198-9.836829   3s2.3p2.(3P).4p  4D*         2.5      3s2.3p2.(3P).5d  4F          1.5      6-4      E1    

7175.62    3.3e+06  3.2e-02  8.1567289-9.884107   3s2.3p2.(3P).4p  4D*         3.5      3s2.3p2.(3P).5d  4F          4.5      8-10     E1    
7282.96    8.1e+05  6.4e-03  8.1567289-9.858647   3s2.3p2.(3P).4p  4D*         3.5      3s2.3p2.(3P).5d  4F          3.5      8-8      E1    
