Ritz       Aud       fdu       E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
-------------------------------------------------------------------------------------------------------------------------------------
4823.696   7.5e+05   4.4e-03   12.790905-15.360503  3s2.3p.4p   3D          1.0      3s2.3p.5s   3P*         2.0      3-5      E1    
4927.197   1.9e+07   6.9e-02   12.790905-15.306526  3s2.3p.4p   3D          1.0      3s2.3p.5s   3P*         1.0      3-3      E1    
4954.367   7.8e+07   9.6e-02   12.790905-15.292731  3s2.3p.4p   3D          1.0      3s2.3p.5s   3P*         0.0      3-1      E1    

4602.069   1.9e+08   7.8e-01   12.853177-15.546519  3s2.3p.4p   3D          3.0      3s2.3p.4d   3F*         4.0      7-9      E1    
4658.309   2.1e+07   6.8e-02   12.853177-15.514003  3s2.3p.4p   3D          3.0      3s2.3p.4d   3F*         3.0      7-7      E1    
4698.183   8.4e+05   2.0e-03   12.853177-15.49142   3s2.3p.4p   3D          3.0      3s2.3p.4d   3F*         2.0      7-5      E1    

4417.337   1.9e+07   5.6e-02   13.05583-15.861806   3s2.3p.4p   3P          1.0      3s2.3p.4d   3P*         1.0      3-3      E1    
4424.091   7.3e+07   7.1e-02   13.05583-15.857522   3s2.3p.4p   3P          1.0      3s2.3p.4d   3P*         0.0      3-1      E1    
4530.823   1.8e+07   9.2e-02   13.05583-15.791524   3s2.3p.4p   3P          1.0      3s2.3p.4d   3P*         2.0      3-5      E1    

5378.192   1.1e+07   8.0e-02   13.05583-15.360503   3s2.3p.4p   3P          1.0      3s2.3p.5s   3P*         2.0      3-5      E1    
5507.174   1.1e+07   5.0e-02   13.05583-15.306526   3s2.3p.4p   3P          1.0      3s2.3p.5s   3P*         1.0      3-3      E1    
5541.139   4.5e+07   6.9e-02   13.05583-15.292731   3s2.3p.4p   3P          1.0      3s2.3p.5s   3P*         0.0      3-1      E1    

4558.095   9.7e+07   3.0e-01   13.14248-15.861806   3s2.3p.4p   3S          1.0      3s2.3p.4d   3P*         1.0      3-3      E1    
4565.287   9.6e+07   1.0e-01   13.14248-15.857522   3s2.3p.4p   3S          1.0      3s2.3p.4d   3P*         0.0      3-1      E1    
4679.028   9.6e+07   5.3e-01   13.14248-15.791524   3s2.3p.4p   3S          1.0      3s2.3p.4d   3P*         2.0      3-5      E1    

5588.301   1.5e+07   1.2e-01   13.14248-15.360503   3s2.3p.4p   3S          1.0      3s2.3p.5s   3P*         2.0      3-5      E1    
5727.69    1.5e+07   7.4e-02   13.14248-15.306526   3s2.3p.4p   3S          1.0      3s2.3p.5s   3P*         1.0      3-3      E1    
5764.44    1.5e+07   2.5e-02   13.14248-15.292731   3s2.3p.4p   3S          1.0      3s2.3p.5s   3P*         0.0      3-1      E1    

1304.4917  1.5e+08   1.3e-02   0.020445-9.524852    3s2.3p2     3P          1.0      3s.3p3      3P*         0.0      3-1      E1    
1304.6752  3.7e+07   9.4e-03   0.020445-9.523515    3s2.3p2     3P          1.0      3s.3p3      3P*         1.0      3-3      E1    
1305.4973  3.8e+07   1.6e-02   0.020445-9.51753     3s2.3p2     3P          1.0      3s.3p3      3P*         2.0      3-5      E1    

1542.304   1.27e+07  6.34e-03  0.058163-8.097057    3s2.3p2     3P          2.0      3s.3p3      3D*         3.0      5-7      E1    
1543.133   3.2e+06   1.1e-03   0.058163-8.09274     3s2.3p2     3P          2.0      3s.3p3      3D*         2.0      5-5      E1    
1543.631   3.5e+05   7.5e-05   0.058163-8.090149    3s2.3p2     3P          2.0      3s.3p3      3D*         1.0      5-3      E1    

