Ritz       Aud       fdu       E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
-------------------------------------------------------------------------------------------------------------------------------------
1086.9354  1.8e+09   1.1e-01   23.482375-34.889144  3s.3d       3D          1.0      3p.3d       3P*         0.0      3-1      E1    
1088.6164  4.5e+08   8.0e-02   23.482375-34.871529  3s.3d       3D          1.0      3p.3d       3P*         1.0      3-3      E1    
1091.4425  3.0e+07   8.9e-03   23.482375-34.842039  3s.3d       3D          1.0      3p.3d       3P*         2.0      3-5      E1    

1064.6118  1.7e+08   4.0e-02   23.482375-35.128329  3s.3d       3D          2.0      3p.3d       3D*         3.0      5-7      E1    
1065.5444  1.1e+09   1.9e-01   23.482375-35.118136  3s.3d       3D          2.0      3p.3d       3D*         2.0      5-5      E1    
1066.6449  3.9e+08   4.0e-02   23.482375-35.106131  3s.3d       3D          2.0      3p.3d       3D*         1.0      5-3      E1    

1025.5615  7.7e+08   2.0e-01   8.449087-20.538483   3s.3p       3P*         1.0      3p2         3P          2.0      3-5      E1    
1030.5145  7.5e+08   1.2e-01   8.449087-20.480378   3s.3p       3P*         1.0      3p2         3P          1.0      3-3      E1    
1033.1116  2.99e+09  1.59e-01  8.449087-20.450132   3s.3p       3P*         1.0      3p2         3P          0.0      3-1      E1    

3347.739   2.13e+08  5.97e-01  28.131784-31.83424   3s.4s       3S          1.0      3s.4p       3P*         2.0      3-5      E1    
3364.47    2.09e+08  3.55e-01  28.131784-31.815829  3s.4s       3S          1.0      3s.4p       3P*         1.0      3-3      E1    
3371.119   2.1e+08   1.2e-01   28.131784-31.808563  3s.4s       3S          1.0      3s.4p       3P*         0.0      3-1      E1    

