Ritz        Aud       fdu       E_d(eV)-E_u(eV)       lower_conf        lower_term  lower_J  upper_conf         upper_term  upper_J  g_d-g_u  type  
----------------------------------------------------------------------------------------------------------------------------------------------------
8617.14     1.55e+07  5.76e-02  8.4081522-9.846566    3s2.3p3.(2D*).4s  3D*         1.0      3s2.3p3.(2D*).4p   3P          0.0      2-1      E1    
8626.552    3.81e+06  4.25e-02  8.4081522-9.8449969   3s2.3p3.(2D*).4s  3D*         1.0      3s2.3p3.(2D*).4p   3P          1.0      2-2      E1    
8648.55     1.39e+05  2.60e-03  8.4081522-9.8413422   3s2.3p3.(2D*).4s  3D*         1.0      3s2.3p3.(2D*).4p   3P          2.0      2-4      E1    

9633.129    9.95e+05  1.94e-02  8.4092488-9.6959565   3s2.3p3.(2D*).4s  3D*         2.0      3s2.3p3.(2D*).4p   3D          3.0      4-6      E1    
9680.562    5.12e+06  4.32e-02  8.4092488-9.6896519   3s2.3p3.(2D*).4s  3D*         2.0      3s2.3p3.(2D*).4p   3D          1.0      4-2      E1    
9680.81     1.67e+07  2.35e-01  8.4092488-9.689619    3s2.3p3.(2D*).4s  3D*         2.0      3s2.3p3.(2D*).4p   3D          2.0      4-4      E1    

9413.383    2.25e+07  3.84e-01  8.4114409-9.7281853   3s2.3p3.(2D*).4s  3D*         3.0      3s2.3p3.(2D*).4p   3F          4.0      6-8      E1    
9437.597    1.02e+06  1.36e-02  8.4114409-9.7248069   3s2.3p3.(2D*).4s  3D*         3.0      3s2.3p3.(2D*).4p   3F          3.0      6-6      E1    
9460.765    1.88e+04  1.81e-04  8.4114409-9.7215907   3s2.3p3.(2D*).4s  3D*         3.0      3s2.3p3.(2D*).4p   3F          2.0      6-4      E1    

5725.58     1.52e+04  4.47e-05  8.04565097-10.210494  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).10d  3D*         1.0      4-2      E1    
5725.85     1.34e+05  6.61e-04  8.04565097-10.21039   3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).10d  3D*         2.0      4-4      E1    
5726.38     5.30e+05  3.65e-03  8.04565097-10.210192  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).10d  3D*         3.0      4-6      E1    

9035.957    2.14e+06  3.67e-02  8.04565097-9.4173947  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).4d   3D*         3.0      4-6      E1    
9039.321    5.44e+05  6.67e-03  8.04565097-9.4168842  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).4d   3D*         2.0      4-4      E1    
9039.741    6.08e+04  4.47e-04  8.04565097-9.4168206  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).4d   3D*         1.0      4-2      E1    

6537.15     5.79e+04  2.23e-04  8.04565097-9.941736   3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).6d   3D*         1.0      4-2      E1    
6537.92     5.21e+05  3.34e-03  8.04565097-9.941513   3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).6d   3D*         2.0      4-4      E1    
6538.575    2.08e+06  1.87e-02  8.04565097-9.941323   3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).6d   3D*         3.0      4-6      E1    

6174.14     4.17e+04  1.43e-04  8.04565097-10.053215  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).7d   3D*         1.0      4-2      E1    
6174.98     3.76e+05  2.15e-03  8.04565097-10.052943  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).7d   3D*         2.0      4-4      E1    
6175.82     1.50e+06  1.20e-02  8.04565097-10.05267   3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).7d   3D*         3.0      4-6      E1    

5959.48     2.96e+04  9.46e-05  8.04565097-10.125527  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).8d   3D*         1.0      4-2      E1    
5960.32     2.67e+05  1.42e-03  8.04565097-10.125234  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).8d   3D*         2.0      4-4      E1    
5961.19     1.06e+06  7.94e-03  8.04565097-10.12493   3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).8d   3D*         3.0      4-6      E1    

5820.92     2.12e+04  6.46e-05  8.04565097-10.175037  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).9d   3D*         1.0      4-2      E1    
5822.21     1.89e+05  9.63e-04  8.04565097-10.174565  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).9d   3D*         2.0      4-4      E1    
5822.78     7.52e+05  5.35e-03  8.04565097-10.174357  3s2.3p3.(4S*).4p  3P          2.0      3s2.3p3.(4S*).9d   3D*         3.0      4-6      E1    

8670.204    1.10e+07  4.12e-02  7.8663062-9.2959168   3s2.3p3.(4S*).4p  5P          1.0      3s2.3p3.(4S*).4d   5D*         0.0      2-1      E1    
8670.628    8.23e+06  9.28e-02  7.8663062-9.2958468   3s2.3p3.(4S*).4p  5P          1.0      3s2.3p3.(4S*).4d   5D*         1.0      2-2      E1    
8671.32     3.84e+06  7.22e-02  7.8663062-9.2957328   3s2.3p3.(4S*).4p  5P          1.0      3s2.3p3.(4S*).4d   5D*         2.0      2-4      E1    

8678.967    2.75e+06  1.86e-02  7.8676797-9.2958468   3s2.3p3.(4S*).4p  5P          2.0      3s2.3p3.(4S*).4d   5D*         1.0      4-2      E1    
8679.66     6.41e+06  7.25e-02  7.8676797-9.2957328   3s2.3p3.(4S*).4p  5P          2.0      3s2.3p3.(4S*).4d   5D*         2.0      4-4      E1    
8680.434    7.34e+06  1.16e-01  7.8676797-9.2956056   3s2.3p3.(4S*).4p  5P          2.0      3s2.3p3.(4S*).4d   5D*         3.0      4-6      E1    

8693.178    7.35e+05  5.95e-03  7.8699003-9.2957328   3s2.3p3.(4S*).4p  5P          3.0      3s2.3p3.(4S*).4d   5D*         2.0      6-4      E1    
8693.954    3.68e+06  4.17e-02  7.8699003-9.2956056   3s2.3p3.(4S*).4p  5P          3.0      3s2.3p3.(4S*).4d   5D*         3.0      6-6      E1    
8694.635    1.10e+07  1.61e-01  7.8699003-9.2954938   3s2.3p3.(4S*).4p  5P          3.0      3s2.3p3.(4S*).4d   5D*         4.0      6-8      E1    

10455.443   2.17e+07  5.93e-01  6.8601418-8.04565097  3s2.3p3.(4S*).4s  3S*         1.0      3s2.3p3.(4S*).4p   3P          2.0      2-4      E1    
10456.753   2.18e+07  1.19e-01  6.8601418-8.04550246  3s2.3p3.(4S*).4s  3S*         1.0      3s2.3p3.(4S*).4p   3P          0.0      2-1      E1    
10459.401   2.18e+07  3.57e-01  6.8601418-8.04520228  3s2.3p3.(4S*).4s  3S*         1.0      3s2.3p3.(4S*).4p   3P          1.0      2-2      E1    

9212.8538   2.79e+07  4.97e-01  6.5244955-7.8699003   3s2.3p3.(4S*).4s  5S*         2.0      3s2.3p3.(4S*).4p   5P          3.0      4-6      E1    
9228.0849   2.77e+07  3.54e-01  6.5244955-7.8676797   3s2.3p3.(4S*).4s  5S*         2.0      3s2.3p3.(4S*).4p   5P          2.0      4-4      E1    
9237.5315   2.77e+07  2.12e-01  6.5244955-7.8663062   3s2.3p3.(4S*).4s  5S*         2.0      3s2.3p3.(4S*).4p   5P          1.0      4-2      E1    

4694.1084   8.37e+05  3.87e-03  6.5244955-9.1650291   3s2.3p3.(4S*).4s  5S*         2.0      3s2.3p3.(4S*).5p   5P          3.0      4-6      E1    
4695.439    8.14e+05  2.69e-03  6.5244955-9.1642809   3s2.3p3.(4S*).4s  5S*         2.0      3s2.3p3.(4S*).5p   5P          2.0      4-4      E1    
4696.2489   8.01e+05  1.59e-03  6.5244955-9.1638256   3s2.3p3.(4S*).4s  5S*         2.0      3s2.3p3.(4S*).5p   5P          1.0      4-2      E1    

11396.4     5.13e+05  3.33e-03  8.84644161-9.934068   3s2.3p3.(4S*).5s  3S*         1.0      3s2.3p3.(4S*).7p   3P          0.0      2-1      E1    
11401.21    5.14e+05  1.00e-02  8.84644161-9.933609   3s2.3p3.(4S*).5s  3S*         1.0      3s2.3p3.(4S*).7p   3P          1.0      2-2      E1    
11410.56    5.13e+05  1.67e-02  8.84644161-9.932718   3s2.3p3.(4S*).5s  3S*         1.0      3s2.3p3.(4S*).7p   3P          2.0      2-4      E1    

13974.993   3.15e+05  1.29e-02  8.7660257-9.6529693   3s2.3p3.(4S*).5s  5S*         2.0      3s2.3p3.(4S*).6p   5P          3.0      4-6      E1    
13981.302   3.06e+05  8.98e-03  8.7660257-9.6525691   3s2.3p3.(4S*).5s  5S*         2.0      3s2.3p3.(4S*).6p   5P          2.0      4-4      E1    
13986.184   3.05e+05  5.36e-03  8.7660257-9.6522596   3s2.3p3.(4S*).5s  5S*         2.0      3s2.3p3.(4S*).6p   5P          1.0      4-2      E1    

1385.5108   1.25e+06  1.20e-04  0.04910475-8.9977319  3s2.3p4           3P          1.0      3s.3p5             3P*         0.0      2-1      E1    
1389.15421  1.69e+05  4.90e-05  0.04910475-8.9742621  3s2.3p4           3P          1.0      3s.3p5             3P*         1.0      2-2      E1    
1396.11349  5.75e+05  2.80e-04  0.04910475-8.9297723  3s2.3p4           3P          1.0      3s.3p5             3P*         2.0      2-4      E1    

