Ritz      Aud       fdu       E_d(eV)-E_u(eV)      lower_conf       lower_term  lower_J  upper_conf       upper_term  upper_J  g_d-g_u  type  
----------------------------------------------------------------------------------------------------------------------------------------------
1984.376  7.31e+06  6.47e-03  9.88859-16.134579    3s.3p4           4P          1.5      3s2.3p2.(3P).4p  4P*         2.5      4-6      E1    
1995.308  7.05e+05  4.21e-04  9.88859-16.100363    3s.3p4           4P          1.5      3s2.3p2.(3P).4p  4P*         1.5      4-4      E1    
1998.114  2.04e+07  6.11e-03  9.88859-16.091641    3s.3p4           4P          1.5      3s2.3p2.(3P).4p  4P*         0.5      4-2      E1    

7124.274  7.73e+05  8.82e-03  14.159064-15.898891  3s2.3p2.(3P).3d  4D          1.5      3s2.3p2.(3P).4p  4D*         2.5      4-6      E1    
7257.107  1.04e+06  8.22e-03  14.159064-15.867045  3s2.3p2.(3P).3d  4D          1.5      3s2.3p2.(3P).4p  4D*         1.5      4-4      E1    
7337.677  1.55e+06  6.25e-03  14.159064-15.848291  3s2.3p2.(3P).3d  4D          1.5      3s2.3p2.(3P).4p  4D*         0.5      4-2      E1    

6274.307  6.13e+05  5.43e-03  14.159064-16.134579  3s2.3p2.(3P).3d  4D          1.5      3s2.3p2.(3P).4p  4P*         2.5      4-6      E1    
6384.897  8.21e+06  5.02e-02  14.159064-16.100363  3s2.3p2.(3P).3d  4D          1.5      3s2.3p2.(3P).4p  4P*         1.5      4-4      E1    
6413.711  1.25e+07  3.87e-02  14.159064-16.091641  3s2.3p2.(3P).3d  4D          1.5      3s2.3p2.(3P).4p  4P*         0.5      4-2      E1    

6957.941  5.70e+05  5.52e-03  14.162847-15.944265  3s2.3p2.(3P).3d  4D          2.5      3s2.3p2.(3P).4p  4D*         3.5      6-8      E1    
7139.799  1.69e+06  1.30e-02  14.162847-15.898891  3s2.3p2.(3P).3d  4D          2.5      3s2.3p2.(3P).4p  4D*         2.5      6-6      E1    
7273.217  1.29e+06  6.81e-03  14.162847-15.867045  3s2.3p2.(3P).3d  4D          2.5      3s2.3p2.(3P).4p  4D*         1.5      6-4      E1    

