Ritz      Aud       fdu       E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
------------------------------------------------------------------------------------------------------------------------------------
1121.405  2.19e+06  6.89e-04  10.41707-21.473213   3s.3p3      3D*         1.0      3s2.3p.4p   3P          2.0      3-5      E1    
1126.533  4.91e+07  9.35e-03  10.41707-21.42289    3s.3p3      3D*         1.0      3s2.3p.4p   3P          1.0      3-3      E1    
1128.496  1.93e+08  1.23e-02  10.41707-21.403738   3s.3p3      3D*         1.0      3s2.3p.4p   3P          0.0      3-1      E1    

1154.683  4.19e+06  1.17e-03  10.42046-21.157972   3s.3p3      3D*         2.0      3s2.3p.4p   3D          3.0      5-7      E1    
1162.493  2.50e+07  5.07e-03  10.42046-21.085835   3s.3p3      3D*         2.0      3s2.3p.4p   3D          2.0      5-5      E1    
1166.525  1.53e+07  1.88e-03  10.42046-21.048975   3s.3p3      3D*         2.0      3s2.3p.4p   3D          1.0      5-3      E1    

1343.594  8.73e+06  3.94e-03  12.24541-21.473213   3s.3p3      3P*         1.0      3s2.3p.4p   3P          2.0      3-5      E1    
1350.961  5.86e+05  1.60e-04  12.24541-21.42289    3s.3p3      3P*         1.0      3s2.3p.4p   3P          1.0      3-3      E1    
1353.787  2.72e+07  2.50e-03  12.24541-21.403738   3s.3p3      3P*         1.0      3s2.3p.4p   3P          0.0      3-1      E1    

1390.719  8.56e+06  3.48e-03  12.24286-21.157972   3s.3p3      3P*         2.0      3s2.3p.4p   3D          3.0      5-7      E1    
1402.064  2.67e+06  7.88e-04  12.24286-21.085835   3s.3p3      3P*         2.0      3s2.3p.4p   3D          2.0      5-5      E1    
1407.933  6.84e+05  1.22e-04  12.24286-21.048975   3s.3p3      3P*         2.0      3s2.3p.4p   3D          1.0      5-3      E1    

1503.966  2.17e+04  1.03e-05  12.91416-21.157972   3s2.3p.3d   1D*         2.0      3s2.3p.4p   3D          3.0      5-7      E1    
1517.243  1.62e+05  5.60e-05  12.91416-21.085835   3s2.3p.3d   1D*         2.0      3s2.3p.4p   3D          2.0      5-5      E1    
1524.118  4.47e+06  9.35e-04  12.91416-21.048975   3s2.3p.3d   1D*         2.0      3s2.3p.4p   3D          1.0      5-3      E1    

2059.835  7.06e+05  6.29e-04  15.14076-21.157972   3s2.3p.3d   3F*         2.0      3s2.3p.4p   3D          3.0      5-7      E1    
2084.832  3.42e+07  2.23e-02  15.14076-21.085835   3s2.3p.3d   3F*         2.0      3s2.3p.4p   3D          2.0      5-5      E1    
2097.841  3.05e+08  1.21e-01  15.14076-21.048975   3s2.3p.3d   3F*         2.0      3s2.3p.4p   3D          1.0      5-3      E1    

3323.984  4.12e+07  1.14e-01  17.744297-21.473213  3s2.3p.3d   3P*         1.0      3s2.3p.4p   3P          2.0      3-5      E1    
3369.457  5.34e+07  9.10e-02  17.744297-21.42289   3s2.3p.3d   3P*         1.0      3s2.3p.4p   3P          1.0      3-3      E1    
3387.092  1.99e+08  1.14e-01  17.744297-21.403738  3s2.3p.3d   3P*         1.0      3s2.3p.4p   3P          0.0      3-1      E1    

2442.586  3.69e+06  5.51e-03  21.048975-26.123376  3s2.3p.4p   3D          1.0      3s2.3p.5s   3P*         2.0      3-5      E1    
2489.537  8.72e+07  8.11e-02  21.048975-26.027684  3s2.3p.4p   3D          1.0      3s2.3p.5s   3P*         1.0      3-3      E1    
2499.029  3.46e+08  1.08e-01  21.048975-26.008774  3s2.3p.4p   3D          1.0      3s2.3p.5s   3P*         0.0      3-1      E1    

2713.348  1.69e+07  2.61e-02  21.085835-25.653899  3s2.3p.4p   3D          2.0      3s2.3p.4d   3D*         3.0      5-7      E1    
2731.105  1.04e+08  1.16e-01  21.085835-25.6242    3s2.3p.4p   3D          2.0      3s2.3p.4d   3D*         2.0      5-5      E1    
2741.044  3.67e+07  2.48e-02  21.085835-25.607745  3s2.3p.4p   3D          2.0      3s2.3p.4d   3D*         1.0      5-3      E1    

2863.511  5.53e+08  8.74e-01  21.157972-25.486497  3s2.3p.4p   3D          3.0      3s2.3p.4d   3F*         4.0      7-9      E1    
2904.27   5.90e+07  7.46e-02  21.157972-25.425753  3s2.3p.4p   3D          3.0      3s2.3p.4d   3F*         3.0      7-7      E1    
2946.372  2.24e+06  2.08e-03  21.157972-25.364772  3s2.3p.4p   3D          3.0      3s2.3p.4d   3F*         2.0      7-5      E1    

2822.058  2.54e+08  1.01e-01  21.42289-25.814993   3s2.3p.4p   3P          1.0      3s2.3p.4d   3P*         0.0      3-1      E1    
2830.614  6.27e+07  7.54e-02  21.42289-25.801718   3s2.3p.4p   3P          1.0      3s2.3p.4d   3P*         1.0      3-3      E1    
2847.702  6.17e+07  1.25e-01  21.42289-25.775444   3s2.3p.4p   3P          1.0      3s2.3p.4d   3P*         2.0      3-5      E1    

2636.903  4.81e+07  8.36e-02  21.42289-26.123376   3s2.3p.4p   3P          1.0      3s2.3p.5s   3P*         2.0      3-5      E1    
2691.703  4.52e+07  4.91e-02  21.42289-26.027684   3s2.3p.4p   3P          1.0      3s2.3p.5s   3P*         1.0      3-3      E1    
2702.803  1.78e+08  6.52e-02  21.42289-26.008774   3s2.3p.4p   3P          1.0      3s2.3p.5s   3P*         0.0      3-1      E1    

2964.776  3.59e+08  6.62e-01  21.473213-25.653899  3s2.3p.4p   3P          2.0      3s2.3p.4d   3D*         3.0      5-7      E1    
2985.989  8.75e+07  1.17e-01  21.473213-25.6242    3s2.3p.4p   3P          2.0      3s2.3p.4d   3D*         2.0      5-5      E1    
2997.874  9.63e+06  7.79e-03  21.473213-25.607745  3s2.3p.4p   3P          2.0      3s2.3p.4d   3D*         1.0      5-3      E1    

2925.322  2.83e+08  1.21e-01  21.577923-25.814993  3s2.3p.4p   3S          1.0      3s2.3p.4d   3P*         0.0      3-1      E1    
2934.516  2.81e+08  3.63e-01  21.577923-25.801718  3s2.3p.4p   3S          1.0      3s2.3p.4d   3P*         1.0      3-3      E1    
2952.885  2.76e+08  6.01e-01  21.577923-25.775444  3s2.3p.4p   3S          1.0      3s2.3p.4d   3P*         2.0      3-5      E1    

2726.846  7.48e+07  1.39e-01  21.577923-26.123376  3s2.3p.4p   3S          1.0      3s2.3p.5s   3P*         2.0      3-5      E1    
2785.49   7.01e+07  8.16e-02  21.577923-26.027684  3s2.3p.4p   3S          1.0      3s2.3p.5s   3P*         1.0      3-3      E1    
2797.378  6.93e+07  2.71e-02  21.577923-26.008774  3s2.3p.4p   3S          1.0      3s2.3p.5s   3P*         0.0      3-1      E1    

3778.846  6.62e+06  2.37e-02  18.193138-21.473213  3s2.3p.4s   3P*         1.0      3s2.3p.4p   3P          2.0      3-5      E1    
3837.726  2.55e+07  5.64e-02  18.193138-21.42289   3s2.3p.4s   3P*         1.0      3s2.3p.4p   3P          1.0      3-3      E1    
3860.619  2.02e+07  1.51e-02  18.193138-21.403738  3s2.3p.4s   3P*         1.0      3s2.3p.4p   3P          0.0      3-1      E1    

