Ritz      Aud       fdu       E_d(eV)-E_u(eV)    lower_conf      lower_term  lower_J  upper_conf      upper_term  upper_J  g_d-g_u  type  
------------------------------------------------------------------------------------------------------------------------------------------
1359.163  1.16e+07  4.81e-03  27.82647-36.94857  3s.3p.(3P*).3d  4D*         1.5      3s.3p.(3P*).4p  4P          2.5      4-6      E1    
1366.921  1.82e+08  5.10e-02  27.82647-36.89679  3s.3p.(3P*).3d  4D*         1.5      3s.3p.(3P*).4p  4P          1.5      4-4      E1    
1370.586  2.82e+08  3.97e-02  27.82647-36.87254  3s.3p.(3P*).3d  4D*         1.5      3s.3p.(3P*).4p  4P          0.5      4-2      E1    

1091.184  2.17e+08  5.17e-02  27.83933-39.20168  3s.3p.(3P*).3d  4D*         2.5      3p2.(3P).3d     4F          3.5      6-8      E1    
1094.293  6.13e+07  1.10e-02  27.83933-39.1694   3s.3p.(3P*).3d  4D*         2.5      3p2.(3P).3d     4F          2.5      6-6      E1    
1096.559  4.99e+06  6.00e-04  27.83933-39.14599  3s.3p.(3P*).3d  4D*         2.5      3p2.(3P).3d     4F          1.5      6-4      E1    

1088.215  2.55e+08  5.67e-02  27.849-39.24235    3s.3p.(3P*).3d  4D*         3.5      3p2.(3P).3d     4F          4.5      8-10     E1    
1092.113  3.60e+07  6.44e-03  27.849-39.20168    3s.3p.(3P*).3d  4D*         3.5      3p2.(3P).3d     4F          3.5      8-8      E1    
1095.228  2.42e+06  3.27e-04  27.849-39.1694     3s.3p.(3P*).3d  4D*         3.5      3p2.(3P).3d     4F          2.5      8-6      E1    

1107.496  9.61e+06  2.65e-03  25.22369-36.4187   3s.3p.(3P*).3d  4F*         1.5      3s.3p.(3P*).4p  4D          2.5      4-6      E1    
1110.861  2.00e+08  3.70e-02  25.22369-36.38479  3s.3p.(3P*).3d  4F*         1.5      3s.3p.(3P*).4p  4D          1.5      4-4      E1    
1112.743  9.96e+08  9.25e-02  25.22369-36.3659   3s.3p.(3P*).3d  4F*         1.5      3s.3p.(3P*).4p  4D          0.5      4-2      E1    

1103.151  5.30e+06  1.29e-03  25.24725-36.48634  3s.3p.(3P*).3d  4F*         2.5      3s.3p.(3P*).4p  4D          3.5      6-8      E1    
1109.831  1.74e+08  3.22e-02  25.24725-36.4187   3s.3p.(3P*).3d  4F*         2.5      3s.3p.(3P*).4p  4D          2.5      6-6      E1    
1113.21   7.99e+08  9.90e-02  25.24725-36.38479  3s.3p.(3P*).3d  4F*         2.5      3s.3p.(3P*).4p  4D          1.5      6-4      E1    

