Ritz       Aud       fdu       E_d(eV)-E_u(eV)      lower_conf     lower_term  lower_J  upper_conf     upper_term  upper_J  g_d-g_u  type  
-------------------------------------------------------------------------------------------------------------------------------------------
5438.265   3.4e+06   2.26e-02  1.9957592-4.2749739  3d.4s.(1D).4p  2D*         1.5      3d.4s.(3D).5s  4D          2.5      4-6      E1    
5455.228   6.6e+06   2.95e-02  1.9957592-4.2678869  3d.4s.(1D).4p  2D*         1.5      3d.4s.(3D).5s  4D          1.5      4-4      E1    
5464.943   3.2e+06   7.2e-03   1.9957592-4.263848   3d.4s.(1D).4p  2D*         1.5      3d.4s.(3D).5s  4D          0.5      4-2      E1    

5390.948   5.0e+05   2.9e-03   1.9865643-4.2857841  3d.4s.(1D).4p  2D*         2.5      3d.4s.(3D).5s  4D          3.5      6-8      E1    
5416.414   2.0e+06   8.8e-03   1.9865643-4.2749739  3d.4s.(1D).4p  2D*         2.5      3d.4s.(3D).5s  4D          2.5      6-6      E1    
5433.241   9.7e+06   2.86e-02  1.9865643-4.2678869  3d.4s.(1D).4p  2D*         2.5      3d.4s.(3D).5s  4D          1.5      6-4      E1    

5416.137   4.4e+06   2.9e-02   1.9864474-4.2749739  3d.4s.(3D).4p  4D*         1.5      3d.4s.(3D).5s  4D          2.5      4-6      E1    
5432.962   5.4e+06   2.39e-02  1.9864474-4.2678869  3d.4s.(3D).4p  4D*         1.5      3d.4s.(3D).5s  4D          1.5      4-4      E1    
5442.598   2.15e+07  4.8e-02   1.9864474-4.263848   3d.4s.(3D).4p  4D*         1.5      3d.4s.(3D).5s  4D          0.5      4-2      E1    

4225.539   9.5e+06   3.39e-02  2.0012291-4.934566   3d.4s.(3D).4p  4D*         2.5      3d.4s.(3D).4d  4D          3.5      6-8      E1    
4233.587   4.0e+07   1.08e-01  2.0012291-4.9289897  3d.4s.(3D).4p  4D*         2.5      3d.4s.(3D).4d  4D          2.5      6-6      E1    
4239.553   2.27e+07  4.1e-02   2.0012291-4.92487    3d.4s.(3D).4p  4D*         2.5      3d.4s.(3D).4d  4D          1.5      6-4      E1    

5425.553   4.5e+06   2.65e-02  2.0012291-4.2857841  3d.4s.(3D).4p  4D*         2.5      3d.4s.(3D).5s  4D          3.5      6-8      E1    
5451.348   1.50e+07  6.7e-02   2.0012291-4.2749739  3d.4s.(3D).4p  4D*         2.5      3d.4s.(3D).5s  4D          2.5      6-6      E1    
5468.393   9.7e+06   2.90e-02  2.0012291-4.2678869  3d.4s.(3D).4p  4D*         2.5      3d.4s.(3D).5s  4D          1.5      6-4      E1    

5315.5686  6.5e+05   4.1e-03   1.9431497-4.2749739  3d.4s.(3D).4p  4F*         1.5      3d.4s.(3D).5s  4D          2.5      4-6      E1    
5331.774   1.11e+07  4.7e-02   1.9431497-4.2678869  3d.4s.(3D).4p  4F*         1.5      3d.4s.(3D).5s  4D          1.5      4-4      E1    
5341.053   3.8e+07   8.1e-02   1.9431497-4.263848   3d.4s.(3D).4p  4F*         1.5      3d.4s.(3D).5s  4D          0.5      4-2      E1    

5314.659   5.0e+05   2.8e-03   1.9535607-4.2857841  3d.4s.(3D).4p  4F*         2.5      3d.4s.(3D).5s  4D          3.5      6-8      E1    
5339.4079  1.06e+07  4.5e-02   1.9535607-4.2749739  3d.4s.(3D).4p  4F*         2.5      3d.4s.(3D).5s  4D          2.5      6-6      E1    
5355.759   3.0e+07   8.6e-02   1.9535607-4.2678869  3d.4s.(3D).4p  4F*         2.5      3d.4s.(3D).5s  4D          1.5      6-4      E1    

