Ritz       Aud       fdu       E_d(eV)-E_u(eV)      lower_conf  lower_term  lower_J  upper_conf  upper_term  upper_J  g_d-g_u  type  
-------------------------------------------------------------------------------------------------------------------------------------
13606.912  1.35e+03  5.25e-05  6.1807152-7.0916515  3s2.3p.3d   3F*         2.0      3s2.3p.5p   3D          3.0      5-7      E1    
13949.676  6.20e+04  1.81e-03  6.1807152-7.0692685  3s2.3p.3d   3F*         2.0      3s2.3p.5p   3D          2.0      5-5      E1    
14026.476  5.49e+05  9.72e-03  6.1807152-7.0644034  3s2.3p.3d   3F*         2.0      3s2.3p.5p   3D          1.0      5-3      E1    

10727.406  1.70e+07  3.78e-01  5.9840096-7.1394636  3s2.3p.4p   3D          3.0      3s2.3p.4d   3F*         4.0      7-9      E1    
10882.809  1.82e+06  3.23e-02  5.9840096-7.1229641  3s2.3p.4p   3D          3.0      3s2.3p.4d   3F*         3.0      7-7      E1    
10976.346  7.00e+04  9.04e-04  5.9840096-7.1132583  3s2.3p.4p   3D          3.0      3s2.3p.4d   3F*         2.0      7-5      E1    

7944.001   5.75e+06  7.00e-02  5.9840096-7.5443078  3s2.3p.4p   3D          3.0      3s2.3p.5d   3F*         4.0      7-9      E1    
8035.618   8.11e+05  7.86e-03  5.9840096-7.5265183  3s2.3p.4p   3D          3.0      3s2.3p.5d   3F*         3.0      7-7      E1    
8074.574   3.16e+04  2.21e-04  5.9840096-7.5190764  3s2.3p.4p   3D          3.0      3s2.3p.5d   3F*         2.0      7-5      E1    

7005.88    3.83e+06  3.63e-02  5.9840096-7.753238   3s2.3p.4p   3D          3.0      3s2.3p.6d   3F*         4.0      7-9      E1    
7083.95    4.13e+05  3.11e-03  5.9840096-7.73374    3s2.3p.4p   3D          3.0      3s2.3p.6d   3F*         3.0      7-7      E1    
7097.47    1.62e+04  8.76e-05  5.9840096-7.730406   3s2.3p.4p   3D          3.0      3s2.3p.6d   3F*         2.0      7-5      E1    

13029.52   7.60e+06  6.45e-02  6.0827393-7.034043   3s2.3p.4p   3P          1.0      3s2.3p.4d   3P*         0.0      3-1      E1    
13086.03   1.88e+06  4.82e-02  6.0827393-7.029935   3s2.3p.4p   3P          1.0      3s2.3p.4d   3P*         1.0      3-3      E1    
13102.058  1.87e+06  8.02e-02  6.0827393-7.0287762  3s2.3p.4p   3P          1.0      3s2.3p.4d   3P*         2.0      3-5      E1    

10068.33   1.49e+06  3.18e-02  6.0986113-7.329702   3s2.3p.4p   3P          2.0      3s2.3p.4d   3D*         3.0      5-7      E1    
10131.101  4.07e+04  3.76e-04  6.0986113-7.3220738  3s2.3p.4p   3P          2.0      3s2.3p.4d   3D*         1.0      5-3      E1    
10156.13   3.63e+05  5.62e-03  6.0986113-7.319059   3s2.3p.4p   3P          2.0      3s2.3p.4d   3D*         2.0      5-5      E1    

8071.284   1.72e+06  2.35e-02  6.0986113-7.634304   3s2.3p.4p   3P          2.0      3s2.3p.5d   3D*         3.0      5-7      E1    
8112.58    4.69e+04  2.78e-04  6.0986113-7.626487   3s2.3p.4p   3P          2.0      3s2.3p.5d   3D*         1.0      5-3      E1    
8154.87    4.16e+05  4.15e-03  6.0986113-7.618564   3s2.3p.4p   3P          2.0      3s2.3p.5d   3D*         2.0      5-5      E1    

7272.03    1.25e+06  1.39e-02  6.0986113-7.803087   3s2.3p.4p   3P          2.0      3s2.3p.6d   3D*         3.0      5-7      E1    
7277.51    3.46e+04  1.65e-04  6.0986113-7.801805   3s2.3p.4p   3P          2.0      3s2.3p.6d   3D*         1.0      5-3      E1    
7358.29    3.02e+05  2.45e-03  6.0986113-7.783107   3s2.3p.4p   3P          2.0      3s2.3p.6d   3D*         2.0      5-5      E1    

13631.94   9.40e+06  8.73e-02  6.1247785-7.034043   3s2.3p.4p   3S          1.0      3s2.3p.4d   3P*         0.0      3-1      E1    
13693.8    9.28e+06  2.61e-01  6.1247785-7.029935   3s2.3p.4p   3S          1.0      3s2.3p.4d   3P*         1.0      3-3      E1    
13711.352  9.23e+06  4.34e-01  6.1247785-7.0287762  3s2.3p.4p   3S          1.0      3s2.3p.4d   3P*         2.0      3-5      E1    

9393.42    8.95e+05  3.95e-03  6.1247785-7.444321   3s2.3p.4p   3S          1.0      3s2.3p.nd   a 3P*       0.0      3-1      E1    
9421.786   8.86e+05  1.18e-02  6.1247785-7.4403485  3s2.3p.4p   3S          1.0      3s2.3p.nd   a 3P*       1.0      3-3      E1    
9505.205   8.63e+05  1.95e-02  6.1247785-7.4288029  3s2.3p.4p   3S          1.0      3s2.3p.nd   a 3P*       2.0      3-5      E1    

10603.425  5.21e+06  1.47e-01  4.9296471-6.0986113  3s2.3p.4s   3P*         1.0      3s2.3p.4p   3P          2.0      3-5      E1    
10749.378  1.03e+07  1.78e-01  4.9296471-6.0827393  3s2.3p.4s   3P*         1.0      3s2.3p.4p   3P          1.0      3-3      E1    
10786.849  2.48e+07  1.44e-01  4.9296471-6.0787337  3s2.3p.4s   3P*         1.0      3s2.3p.4p   3P          0.0      3-1      E1    

5645.613   9.7e+05   7.7e-03   4.9296471-7.1251535  3s2.3p.4s   3P*         1.0      3s2.3p.5p   3P          2.0      3-5      E1    
5690.425   9.26e+05  4.50e-03  4.9296471-7.107864   3s2.3p.4s   3P*         1.0      3s2.3p.5p   3P          1.0      3-3      E1    
5701.104   1.83e+06  2.97e-03  4.9296471-7.1037839  3s2.3p.4s   3P*         1.0      3s2.3p.5p   3P          0.0      3-1      E1    

12031.504  1.73e+07  5.24e-01  4.9537952-5.9840096  3s2.3p.4s   3P*         2.0      3s2.3p.4p   3D          3.0      5-7      E1    
12270.692  3.20e+06  7.23e-02  4.9537952-5.963928   3s2.3p.4s   3P*         2.0      3s2.3p.4p   3D          2.0      5-5      E1    
12395.832  3.01e+05  4.16e-03  4.9537952-5.9537304  3s2.3p.4s   3P*         2.0      3s2.3p.4p   3D          1.0      5-3      E1    

2561.8234  4.62e-03  6.37e-12  0.7809579-5.619193   3s2.3p2     1D          2.0      3s.3p3      3D*         3.0      5-7      M2    
2563.6774  4.20e-03  4.14e-12  0.7809579-5.6156943  3s2.3p2     1D          2.0      3s.3p3      3D*         2.0      5-5      M2    
2564.8246  1.78e-03  1.05e-12  0.7809579-5.6135319  3s2.3p2     1D          2.0      3s.3p3      3D*         1.0      5-3      M2    

2084.4625  2.73e+06  2.49e-03  0.7809579-6.7270828  3s2.3p2     1D          2.0      3s2.3p.3d   3D*         3.0      5-7      E1    
2086.7467  3.26e+04  2.13e-05  0.7809579-6.7205746  3s2.3p2     1D          2.0      3s2.3p.3d   3D*         2.0      5-5      E1    
2087.6108  5.46e+05  2.14e-04  0.7809579-6.7181165  3s2.3p2     1D          2.0      3s2.3p.3d   3D*         1.0      5-3      E1    

2209.5132  4.58e-03  7.83e-12  0.009561-5.619193    3s2.3p2     3P          1.0      3s.3p3      3D*         3.0      3-7      M2    
2210.8922  3.46e+07  4.23e-02  0.009561-5.6156943   3s2.3p2     3P          1.0      3s.3p3      3D*         2.0      3-5      E1    
2211.7454  1.81e+07  1.33e-02  0.009561-5.6135319   3s2.3p2     3P          1.0      3s.3p3      3D*         1.0      3-3      E1    

1978.561   8.69e+07  1.70e-02  0.009561-6.273903    3s2.3p2     3P          1.0      3s2.3p.3d   3P*         0.0      3-1      E1    
1979.9738  2.07e+07  1.22e-02  0.009561-6.2694342   3s2.3p2     3P          1.0      3s2.3p.3d   3P*         1.0      3-3      E1    
1982.5878  2.18e+07  2.14e-02  0.009561-6.2611819   3s2.3p2     3P          1.0      3s2.3p.3d   3P*         2.0      3-5      E1    

2506.897   5.47e+07  8.59e-02  0.009561-4.9537952   3s2.3p2     3P          1.0      3s2.3p.4s   3P*         2.0      3-5      E1    
2519.2019  5.49e+07  5.22e-02  0.009561-4.9296471   3s2.3p2     3P          1.0      3s2.3p.4s   3P*         1.0      3-3      E1    
2524.1077  2.22e+08  7.08e-02  0.009561-4.9200852   3s2.3p2     3P          1.0      3s2.3p.4s   3P*         0.0      3-1      E1    

