Ritz      Aud       fdu       E_d(eV)-E_u(eV)      lower_conf      lower_term  lower_J  upper_conf      upper_term  upper_J  g_d-g_u  type  
--------------------------------------------------------------------------------------------------------------------------------------------
6660.53   3.64e+07  3.63e-01  14.503471-16.364433  3s.3p.(3P*).4s  4P*         1.5      3s.3p.(3P*).4p  4D          2.5      4-6      E1    
6716.97   2.70e+07  1.83e-01  14.503471-16.348796  3s.3p.(3P*).4s  4P*         1.5      3s.3p.(3P*).4p  4D          1.5      4-4      E1    
6751.9    8.31e+06  2.84e-02  14.503471-16.33925   3s.3p.(3P*).4s  4P*         1.5      3s.3p.(3P*).4p  4D          0.5      4-2      E1    

6671.84   4.80e+07  4.27e-01  14.528228-16.386036  3s.3p.(3P*).4s  4P*         2.5      3s.3p.(3P*).4p  4D          3.5      6-8      E1    
6750.34   1.49e+07  1.02e-01  14.528228-16.364433  3s.3p.(3P*).4s  4P*         2.5      3s.3p.(3P*).4p  4D          2.5      6-6      E1    
6808.31   2.44e+06  1.13e-02  14.528228-16.348796  3s.3p.(3P*).4s  4P*         2.5      3s.3p.(3P*).4p  4D          1.5      6-4      E1    

1223.896  1.24e+09  1.39e-01  5.322966-15.45325    3s.3p2          4P          1.5      3s.3p.(3P*).3d  4P*         0.5      4-2      E1    
1224.245  6.72e+08  1.51e-01  5.322966-15.45037    3s.3p2          4P          1.5      3s.3p.(3P*).3d  4P*         1.5      4-4      E1    
1224.968  4.39e+08  1.48e-01  5.322966-15.44439    3s.3p2          4P          1.5      3s.3p.(3P*).3d  4P*         2.5      4-6      E1    

1346.884  2.50e+08  1.02e-01  5.322966-14.528228   3s.3p2          4P          1.5      3s.3p.(3P*).4s  4P*         2.5      4-6      E1    
1350.516  1.61e+08  4.41e-02  5.322966-14.503471   3s.3p2          4P          1.5      3s.3p.(3P*).4s  4P*         1.5      4-4      E1    
1352.635  6.12e+08  8.40e-02  5.322966-14.489089   3s.3p2          4P          1.5      3s.3p.(3P*).4s  4P*         0.5      4-2      E1    

1229.383  2.25e+09  6.80e-01  5.3447-15.42977      3s.3p2          4P          2.5      3s.3p.(3P*).3d  4D*         3.5      6-8      E1    
1231.263  1.65e+08  2.50e-02  5.3447-15.41437      3s.3p2          4P          2.5      3s.3p.(3P*).3d  4D*         1.5      6-4      E1    
1231.391  9.90e+08  2.25e-01  5.3447-15.41333      3s.3p2          4P          2.5      3s.3p.(3P*).3d  4D*         2.5      6-6      E1    

2334.605  2.44e+03  2.99e-06  0.035613-5.3447      3s2.3p          2P*         1.5      3s.3p2          4P          2.5      4-6      E1    
2344.202  1.31e+03  1.08e-06  0.035613-5.322966    3s2.3p          2P*         1.5      3s.3p2          4P          1.5      4-4      E1    
2350.172  4.70e+03  1.95e-06  0.035613-5.309535    3s2.3p          2P*         1.5      3s.3p2          4P          0.5      4-2      E1    

